branch_id,business_date,sku,reason_code,units,cost_value
B-04,2026-05-05,QX-FRZ-048,out-of-date,26,116.68
B-02,2026-05-05,QX-HHD-148,out-of-date,38,106.93
B-02,2026-05-05,QX-PRO-608,unsold-markdown,23,50.88
B-02,2026-05-05,QX-DRY-588,unsold-markdown,33,94.68
B-02,2026-05-05,QX-TIN-306,unsold-markdown,12,14.73
B-02,2026-05-05,QX-PRO-178,other,5,2.51
B-01,2026-05-05,QX-BWS-758,other,29,607.44
B-01,2026-05-05,QX-CER-785,other,27,49.62
B-01,2026-05-05,QX-DRK-683,temperature-failure,2,2.98
B-01,2026-05-05,QX-DRY-828,damaged,33,26.19
B-01,2026-05-05,QX-TIN-799,damaged,5,9.52
B-20,2026-05-05,QX-PET-638,other,3,7.55
B-20,2026-05-05,QX-CHL-623,other,2,2.08
B-20,2026-05-05,QX-PRO-298,damaged,33,78.75
B-20,2026-05-05,QX-HBC-969,out-of-date,4,9.20
B-20,2026-05-05,QX-HBC-080,out-of-date,17,97.09
B-20,2026-05-05,QX-HHD-611,unsold-markdown,27,30.42
B-20,2026-05-05,QX-CHL-110,unsold-markdown,13,7.13
B-20,2026-05-05,QX-HHD-177,other,11,50.98
B-21,2026-05-05,QX-BWS-055,out-of-date,14,134.48
B-21,2026-05-05,QX-PET-003,temperature-failure,37,204.02
B-22,2026-05-05,QX-DRK-853,damaged,9,19.80
B-22,2026-05-05,QX-HHD-148,temperature-failure,38,118.05
B-23,2026-05-05,QX-HBC-870,other,21,44.30
B-23,2026-05-05,QX-PRO-612,other,39,97.47
B-23,2026-05-05,QX-BAK-857,other,33,74.86
B-23,2026-05-05,QX-DRK-356,unsold-markdown,25,62.36
B-23,2026-05-05,QX-BAK-129,out-of-date,38,97.47
B-23,2026-05-05,QX-CHL-159,out-of-date,16,73.59
B-24,2026-05-05,QX-BWS-285,damaged,6,26.05
B-24,2026-05-05,QX-HBC-431,unsold-markdown,19,145.93
B-24,2026-05-05,QX-HBC-811,unsold-markdown,34,79.72
B-24,2026-05-05,QX-FRZ-516,other,25,119.44
B-24,2026-05-05,QX-PET-214,damaged,16,16.79
B-25,2026-05-05,QX-FRZ-244,unsold-markdown,40,131.52
B-25,2026-05-05,QX-CHL-466,other,24,243.56
B-25,2026-05-05,QX-BAK-217,other,39,64.70
B-26,2026-05-05,QX-TIN-027,damaged,6,7.98
B-26,2026-05-05,QX-HHD-221,damaged,33,103.05
B-26,2026-05-05,QX-BAK-425,unsold-markdown,4,4.74
B-26,2026-05-05,QX-BWS-489,out-of-date,12,184.07
B-26,2026-05-05,QX-CER-764,out-of-date,10,18.77
B-26,2026-05-05,QX-TIN-297,out-of-date,18,22.71
B-26,2026-05-05,QX-CHL-116,out-of-date,28,142.98
B-27,2026-05-05,QX-BAK-912,other,19,78.59
B-27,2026-05-05,QX-HHD-009,temperature-failure,13,89.49
B-27,2026-05-05,QX-CHL-932,other,4,19.60
B-27,2026-05-05,QX-TIN-535,other,11,13.28
B-27,2026-05-05,QX-CER-990,other,29,44.69
B-27,2026-05-05,QX-BAK-844,other,11,38.30
B-27,2026-05-05,QX-PET-508,unsold-markdown,5,4.80
B-28,2026-05-05,QX-HBC-985,damaged,24,73.54
B-28,2026-05-05,QX-BAK-089,out-of-date,22,30.21
B-28,2026-05-05,QX-HHD-088,other,29,31.03
B-29,2026-05-05,QX-BAK-941,out-of-date,36,63.72
B-29,2026-05-05,QX-DRK-190,other,16,28.69
B-29,2026-05-05,QX-HBC-563,temperature-failure,21,127.82
B-29,2026-05-05,QX-BAK-793,other,11,30.29
B-29,2026-05-05,QX-TIN-794,other,29,56.64
B-29,2026-05-05,QX-DRY-166,damaged,30,24.69
B-29,2026-05-05,QX-HBC-796,other,9,62.79
B-30,2026-05-05,QX-DRY-107,unsold-markdown,30,111.26
B-30,2026-05-05,QX-FRZ-007,damaged,35,58.79
B-30,2026-05-05,QX-DRY-283,out-of-date,38,125.82
B-30,2026-05-05,QX-CHL-087,out-of-date,21,82.57
B-30,2026-05-05,QX-FRZ-538,other,16,9.69
B-30,2026-05-05,QX-HHD-493,damaged,33,17.12
B-17,2026-05-06,QX-PRO-480,damaged,38,105.02
B-17,2026-05-06,QX-HHD-501,temperature-failure,33,20.40
B-17,2026-05-06,QX-HBC-062,other,4,18.14
B-17,2026-05-06,QX-DRY-257,other,30,34.29
B-17,2026-05-06,QX-BAK-700,unsold-markdown,29,91.57
B-17,2026-05-06,QX-HBC-578,out-of-date,9,25.96
B-08,2026-05-06,QX-DRK-258,unsold-markdown,7,18.37
B-08,2026-05-06,QX-CHL-049,temperature-failure,31,165.49
B-08,2026-05-06,QX-DRK-045,other,14,22.51
B-08,2026-05-06,QX-PET-579,other,25,71.11
B-08,2026-05-06,QX-DRY-230,out-of-date,6,12.18
B-09,2026-05-06,QX-BWS-887,out-of-date,35,535.94
B-09,2026-05-06,QX-HBC-983,damaged,17,117.76
B-04,2026-05-06,QX-FRZ-547,temperature-failure,1,5.40
B-04,2026-05-06,QX-PRO-408,damaged,8,8.11
B-04,2026-05-06,QX-CHL-007,out-of-date,5,6.30
B-04,2026-05-06,QX-CHL-381,unsold-markdown,7,12.42
B-02,2026-05-06,QX-HBC-132,temperature-failure,13,67.69
B-02,2026-05-06,QX-BAK-335,unsold-markdown,16,38.06
B-02,2026-05-06,QX-DRK-289,unsold-markdown,28,88.26
B-02,2026-05-06,QX-CHL-048,other,10,126.67
B-02,2026-05-06,QX-TIN-938,damaged,7,5.48
B-02,2026-05-06,QX-HHD-387,temperature-failure,16,59.12
B-02,2026-05-06,QX-CER-894,unsold-markdown,29,62.87
B-02,2026-05-06,QX-CHL-740,temperature-failure,33,136.15
B-01,2026-05-06,QX-CHL-351,other,26,33.04
B-01,2026-05-06,QX-DRK-403,temperature-failure,22,27.07
B-01,2026-05-06,QX-TIN-165,other,25,24.77
B-01,2026-05-06,QX-BAK-059,out-of-date,16,19.67
B-01,2026-05-06,QX-BWS-671,temperature-failure,29,278.91
B-01,2026-05-06,QX-HBC-298,out-of-date,3,18.56
B-20,2026-05-06,QX-DRK-709,unsold-markdown,8,6.46
B-20,2026-05-06,QX-HBC-355,out-of-date,25,199.68
B-20,2026-05-06,QX-CER-219,unsold-markdown,16,21.74
B-20,2026-05-06,QX-PET-226,temperature-failure,2,5.89
B-20,2026-05-06,QX-BAK-700,other,16,67.12
B-20,2026-05-06,QX-TIN-417,out-of-date,16,5.65
B-21,2026-05-06,QX-FRZ-555,unsold-markdown,23,74.23
B-21,2026-05-06,QX-CHL-800,other,28,104.92
B-21,2026-05-06,QX-DRK-147,unsold-markdown,10,30.88
B-21,2026-05-06,QX-FRZ-904,unsold-markdown,40,123.65
B-21,2026-05-06,QX-HHD-679,other,2,11.58
B-22,2026-05-06,QX-FRZ-113,out-of-date,3,9.85
B-22,2026-05-06,QX-PRO-578,out-of-date,21,48.74
B-22,2026-05-06,QX-DRY-491,unsold-markdown,9,29.56
B-22,2026-05-06,QX-BAK-512,unsold-markdown,6,11.96
B-22,2026-05-06,QX-HHD-627,other,22,95.51
B-22,2026-05-06,QX-FRZ-516,out-of-date,6,27.23
B-23,2026-05-06,QX-DRY-724,other,39,34.98
B-23,2026-05-06,QX-TIN-073,unsold-markdown,22,31.14
B-23,2026-05-06,QX-CER-318,unsold-markdown,2,1.76
B-24,2026-05-06,QX-DRY-626,damaged,27,83.64
B-24,2026-05-06,QX-HHD-400,other,27,135.17
B-25,2026-05-06,QX-BWS-057,damaged,7,120.08
B-25,2026-05-06,QX-BAK-719,other,23,28.39
B-26,2026-05-06,QX-HBC-054,out-of-date,31,89.55
B-26,2026-05-06,QX-PRO-043,damaged,14,22.75
B-27,2026-05-06,QX-FRZ-555,damaged,11,49.23
B-27,2026-05-06,QX-FRZ-614,other,14,65.68
B-27,2026-05-06,QX-BAK-451,unsold-markdown,14,27.24
B-28,2026-05-06,QX-HBC-796,unsold-markdown,28,227.11
B-28,2026-05-06,QX-DRY-046,other,9,10.87
B-28,2026-05-06,QX-PET-462,temperature-failure,40,63.50
B-29,2026-05-06,QX-BWS-921,temperature-failure,26,236.57
B-29,2026-05-06,QX-CER-762,out-of-date,8,21.57
B-29,2026-05-06,QX-DRY-119,other,21,94.39
B-29,2026-05-06,QX-CHL-800,temperature-failure,37,98.21
B-30,2026-05-06,QX-TIN-318,unsold-markdown,35,40.41
B-30,2026-05-06,QX-BWS-477,damaged,4,71.18
B-30,2026-05-06,QX-CER-367,temperature-failure,23,22.16
B-30,2026-05-06,QX-PRO-471,temperature-failure,9,5.91
