qubix_sku,meridian_article,match_confidence,matched_on
QX-PET-425,AV-89281,0.67,2025-01-26
QX-DRY-426,AV-89288,0.95,2024-09-04
QX-BAK-427,AV-89295,0.74,2025-07-13
QX-PRO-428,AV-89288,0.81,2024-12-07
QX-DRK-429,AV-89288,0.67,2026-01-26
QX-DRK-430,AV-89302,0.66,2025-09-19
QX-HHD-431,AV-89309,0.67,2026-02-05
QX-PRO-432,AV-89316,0.75,2025-12-30
QX-CHL-433,AV-89323,0.69,2025-02-05
QX-PRO-434,AV-89330,0.75,2025-01-13
QX-CER-435,AV-89337,0.64,2025-03-29
QX-HBC-438,AV-89344,0.62,2025-04-07
QX-FRZ-439,AV-89351,0.62,2024-05-18
QX-DRK-440,AV-89358,0.99,2024-07-29
QX-BAK-441,AV-89365,0.69,2024-09-14
QX-BAK-443,AV-89372,0.95,2024-11-14
QX-CHL-445,AV-89379,0.98,2025-03-12
QX-BAK-447,AV-89386,0.67,2024-10-13
QX-PRO-448,AV-89393,0.81,2024-06-27
QX-HBC-449,AV-89400,0.81,2025-11-21
QX-CER-450,AV-89407,0.63,2026-02-15
QX-FRZ-451,AV-89414,0.91,2026-02-24
QX-BAK-452,AV-89421,0.71,2025-02-22
QX-FRZ-453,AV-89428,0.83,2024-05-21
QX-PET-454,AV-89435,0.90,2025-05-02
QX-BAK-458,AV-89442,0.81,2024-11-07
QX-HBC-459,AV-89449,0.78,2025-04-12
QX-PET-460,AV-89456,0.97,2025-10-15
QX-BWS-461,AV-89463,0.67,2025-06-26
QX-PET-463,AV-89470,0.99,2024-07-04
QX-DRK-464,AV-89477,0.77,2024-06-21
QX-CHL-465,AV-89484,0.63,2024-08-18
QX-CER-466,AV-89477,0.88,2024-09-20
QX-DRK-468,AV-89491,0.66,2025-06-02
QX-PRO-469,AV-89498,0.71,2025-02-26
QX-HHD-470,AV-89505,0.72,2025-10-29
QX-CER-471,AV-89512,0.81,2025-02-19
QX-CER-472,AV-89519,0.67,2025-03-21
QX-PET-473,AV-89526,0.92,2024-06-09
QX-CER-474,AV-89519,0.84,2025-08-19
QX-FRZ-475,AV-89519,0.66,2025-05-12
QX-DRY-476,AV-89533,0.64,2024-12-25
QX-PRO-478,AV-89540,0.71,2024-12-09
QX-BWS-479,AV-89547,0.86,2025-03-24
QX-BWS-481,AV-89554,0.92,2025-12-08
QX-PRO-484,AV-89561,0.86,2025-06-20
QX-BWS-486,AV-89568,0.88,2026-01-23
QX-PRO-487,AV-89575,0.99,2026-02-12
QX-BAK-488,AV-89582,0.87,2025-10-05
QX-DRY-489,AV-89589,0.91,2024-07-02
QX-HBC-490,AV-89596,0.79,2026-01-10
QX-BWS-492,AV-89603,0.73,2025-06-24
QX-TIN-493,AV-89610,0.78,2025-02-03
QX-BAK-494,AV-89617,0.67,2025-09-25
QX-CER-495,AV-89624,0.75,2025-05-04
QX-BAK-497,AV-89631,0.82,2025-10-03
QX-DRY-498,AV-89638,0.86,2025-01-01
QX-DRY-499,AV-89645,0.74,2024-07-05
QX-CHL-500,AV-89652,0.71,2024-05-26
QX-DRY-502,AV-89659,0.87,2025-09-04
QX-CHL-503,AV-89666,0.96,2026-01-21
QX-DRY-504,AV-89673,0.67,2025-07-20
QX-BWS-505,AV-89680,0.94,2025-05-19
QX-DRY-506,AV-89687,0.95,2025-12-31
QX-DRY-509,AV-89694,0.97,2024-09-29
QX-PET-510,AV-89701,0.76,2025-12-04
QX-BAK-512,AV-89708,0.92,2025-08-31
QX-DRK-513,AV-89715,0.78,2025-09-17
QX-CER-514,AV-89722,0.82,2024-07-07
QX-HHD-516,AV-89729,0.94,2024-12-24
QX-BAK-517,AV-89722,0.87,2026-02-06
QX-CER-518,AV-89736,0.97,2025-06-06
QX-BAK-519,AV-89743,1.00,2024-06-23
QX-CER-520,AV-89750,0.70,2025-09-03
QX-DRK-521,AV-89757,0.83,2025-11-28
QX-CER-522,AV-89764,0.97,2025-01-14
QX-DRY-524,AV-89771,0.71,2024-11-07
QX-DRY-526,AV-89778,0.87,2024-09-07
QX-PRO-527,AV-89785,0.65,2025-05-18
QX-PRO-528,AV-89792,0.93,2024-06-18
QX-PET-529,AV-89799,0.87,2025-01-08
QX-PRO-531,AV-89806,0.90,2024-09-12
QX-CHL-533,AV-89813,0.97,2025-02-15
QX-BWS-534,AV-89820,0.85,2024-06-08
QX-DRY-535,AV-89827,0.77,2025-08-18
QX-DRK-537,AV-89834,0.96,2025-10-31
QX-TIN-538,AV-89841,0.77,2025-03-21
QX-PRO-539,AV-89848,0.93,2025-08-03
QX-PET-540,AV-89855,0.93,2024-10-13
QX-DRY-541,AV-89862,0.85,2024-11-29
QX-TIN-542,AV-89855,0.72,2026-02-02
QX-BWS-543,AV-89869,0.86,2024-10-18
QX-FRZ-545,AV-89876,0.99,2025-10-17
QX-BAK-546,AV-89883,0.74,2025-04-25
QX-DRK-547,AV-89890,0.96,2025-02-12
QX-HBC-548,AV-89897,0.70,2024-12-31
QX-HHD-550,AV-89904,0.70,2024-08-15
QX-HBC-551,AV-89897,0.71,2025-12-28
QX-CER-552,AV-89911,0.88,2024-05-11
QX-BAK-553,AV-89918,0.68,2025-11-10
QX-FRZ-554,AV-89925,0.77,2024-11-10
QX-DRK-555,AV-89932,0.66,2024-07-16
QX-BWS-557,AV-89939,0.96,2025-05-24
QX-BAK-559,AV-89946,0.93,2026-02-26
QX-TIN-560,AV-89953,0.68,2024-06-09
QX-CHL-561,AV-89960,0.97,2025-02-10
QX-CHL-562,AV-89967,0.87,2025-04-10
QX-FRZ-563,AV-89974,0.65,2024-08-30
QX-HBC-564,AV-89981,0.95,2025-05-13
QX-TIN-565,AV-89988,0.67,2024-07-13
QX-PET-566,AV-89995,0.81,2024-07-14
QX-DRK-567,AV-90002,0.69,2024-08-11
QX-FRZ-568,AV-90009,0.63,2025-12-17
QX-FRZ-569,AV-90016,0.77,2024-11-02
QX-DRK-570,AV-90023,1.00,2024-05-25
QX-FRZ-571,AV-90030,0.82,2025-05-29
QX-TIN-573,AV-90037,0.93,2024-08-28
QX-HBC-575,AV-90044,0.90,2025-05-13
QX-HHD-576,AV-90051,0.81,2024-11-09
QX-CER-577,AV-90058,0.74,2025-03-15
QX-DRY-578,AV-90065,0.82,2025-04-05
QX-PET-579,AV-90072,0.82,2025-10-13
QX-FRZ-580,AV-90079,0.73,2024-08-23
QX-DRY-581,AV-90086,0.92,2025-10-11
QX-PET-582,AV-90093,0.78,2024-07-08
QX-HBC-583,AV-90100,0.63,2024-08-24
QX-DRY-584,AV-90107,0.97,2024-08-25
QX-HBC-585,AV-90114,0.75,2025-06-10
QX-CHL-586,AV-90121,0.74,2025-06-11
QX-TIN-587,AV-90128,0.74,2026-01-07
QX-HHD-588,AV-90135,0.79,2025-07-04
QX-BAK-589,AV-90142,0.70,2025-08-11
QX-DRK-590,AV-90149,0.90,2026-01-29
QX-BWS-591,AV-90156,0.96,2025-04-14
QX-FRZ-593,AV-90163,0.87,2024-08-28
QX-BAK-594,AV-90170,0.81,2025-11-05
QX-CHL-595,AV-90163,0.80,2024-11-29
QX-BWS-596,AV-90177,0.82,2025-08-15
QX-BAK-597,AV-90184,0.86,2025-10-28
QX-FRZ-598,AV-90191,0.86,2024-05-15
QX-DRY-600,AV-90198,0.87,2025-07-15
QX-HHD-601,AV-90191,0.89,2024-07-15
QX-DRY-602,AV-90205,0.97,2024-08-27
QX-DRY-603,AV-90212,0.73,2025-09-30
QX-HHD-604,AV-90205,0.64,2025-11-06
QX-PET-605,AV-90219,0.82,2025-04-12
QX-BAK-606,AV-90226,0.70,2025-09-16
QX-HHD-607,AV-90233,0.71,2025-06-30
QX-DRK-609,AV-90240,0.78,2024-09-27
QX-DRY-610,AV-90247,0.73,2025-12-29
QX-HHD-613,AV-90254,0.64,2024-09-21
QX-BWS-614,AV-90261,0.73,2024-08-22
QX-BAK-615,AV-90268,0.62,2024-09-27
QX-DRK-616,AV-90275,0.97,2024-11-23
QX-DRY-617,AV-90282,0.78,2024-06-19
QX-HHD-618,AV-90289,0.83,2025-10-14
QX-PRO-619,AV-90296,0.95,2024-12-13
QX-HBC-620,AV-90303,0.98,2025-03-13
QX-BWS-621,AV-90310,0.77,2026-02-17
QX-PET-622,AV-90317,0.98,2024-12-24
QX-PET-623,AV-90324,0.92,2025-12-18
QX-CHL-624,AV-90331,0.66,2026-01-19
QX-HBC-625,AV-90338,0.66,2026-01-01
QX-BWS-626,AV-90345,0.98,2026-01-05
QX-BWS-627,AV-90352,0.99,2026-01-09
QX-CER-628,AV-90345,0.73,2024-09-22
QX-BAK-630,AV-90359,0.67,2025-05-08
QX-TIN-631,AV-90366,0.80,2024-07-28
QX-PRO-632,AV-90373,0.77,2025-09-25
QX-DRK-634,AV-90380,0.68,2024-06-08
QX-TIN-635,AV-90387,0.78,2026-02-02
QX-DRY-636,AV-90394,0.86,2025-12-02
QX-BAK-637,AV-90401,0.66,2024-07-29
QX-CHL-638,AV-90408,0.89,2024-11-04
QX-BWS-639,AV-90415,0.96,2024-11-24
QX-FRZ-640,AV-90422,0.75,2024-07-08
QX-BWS-641,AV-90415,0.63,2024-09-24
QX-DRK-643,AV-90429,0.89,2025-11-05
QX-PRO-644,AV-90436,0.97,2024-07-06
QX-BAK-645,AV-90443,0.86,2025-01-17
QX-CER-646,AV-90450,0.76,2024-08-01
QX-PRO-648,AV-90457,0.78,2025-04-18
QX-TIN-649,AV-90464,0.63,2025-12-20
QX-CHL-650,AV-90471,0.86,2025-12-27
QX-TIN-651,AV-90478,0.87,2025-04-24
QX-PRO-652,AV-90485,0.98,2025-12-20
QX-HBC-653,AV-90492,0.77,2025-06-16
QX-DRY-654,AV-90499,0.79,2024-08-28
QX-HBC-655,AV-90506,0.75,2024-05-02
QX-TIN-656,AV-90513,0.74,2025-02-01
QX-HBC-657,AV-90520,0.82,2025-07-05
QX-BWS-658,AV-90527,0.94,2026-01-19
QX-PRO-659,AV-90534,0.89,2025-06-08
QX-PRO-660,AV-90541,0.86,2025-02-02
QX-BWS-661,AV-90548,0.92,2025-04-18
QX-FRZ-662,AV-90555,0.89,2025-11-20
QX-HHD-663,AV-90562,0.98,2025-10-01
QX-PET-664,AV-90569,0.95,2024-12-15
QX-FRZ-665,AV-90576,0.99,2025-07-29
QX-BAK-666,AV-90583,0.71,2024-10-19
QX-HHD-667,AV-90590,0.98,2025-06-06
QX-TIN-671,AV-90597,0.74,2024-08-25
QX-HHD-672,AV-90604,0.85,2025-07-22
QX-FRZ-673,AV-90611,0.77,2025-06-30
QX-BAK-674,AV-90618,0.91,2024-07-04
QX-BWS-675,AV-90625,0.88,2024-06-13
QX-BWS-676,AV-90632,0.67,2025-03-05
QX-CHL-677,AV-90639,0.74,2025-07-28
QX-DRK-678,AV-90646,0.93,2025-12-01
QX-PET-680,AV-90653,0.79,2025-08-17
QX-BWS-681,AV-90660,0.69,2025-07-03
QX-BAK-682,AV-90667,0.97,2024-12-23
QX-HBC-683,AV-90674,0.96,2024-09-12
QX-PET-684,AV-90681,0.92,2025-05-22
QX-DRK-685,AV-90688,0.70,2025-12-27
QX-BAK-686,AV-90695,0.63,2025-04-18
QX-DRY-687,AV-90702,0.71,2025-06-10
QX-PRO-688,AV-90709,0.71,2024-08-31
QX-CER-689,AV-90716,0.87,2025-05-11
QX-DRK-690,AV-90709,0.97,2024-11-18
QX-PET-691,AV-90723,0.76,2025-09-17
QX-BAK-695,AV-90730,0.63,2024-06-19
QX-DRY-696,AV-90737,0.85,2024-06-26
QX-TIN-697,AV-90730,0.76,2025-10-08
QX-CHL-699,AV-90744,0.78,2024-09-29
QX-HHD-700,AV-90751,0.71,2025-02-09
QX-TIN-701,AV-90758,0.98,2025-11-16
QX-BAK-703,AV-90765,0.74,2026-02-15
QX-HBC-705,AV-90772,0.90,2024-11-15
QX-BAK-706,AV-90779,0.98,2025-04-12
QX-PET-710,AV-90786,0.63,2025-11-08
QX-BAK-713,AV-90793,0.64,2025-03-15
QX-HHD-714,AV-90800,0.99,2026-01-21
QX-PET-715,AV-90807,0.79,2026-03-01
QX-BWS-719,AV-90814,0.66,2025-11-27
QX-DRK-720,AV-90821,0.64,2025-09-10
QX-PRO-721,AV-90828,0.88,2024-07-19
QX-BAK-722,AV-90835,0.78,2024-07-13
QX-CHL-723,AV-90828,0.72,2025-04-05
QX-DRY-725,AV-90842,0.67,2024-09-08
QX-BAK-726,AV-90849,0.97,2025-12-21
QX-DRK-727,AV-90856,0.69,2024-08-24
QX-BWS-728,AV-90863,0.82,2024-08-06
QX-HBC-730,AV-90856,0.94,2024-12-01
QX-CHL-731,AV-90870,0.94,2025-11-07
QX-HBC-732,AV-90877,0.66,2025-01-01
QX-PRO-733,AV-90884,0.80,2026-01-03
QX-FRZ-734,AV-90891,0.88,2024-06-11
QX-HHD-736,AV-90898,0.85,2024-09-14
QX-BAK-737,AV-90905,0.65,2025-04-13
QX-BWS-738,AV-90912,0.75,2025-05-26
QX-BAK-739,AV-90919,0.88,2024-08-12
QX-CER-741,AV-90926,0.79,2025-01-27
QX-PRO-742,AV-90933,0.83,2025-01-05
QX-DRK-743,AV-90940,0.85,2024-07-13
QX-DRK-744,AV-90947,0.93,2026-01-20
QX-HHD-748,AV-90954,0.84,2025-01-02
QX-CHL-749,AV-90961,0.95,2025-12-23
QX-BWS-750,AV-90968,0.64,2024-09-04
QX-PRO-751,AV-90975,0.66,2024-12-22
QX-BAK-752,AV-90982,0.85,2025-11-15
QX-BWS-755,AV-90989,0.80,2025-07-19
QX-CER-757,AV-90996,0.86,2025-05-28
QX-DRY-758,AV-91003,0.95,2024-07-29
QX-CHL-759,AV-91010,0.95,2024-05-24
QX-BWS-760,AV-91017,0.73,2024-12-31
QX-DRK-762,AV-91024,0.97,2026-01-21
QX-CHL-763,AV-91031,0.76,2025-07-18
QX-HHD-764,AV-91038,0.80,2026-01-17
QX-BWS-765,AV-91031,0.68,2025-12-03
QX-DRY-767,AV-91045,0.98,2025-05-29
QX-TIN-768,AV-91052,0.91,2024-10-24
QX-CER-770,AV-91059,0.92,2025-05-01
QX-FRZ-771,AV-91066,0.70,2024-09-23
QX-BWS-772,AV-91073,0.62,2024-07-19
QX-PRO-773,AV-91080,0.76,2025-03-15
QX-BAK-774,AV-91087,0.93,2024-09-23
QX-PET-776,AV-91094,0.70,2025-10-02
QX-CER-777,AV-91101,0.63,2026-02-22
QX-BWS-778,AV-91108,0.80,2024-09-14
QX-HBC-779,AV-91115,0.64,2024-10-04
QX-CER-780,AV-91122,0.81,2024-10-22
QX-CHL-782,AV-91129,0.70,2025-03-20
QX-HHD-783,AV-91136,0.65,2025-04-08
QX-CHL-784,AV-91143,0.82,2025-08-30
QX-PRO-785,AV-91150,0.96,2024-12-04
QX-PET-787,AV-91157,0.72,2025-01-06
QX-PET-790,AV-91164,0.64,2025-08-07
QX-CER-791,AV-91171,0.88,2025-08-03
QX-CHL-792,AV-91178,0.90,2026-01-21
QX-HBC-793,AV-91185,0.94,2025-09-26
QX-HHD-795,AV-91192,0.91,2024-06-16
QX-DRK-796,AV-91199,0.68,2024-08-04
QX-HHD-797,AV-91206,0.80,2025-06-05
QX-HBC-798,AV-91213,0.75,2024-10-04
QX-FRZ-799,AV-91220,0.95,2024-05-08
QX-DRK-801,AV-91227,0.72,2026-02-28
QX-FRZ-802,AV-91234,0.94,2024-08-24
QX-HHD-805,AV-91241,0.99,2025-02-20
QX-FRZ-806,AV-91248,0.63,2024-09-06
QX-BAK-809,AV-91255,0.85,2025-04-29
QX-TIN-810,AV-91248,0.97,2025-08-07
QX-HBC-811,AV-91262,0.73,2025-01-10
QX-PET-812,AV-91269,0.66,2024-07-31
QX-FRZ-813,AV-91276,0.62,2025-09-03
QX-DRK-814,AV-91283,0.86,2025-10-12
QX-CHL-815,AV-91290,0.68,2024-07-03
QX-FRZ-816,AV-91297,0.64,2024-07-21
QX-DRY-818,AV-91304,0.91,2026-02-05
QX-CER-819,AV-91311,0.73,2026-01-08
QX-HHD-820,AV-91318,0.90,2025-10-03
QX-HHD-821,AV-91325,0.88,2025-08-06
QX-DRK-822,AV-91332,0.87,2024-06-30
QX-BWS-823,AV-91339,0.88,2025-09-15
QX-PRO-824,AV-91346,0.97,2025-10-09
QX-CER-825,AV-91353,0.92,2025-09-29
QX-TIN-826,AV-91360,0.69,2025-05-01
QX-HHD-827,AV-91367,0.64,2026-02-03
QX-BWS-832,AV-91374,0.72,2025-07-09
QX-BAK-834,AV-91381,0.66,2024-10-15
QX-DRY-835,AV-91388,0.69,2025-01-25
QX-BWS-836,AV-91395,1.00,2026-02-28
QX-BAK-837,AV-91402,0.95,2025-04-29
QX-PET-838,AV-91409,0.85,2024-09-10
QX-BWS-839,AV-91416,0.70,2024-12-23
QX-CER-840,AV-91423,0.83,2024-07-09
QX-BWS-842,AV-91430,0.71,2025-08-30
QX-PRO-845,AV-91437,0.79,2025-10-12
QX-DRK-847,AV-91444,0.68,2024-08-12
QX-PRO-848,AV-91451,0.80,2025-06-18
QX-BAK-849,AV-91458,0.93,2025-09-07
QX-CER-850,AV-91465,0.80,2024-07-11
QX-BAK-851,AV-91472,0.72,2024-06-19
QX-DRK-852,AV-91479,0.77,2025-07-17
QX-TIN-853,AV-91486,0.94,2024-07-07
QX-PRO-854,AV-91493,0.92,2025-12-22
QX-CHL-857,AV-91500,0.91,2025-11-28
QX-PET-858,AV-91507,0.78,2025-03-31
QX-HHD-859,AV-91514,0.77,2026-02-27
QX-TIN-860,AV-91521,0.83,2025-04-23
QX-TIN-861,AV-91528,0.81,2024-09-27
QX-PET-862,AV-91535,0.75,2024-10-06
QX-DRK-863,AV-91542,0.67,2024-10-02
QX-BAK-864,AV-91549,0.88,2025-05-06
QX-DRY-866,AV-91556,0.97,2025-08-14
QX-CER-869,AV-91563,0.77,2024-07-31
QX-DRY-871,AV-91570,0.74,2024-05-08
