sku,valid_from,valid_to,price
QX-HHD-240,2026-01-24,2026-02-19,9.51
QX-HHD-240,2026-02-19,2026-02-19,10.17
QX-HHD-240,2026-02-19,2026-02-19,10.78
QX-HHD-240,2026-02-19,2026-02-19,11.25
QX-HHD-240,2026-02-19,,9.68
QX-CER-241,2025-06-03,2026-03-11,2.52
QX-CER-241,2026-03-11,,2.86
QX-FRZ-242,2023-12-06,2026-01-13,3.01
QX-FRZ-242,2026-01-13,2026-01-17,3.12
QX-FRZ-242,2026-01-17,2026-01-17,3.24
QX-FRZ-242,2026-01-17,2026-01-17,3.42
QX-FRZ-242,2026-01-17,2026-01-17,3.62
QX-FRZ-242,2026-01-17,,3.15
QX-DRY-243,2025-03-10,2025-07-22,2.62
QX-DRY-243,2025-07-22,2026-01-18,2.69
QX-DRY-243,2026-01-18,,3.12
QX-FRZ-244,2024-05-12,2025-07-21,4.79
QX-FRZ-244,2025-07-21,2025-08-07,4.94
QX-FRZ-244,2025-08-07,2025-11-14,5.24
QX-FRZ-244,2025-11-14,2026-03-29,5.60
QX-FRZ-244,2026-03-29,2026-03-29,6.09
QX-FRZ-244,2026-03-29,,5.18
QX-HHD-245,2025-05-16,2025-07-30,1.93
QX-HHD-245,2025-07-30,2025-10-03,2.00
QX-HHD-245,2025-10-03,,2.18
QX-BWS-246,2024-06-20,2025-10-04,4.88
QX-BWS-246,2025-10-04,2025-10-04,4.98
QX-BWS-246,2025-10-04,2026-01-14,5.28
QX-BWS-246,2026-01-14,2026-01-14,5.65
QX-BWS-246,2026-01-14,2026-01-14,5.89
QX-BWS-246,2026-01-14,2026-01-14,6.27
QX-BWS-246,2026-01-14,,5.50
QX-DRY-247,2025-05-21,2025-10-14,6.11
QX-DRY-247,2025-10-14,2025-10-14,6.30
QX-DRY-247,2025-10-14,2025-12-07,6.47
QX-DRY-247,2025-12-07,,6.62
QX-HHD-248,2024-04-09,2026-01-03,3.73
QX-HHD-248,2026-01-03,2026-01-03,3.95
QX-HHD-248,2026-01-03,,4.21
QX-CER-249,2025-03-18,2025-07-04,4.34
QX-CER-249,2025-07-04,2025-09-30,4.55
QX-CER-249,2025-09-30,2025-12-29,4.73
QX-CER-249,2025-12-29,,4.57
QX-CHL-250,2024-01-08,2025-11-17,6.70
QX-CHL-250,2025-11-17,,8.17
QX-TIN-251,2025-03-24,2026-01-30,2.33
QX-TIN-251,2026-01-30,2026-01-30,2.45
QX-TIN-251,2026-01-30,2026-01-30,2.60
QX-TIN-251,2026-01-30,2026-03-03,2.63
QX-TIN-251,2026-03-03,2026-03-03,2.70
QX-TIN-251,2026-03-03,,2.49
QX-FRZ-252,2024-01-14,2026-01-21,5.42
QX-FRZ-252,2026-01-21,2026-01-21,5.63
QX-FRZ-252,2026-01-21,2026-01-21,5.91
QX-FRZ-252,2026-01-21,,6.03
QX-HHD-253,2024-05-06,2025-07-30,8.30
QX-HHD-253,2025-07-30,,9.59
QX-DRK-254,2024-09-03,2025-07-05,1.50
QX-DRK-254,2025-07-05,2025-10-18,1.53
QX-DRK-254,2025-10-18,2026-03-31,1.65
QX-DRK-254,2026-03-31,,1.77
QX-PRO-255,2024-05-26,2025-08-06,2.32
QX-PRO-255,2025-08-06,2025-11-04,2.38
QX-PRO-255,2025-11-04,2025-12-20,2.55
QX-PRO-255,2025-12-20,2025-12-20,2.77
QX-PRO-255,2025-12-20,2025-12-20,2.83
QX-PRO-255,2025-12-20,2025-12-20,3.08
QX-PRO-255,2025-12-20,,2.64
QX-BWS-256,2025-02-25,2025-08-20,9.39
QX-BWS-256,2025-08-20,2025-10-15,9.51
QX-BWS-256,2025-10-15,2025-11-26,9.97
QX-BWS-256,2025-11-26,2025-11-26,10.33
QX-BWS-256,2025-11-26,2025-11-26,10.71
QX-BWS-256,2025-11-26,,9.99
QX-DRY-257,2025-04-21,2025-09-02,2.10
QX-DRY-257,2025-09-02,2025-10-07,2.13
QX-DRY-257,2025-10-07,2025-10-07,2.27
QX-DRY-257,2025-10-07,,2.21
QX-HBC-258,2024-02-25,2026-01-19,8.85
QX-HBC-258,2026-01-19,2026-01-19,9.19
QX-HBC-258,2026-01-19,2026-03-09,9.54
QX-HBC-258,2026-03-09,,9.35
QX-HBC-259,2025-05-26,2026-02-25,8.14
QX-HBC-259,2026-02-25,2026-02-25,8.67
QX-HBC-259,2026-02-25,,8.97
QX-CER-260,2024-04-12,2025-10-11,2.97
QX-CER-260,2025-10-11,2025-11-22,3.01
QX-CER-260,2025-11-22,2025-11-22,3.07
QX-CER-260,2025-11-22,2025-11-22,3.34
QX-CER-260,2025-11-22,2025-11-22,3.54
QX-CER-260,2025-11-22,,3.32
QX-HBC-261,2024-08-22,2025-07-09,3.38
QX-HBC-261,2025-07-09,2025-09-20,3.52
QX-HBC-261,2025-09-20,2025-09-20,3.63
QX-HBC-261,2025-09-20,,3.63
QX-BWS-262,2025-04-01,2025-08-05,21.18
QX-BWS-262,2025-08-05,2025-11-02,21.62
QX-BWS-262,2025-11-02,2025-11-18,23.35
QX-BWS-262,2025-11-18,2025-12-02,24.97
QX-BWS-262,2025-12-02,2025-12-02,25.60
QX-BWS-262,2025-12-02,,25.55
QX-TIN-263,2024-08-07,2026-01-17,2.07
QX-TIN-263,2026-01-17,2026-03-13,2.17
QX-TIN-263,2026-03-13,2026-03-13,2.35
QX-TIN-263,2026-03-13,,2.24
QX-TIN-264,2024-04-10,2026-01-01,0.72
QX-TIN-264,2026-01-01,2026-01-01,0.74
QX-TIN-264,2026-01-01,2026-03-14,0.79
QX-TIN-264,2026-03-14,,0.81
QX-BAK-265,2024-07-27,2025-07-13,1.95
QX-BAK-265,2025-07-13,2025-08-25,2.00
QX-BAK-265,2025-08-25,2025-09-04,2.07
QX-BAK-265,2025-09-04,2025-09-04,2.19
QX-BAK-265,2025-09-04,2025-09-04,2.36
QX-BAK-265,2025-09-04,2025-09-04,2.43
QX-BAK-265,2025-09-04,,2.08
QX-FRZ-266,2024-02-29,2026-01-08,6.19
QX-FRZ-266,2026-01-08,2026-01-08,6.54
QX-FRZ-266,2026-01-08,2026-01-08,6.69
QX-FRZ-266,2026-01-08,2026-01-08,6.82
QX-FRZ-266,2026-01-08,2026-02-03,7.27
QX-FRZ-266,2026-02-03,,7.24
QX-CER-267,2025-01-15,2025-08-30,3.24
QX-CER-267,2025-08-30,2026-01-22,3.50
QX-CER-267,2026-01-22,2026-01-22,3.66
QX-CER-267,2026-01-22,2026-01-22,3.83
QX-CER-267,2026-01-22,2026-03-05,4.00
QX-CER-267,2026-03-05,,3.41
QX-CER-268,2023-11-30,2026-02-14,3.40
QX-CER-268,2026-02-14,2026-02-14,3.69
QX-CER-268,2026-02-14,2026-02-14,3.82
QX-CER-268,2026-02-14,2026-02-14,3.94
QX-CER-268,2026-02-14,,3.66
QX-DRY-269,2024-02-23,2025-11-23,5.46
QX-DRY-269,2025-11-23,2026-02-08,5.79
QX-DRY-269,2026-02-08,2026-02-08,5.86
QX-DRY-269,2026-02-08,,6.23
QX-PET-270,2025-04-17,2025-08-24,3.75
QX-PET-270,2025-08-24,2025-10-04,4.02
QX-PET-270,2025-10-04,2025-11-23,4.10
QX-PET-270,2025-11-23,2026-01-23,4.37
QX-PET-270,2026-01-23,2026-01-23,4.72
QX-PET-270,2026-01-23,,4.39
QX-DRY-271,2024-08-30,2026-01-30,0.93
QX-DRY-271,2026-01-30,2026-01-30,0.99
QX-DRY-271,2026-01-30,2026-01-30,1.02
QX-DRY-271,2026-01-30,2026-01-30,1.05
QX-DRY-271,2026-01-30,2026-01-30,1.07
QX-DRY-271,2026-01-30,,1.13
QX-DRY-272,2025-05-16,2025-07-02,6.07
QX-DRY-272,2025-07-02,,6.88
QX-DRK-273,2023-12-18,2025-10-10,2.26
QX-DRK-273,2025-10-10,2026-02-25,2.46
QX-DRK-273,2026-02-25,,2.48
QX-CHL-274,2024-10-28,2026-02-09,1.60
QX-CHL-274,2026-02-09,2026-02-09,1.68
QX-CHL-274,2026-02-09,2026-02-09,1.76
QX-CHL-274,2026-02-09,2026-02-09,1.86
QX-CHL-274,2026-02-09,,1.68
QX-CER-275,2023-10-24,2026-02-06,2.99
QX-CER-275,2026-02-06,,3.14
QX-HBC-276,2024-03-12,2025-09-30,10.83
QX-HBC-276,2025-09-30,,11.52
QX-HBC-277,2025-03-08,2025-09-11,11.78
QX-HBC-277,2025-09-11,2025-10-24,12.74
QX-HBC-277,2025-10-24,2026-01-20,13.10
QX-HBC-277,2026-01-20,2026-01-20,13.74
QX-HBC-277,2026-01-20,2026-01-20,13.95
QX-HBC-277,2026-01-20,2026-01-20,15.19
QX-HBC-277,2026-01-20,,14.04
QX-DRK-278,2025-01-31,2025-08-23,4.18
QX-DRK-278,2025-08-23,,4.91
QX-HBC-279,2023-12-10,2025-09-30,6.91
QX-HBC-279,2025-09-30,2025-09-30,7.10
QX-HBC-279,2025-09-30,2025-09-30,7.62
QX-HBC-279,2025-09-30,2025-11-02,7.97
QX-HBC-279,2025-11-02,,7.55
QX-CHL-280,2025-02-01,2025-09-08,2.61
QX-CHL-280,2025-09-08,2025-12-28,2.75
QX-CHL-280,2025-12-28,2025-12-28,2.95
QX-CHL-280,2025-12-28,2026-02-02,3.01
QX-CHL-280,2026-02-02,,3.03
QX-TIN-281,2024-05-13,2025-11-05,0.92
QX-TIN-281,2025-11-05,2025-12-15,0.99
QX-TIN-281,2025-12-15,2025-12-15,1.08
QX-TIN-281,2025-12-15,,1.11
QX-FRZ-282,2023-10-17,2025-09-05,7.74
QX-FRZ-282,2025-09-05,2025-09-10,8.21
QX-FRZ-282,2025-09-10,,8.22
QX-PRO-283,2025-02-24,2025-10-14,1.22
QX-PRO-283,2025-10-14,2026-03-05,1.26
QX-PRO-283,2026-03-05,2026-03-05,1.29
QX-PRO-283,2026-03-05,,1.28
QX-PRO-284,2024-08-22,2025-07-22,2.87
QX-PRO-284,2025-07-22,2025-09-09,2.98
QX-PRO-284,2025-09-09,,3.17
QX-BWS-285,2025-04-30,2025-08-07,6.39
QX-BWS-285,2025-08-07,2026-01-17,6.81
QX-BWS-285,2026-01-17,,7.73
QX-DRY-286,2024-06-13,2025-08-23,0.97
QX-DRY-286,2025-08-23,2025-12-05,0.99
QX-DRY-286,2025-12-05,,1.02
QX-BAK-287,2025-03-11,2025-06-27,1.42
QX-BAK-287,2025-06-27,2025-07-06,1.48
QX-BAK-287,2025-07-06,2026-02-20,1.51
QX-BAK-287,2026-02-20,2026-02-20,1.63
QX-BAK-287,2026-02-20,2026-02-20,1.73
QX-BAK-287,2026-02-20,2026-03-14,1.75
QX-BAK-287,2026-03-14,,1.68
QX-BAK-288,2024-06-20,2025-07-28,3.40
QX-BAK-288,2025-07-28,2025-12-01,3.44
QX-BAK-288,2025-12-01,2025-12-01,3.71
QX-BAK-288,2025-12-01,2026-02-26,3.93
QX-BAK-288,2026-02-26,2026-03-23,4.07
QX-BAK-288,2026-03-23,,3.98
QX-DRK-289,2023-10-27,2026-02-22,4.36
QX-DRK-289,2026-02-22,2026-02-22,4.70
QX-DRK-289,2026-02-22,2026-02-22,5.09
QX-DRK-289,2026-02-22,,4.98
QX-BAK-290,2024-04-04,2025-09-16,7.09
QX-BAK-290,2025-09-16,2025-09-16,7.20
QX-BAK-290,2025-09-16,2026-02-22,7.29
QX-BAK-290,2026-02-22,,7.76
QX-PET-291,2025-04-02,2025-07-10,8.28
QX-PET-291,2025-07-10,2026-03-18,8.83
QX-PET-291,2026-03-18,2026-03-18,9.42
QX-PET-291,2026-03-18,2026-03-18,9.85
QX-PET-291,2026-03-18,2026-03-18,10.24
QX-PET-291,2026-03-18,2026-03-18,10.50
QX-PET-291,2026-03-18,,8.97
QX-BAK-292,2025-04-23,2025-08-20,5.96
QX-BAK-292,2025-08-20,,7.00
QX-TIN-293,2025-02-05,2025-10-30,2.04
QX-TIN-293,2025-10-30,2025-10-30,2.20
QX-TIN-293,2025-10-30,2025-12-22,2.36
QX-TIN-293,2025-12-22,2025-12-22,2.51
QX-TIN-293,2025-12-22,2025-12-22,2.65
QX-TIN-293,2025-12-22,,2.43
QX-BWS-294,2024-12-03,2025-12-27,19.10
QX-BWS-294,2025-12-27,2025-12-27,19.59
QX-BWS-294,2025-12-27,2026-03-07,20.49
QX-BWS-294,2026-03-07,,22.81
QX-BWS-295,2025-04-01,2025-08-06,27.79
QX-BWS-295,2025-08-06,,30.59
QX-BAK-296,2025-04-17,2025-06-29,2.23
QX-BAK-296,2025-06-29,2025-12-16,2.27
QX-BAK-296,2025-12-16,2025-12-16,2.40
QX-BAK-296,2025-12-16,,2.63
QX-DRY-297,2025-05-07,2025-09-09,5.00
QX-DRY-297,2025-09-09,2025-09-09,5.30
QX-DRY-297,2025-09-09,2026-03-22,5.52
QX-DRY-297,2026-03-22,2026-03-22,5.67
QX-DRY-297,2026-03-22,2026-03-22,5.80
QX-DRY-297,2026-03-22,2026-03-22,5.88
QX-DRY-297,2026-03-22,,5.24
QX-FRZ-298,2025-01-06,2026-01-01,4.76
QX-FRZ-298,2026-01-01,2026-03-13,5.15
QX-FRZ-298,2026-03-13,2026-03-13,5.39
QX-FRZ-298,2026-03-13,,5.69
QX-FRZ-299,2024-12-11,2025-10-21,4.01
QX-FRZ-299,2025-10-21,,4.36
QX-BAK-300,2025-05-15,2025-12-30,1.38
QX-BAK-300,2025-12-30,2025-12-30,1.45
QX-BAK-300,2025-12-30,2026-03-01,1.48
QX-BAK-300,2026-03-01,2026-03-01,1.52
QX-BAK-300,2026-03-01,2026-03-01,1.54
QX-BAK-300,2026-03-01,,1.66
QX-DRY-301,2025-04-04,2025-08-09,4.25
QX-DRY-301,2025-08-09,2026-03-27,4.43
QX-DRY-301,2026-03-27,2026-03-27,4.61
QX-DRY-301,2026-03-27,2026-03-27,4.98
QX-DRY-301,2026-03-27,2026-03-27,5.40
QX-DRY-301,2026-03-27,,5.14
QX-DRY-302,2025-01-20,2025-09-07,2.57
QX-DRY-302,2025-09-07,2025-10-02,2.77
QX-DRY-302,2025-10-02,2025-12-18,2.89
QX-DRY-302,2025-12-18,2025-12-18,3.04
QX-DRY-302,2025-12-18,,2.79
QX-HHD-303,2025-02-25,2026-01-02,2.41
QX-HHD-303,2026-01-02,2026-01-02,2.57
QX-HHD-303,2026-01-02,2026-01-02,2.73
QX-HHD-303,2026-01-02,2026-01-02,2.93
QX-HHD-303,2026-01-02,,2.87
QX-DRY-304,2024-01-25,2025-12-03,2.87
QX-DRY-304,2025-12-03,2026-03-25,3.01
QX-DRY-304,2026-03-25,2026-03-25,3.06
QX-DRY-304,2026-03-25,,3.28
QX-DRY-305,2024-02-09,2026-01-11,1.65
QX-DRY-305,2026-01-11,2026-02-22,1.76
QX-DRY-305,2026-02-22,2026-02-22,1.80
QX-DRY-305,2026-02-22,2026-02-22,1.94
QX-DRY-305,2026-02-22,2026-02-22,2.03
QX-DRY-305,2026-02-22,2026-03-30,2.15
QX-DRY-305,2026-03-30,,2.00
QX-TIN-306,2023-11-06,2026-03-16,2.19
QX-TIN-306,2026-03-16,2026-03-16,2.25
QX-TIN-306,2026-03-16,2026-03-16,2.41
QX-TIN-306,2026-03-16,,2.43
QX-HBC-307,2024-09-01,2025-08-07,4.62
QX-HBC-307,2025-08-07,2025-11-02,4.99
QX-HBC-307,2025-11-02,2026-03-14,5.19
QX-HBC-307,2026-03-14,2026-03-14,5.40
QX-HBC-307,2026-03-14,2026-03-14,5.75
QX-HBC-307,2026-03-14,,4.85
QX-HHD-308,2024-09-16,2025-10-12,1.74
QX-HHD-308,2025-10-12,2025-10-12,1.88
QX-HHD-308,2025-10-12,2026-03-27,2.02
QX-HHD-308,2026-03-27,2026-03-27,2.14
QX-HHD-308,2026-03-27,,1.85
QX-DRY-309,2024-11-25,2025-09-20,3.50
QX-DRY-309,2025-09-20,,3.70
QX-FRZ-310,2024-11-18,2025-12-21,5.98
QX-FRZ-310,2025-12-21,2026-03-17,6.49
QX-FRZ-310,2026-03-17,,6.36
QX-HHD-311,2025-03-10,2026-01-18,5.85
QX-HHD-311,2026-01-18,2026-02-19,6.15
QX-HHD-311,2026-02-19,2026-02-19,6.44
QX-HHD-311,2026-02-19,2026-02-19,6.52
QX-HHD-311,2026-02-19,2026-02-19,6.76
QX-HHD-311,2026-02-19,2026-02-19,7.11
QX-HHD-311,2026-02-19,,7.01
