return_id,sale_id,branch_id,returned_at,reason,refund_total
RET-000080,S-101112,B-09,2026-05-06T17:21:36Z,wrong item,10.96
RET-000081,S-106177,B-09,2026-05-06T18:42:16Z,faulty,12.36
RET-000082,S-101262,B-04,2026-05-06T14:58:51Z,wrong item,16.66
RET-000083,S-106366,B-04,2026-05-06T10:17:34Z,expired,63.29
RET-000084,S-106403,B-02,2026-05-06T11:07:58Z,faulty,33.65
RET-000085,S-101382,B-01,2026-05-06T18:01:57Z,unwanted,25.38
RET-000086,S-106789,B-20,2026-05-06T12:25:01Z,unwanted,1.28
RET-000087,S-106831,B-20,2026-05-06T14:59:46Z,faulty,14.20
RET-000088,S-106706,B-20,2026-05-06T17:35:43Z,faulty,2.68
RET-000089,S-106835,B-20,2026-05-06T12:00:57Z,faulty,12.32
RET-000090,S-106921,B-20,2026-05-06T12:34:45Z,wrong item,70.36
RET-000091,S-107449,B-21,2026-05-06T12:56:32Z,faulty,29.28
RET-000092,S-107498,B-21,2026-05-06T18:54:05Z,faulty,3.63
RET-000093,S-107420,B-21,2026-05-06T18:38:47Z,unwanted,2.52
RET-000094,S-107223,B-21,2026-05-06T14:17:36Z,faulty,14.62
RET-000095,S-107369,B-21,2026-05-06T15:44:50Z,unwanted,5.80
RET-000096,S-107301,B-21,2026-05-06T14:36:26Z,damaged,5.09
RET-000097,S-107277,B-21,2026-05-06T11:51:26Z,damaged,13.22
RET-000098,S-107608,B-22,2026-05-06T13:44:28Z,wrong item,65.25
RET-000099,S-107763,B-22,2026-05-06T10:30:52Z,faulty,12.56
RET-000100,S-107606,B-22,2026-05-06T16:46:52Z,expired,34.22
RET-000101,S-107816,B-22,2026-05-06T17:21:55Z,wrong item,75.73
RET-000102,S-108238,B-23,2026-05-06T13:10:43Z,damaged,48.68
RET-000103,S-108105,B-23,2026-05-06T18:57:09Z,expired,1.29
RET-000104,S-108263,B-23,2026-05-06T16:18:37Z,damaged,7.02
RET-000105,S-108028,B-23,2026-05-06T15:55:03Z,expired,19.83
RET-000106,S-108166,B-23,2026-05-06T10:00:33Z,wrong item,9.42
RET-000107,S-108025,B-23,2026-05-06T09:25:48Z,damaged,22.53
RET-000108,S-108787,B-24,2026-05-06T16:25:29Z,faulty,19.03
RET-000109,S-108669,B-24,2026-05-06T10:02:28Z,wrong item,14.46
RET-000110,S-108857,B-24,2026-05-06T15:57:23Z,wrong item,9.29
RET-000111,S-108650,B-24,2026-05-06T17:23:33Z,unwanted,47.62
RET-000112,S-108766,B-24,2026-05-06T13:51:57Z,damaged,12.16
RET-000113,S-108609,B-24,2026-05-06T15:52:02Z,faulty,1.20
RET-000114,S-108748,B-24,2026-05-06T12:18:43Z,wrong item,46.29
RET-000115,S-108966,B-25,2026-05-06T17:27:45Z,damaged,4.34
RET-000116,S-109020,B-25,2026-05-06T16:02:39Z,wrong item,5.76
RET-000117,S-109199,B-25,2026-05-06T16:49:58Z,faulty,15.45
RET-000118,S-108957,B-25,2026-05-06T14:46:20Z,wrong item,67.74
RET-000119,S-108958,B-25,2026-05-06T16:58:00Z,wrong item,13.00
RET-000120,S-109377,B-26,2026-05-06T13:10:36Z,unwanted,3.83
RET-000121,S-109322,B-26,2026-05-06T09:04:49Z,damaged,56.81
RET-000122,S-109406,B-27,2026-05-06T16:46:10Z,unwanted,9.32
RET-000123,S-104471,B-27,2026-05-06T16:19:15Z,expired,19.96
RET-000124,S-109543,B-27,2026-05-06T18:05:42Z,unwanted,8.74
RET-000125,S-104714,B-28,2026-05-06T16:22:14Z,damaged,84.07
RET-000126,S-109671,B-28,2026-05-06T12:52:51Z,expired,15.21
RET-000127,S-109620,B-28,2026-05-06T18:07:26Z,unwanted,30.80
RET-000128,S-104835,B-29,2026-05-06T11:40:40Z,wrong item,4.55
RET-000129,S-104752,B-29,2026-05-06T09:37:58Z,unwanted,115.75
RET-000130,S-110136,B-30,2026-05-06T14:50:11Z,unwanted,23.84
RET-000131,S-110071,B-30,2026-05-06T10:56:44Z,wrong item,3.09
RET-000132,S-105038,B-30,2026-05-06T12:17:45Z,damaged,11.24
