check_id,branch_id,competitor_id,sku,checked_on,competitor_price,our_price,checked_by
CHK-0000091,B-08,CMP-ON,QX-BWS-281,2026-05-01,15.95,15.66,E-129
CHK-0000092,B-08,CMP-ON,QX-HHD-295,2026-05-01,3.54,3.62,E-129
CHK-0000093,B-08,CMP-ON,QX-HBC-307,2026-05-01,10.31,10.13,E-129
CHK-0000094,B-08,CMP-ON,QX-CER-337,2026-05-01,3.13,3.09,E-129
CHK-0000095,B-08,CMP-ON,QX-BWS-350,2026-05-01,6.96,7.13,E-129
CHK-0000096,B-08,CMP-ON,QX-TIN-353,2026-05-01,2.44,2.49,E-129
CHK-0000097,B-08,CMP-ON,QX-TIN-355,2026-05-01,1.33,1.32,E-129
CHK-0000098,B-08,CMP-ON,QX-CER-371,2026-05-01,4.14,4.15,E-129
CHK-0000099,B-08,CMP-ON,QX-PRO-373,2026-05-01,4.56,4.46,E-129
CHK-0000100,B-08,CMP-ON,QX-BAK-411,2026-05-01,3.90,3.93,E-129
CHK-0000101,B-08,CMP-ON,QX-PRO-412,2026-05-01,2.91,2.99,E-129
CHK-0000102,B-08,CMP-ON,QX-BWS-424,2026-05-01,11.49,11.43,E-129
CHK-0000103,B-08,CMP-ON,QX-CER-436,2026-05-01,1.58,1.54,E-129
CHK-0000104,B-02,CMP-BG,QX-CER-001,2026-05-01,2.90,3.25,E-993
CHK-0000105,B-02,CMP-BG,QX-TIN-045,2026-05-01,1.08,1.20,E-993
CHK-0000106,B-02,CMP-BG,QX-BWS-204,2026-05-01,35.80,38.94,E-993
CHK-0000107,B-02,CMP-BG,QX-BWS-209,2026-05-01,27.52,30.42,E-993
CHK-0000108,B-02,CMP-BG,QX-PRO-218,2026-05-01,2.45,2.74,E-993
CHK-0000109,B-02,CMP-BG,QX-FRZ-225,2026-05-01,7.14,7.87,E-993
CHK-0000110,B-02,CMP-BG,QX-CER-248,2026-05-01,2.94,3.26,E-993
CHK-0000111,B-02,CMP-BG,QX-HHD-252,2026-05-01,2.26,2.49,E-993
CHK-0000112,B-02,CMP-BG,QX-BAK-297,2026-05-01,7.94,8.85,E-993
CHK-0000113,B-02,CMP-BG,QX-FRZ-306,2026-05-01,4.53,4.97,E-993
CHK-0000114,B-02,CMP-BG,QX-DRY-312,2026-05-01,2.15,2.28,E-993
CHK-0000115,B-02,CMP-BG,QX-BAK-335,2026-05-01,4.00,4.39,E-993
CHK-0000116,B-02,CMP-BG,QX-BWS-405,2026-05-01,31.46,32.88,E-993
CHK-0000117,B-02,CMP-BG,QX-FRZ-410,2026-05-01,4.01,4.24,E-993
CHK-0000118,B-02,CMP-BG,QX-CHL-424,2026-05-01,21.73,22.67,E-993
CHK-0000119,B-02,CMP-BG,QX-HBC-438,2026-05-01,13.21,13.86,E-993
CHK-0000120,B-02,CMP-BG,QX-CER-444,2026-05-01,1.83,2.00,E-993
CHK-0000121,B-02,CMP-BG,QX-DRY-476,2026-05-01,5.50,6.01,E-993
CHK-0000122,B-02,CMP-BG,QX-DRY-491,2026-05-01,2.96,3.14,E-993
CHK-0000123,B-02,CMP-BG,QX-HHD-511,2026-05-01,12.93,13.58,E-993
CHK-0000124,B-02,CMP-BG,QX-BWS-614,2026-05-01,24.68,26.22,E-993
CHK-0000125,B-02,CMP-BG,QX-BAK-615,2026-05-01,2.20,2.42,E-993
CHK-0000126,B-02,CMP-BG,QX-DRY-636,2026-05-01,3.85,4.31,E-993
CHK-0000127,B-02,CMP-BG,QX-BWS-639,2026-05-01,5.22,5.76,E-993
CHK-0000128,B-02,CMP-BG,QX-DRY-642,2026-05-01,2.86,3.17,E-993
CHK-0000129,B-02,CMP-BG,QX-DRK-690,2026-05-01,2.53,2.77,E-993
CHK-0000130,B-02,CMP-BG,QX-DRY-725,2026-05-01,7.14,7.56,E-993
CHK-0000131,B-02,CMP-BG,QX-CER-741,2026-05-01,3.20,3.44,E-993
CHK-0000132,B-02,CMP-BG,QX-PRO-761,2026-05-01,2.13,2.29,E-993
CHK-0000133,B-02,CMP-BG,QX-HBC-779,2026-05-01,6.71,6.99,E-993
CHK-0000134,B-02,CMP-BG,QX-CHL-792,2026-05-01,5.02,5.28,E-993
CHK-0000135,B-02,CMP-BG,QX-CER-825,2026-05-01,4.05,4.45,E-993
CHK-0000136,B-02,CMP-BG,QX-TIN-826,2026-05-01,1.30,1.41,E-993
CHK-0000137,B-02,CMP-BG,QX-TIN-860,2026-05-01,1.73,1.81,E-993
CHK-0000138,B-02,CMP-BG,QX-DRY-866,2026-05-01,3.71,4.05,E-993
CHK-0000139,B-02,CMP-BG,QX-CHL-897,2026-05-01,4.72,5.27,E-993
CHK-0000140,B-02,CMP-BG,QX-DRY-913,2026-05-01,5.62,6.06,E-993
CHK-0000141,B-02,CMP-BG,QX-BAK-941,2026-05-01,1.39,1.49,E-993
CHK-0000142,B-02,CMP-BG,QX-BWS-962,2026-05-01,39.87,41.86,E-993
CHK-0000143,B-02,CMP-BG,QX-FRZ-984,2026-05-01,6.34,6.91,E-993
CHK-0000144,B-02,CMP-BG,QX-PET-010,2026-05-01,11.64,12.21,E-993
CHK-0000145,B-02,CMP-BG,QX-DRY-026,2026-05-01,1.24,1.30,E-993
CHK-0000146,B-02,CMP-BG,QX-PET-037,2026-05-01,5.89,6.30,E-993
CHK-0000147,B-02,CMP-BG,QX-DRY-056,2026-05-01,7.39,8.11,E-993
CHK-0000148,B-02,CMP-BG,QX-DRY-144,2026-05-01,4.74,5.02,E-993
CHK-0000149,B-02,CMP-BG,QX-PRO-205,2026-05-01,3.25,3.58,E-993
CHK-0000150,B-02,CMP-BG,QX-PET-271,2026-05-01,3.88,4.25,E-993
CHK-0000151,B-02,CMP-BG,QX-BWS-280,2026-05-01,14.08,15.52,E-993
CHK-0000152,B-02,CMP-BG,QX-TIN-285,2026-05-01,0.85,0.95,E-993
CHK-0000153,B-02,CMP-BG,QX-HBC-324,2026-05-01,4.89,5.12,E-993
CHK-0000154,B-02,CMP-BG,QX-CHL-334,2026-05-01,18.89,20.20,E-993
CHK-0000155,B-02,CMP-BG,QX-TIN-343,2026-05-01,1.83,2.04,E-993
CHK-0000156,B-02,CMP-BG,QX-TIN-383,2026-05-01,2.40,2.52,E-993
CHK-0000157,B-02,CMP-BG,QX-FRZ-385,2026-05-01,2.41,2.55,E-993
CHK-0000158,B-02,CMP-BG,QX-HHD-411,2026-05-01,6.47,6.90,E-993
CHK-0000159,B-02,CMP-BG,QX-DRK-453,2026-05-01,2.98,3.17,E-993
CHK-0000160,B-02,CMP-BG,QX-BWS-470,2026-05-01,23.44,25.29,E-993
CHK-0000161,B-02,CMP-BG,QX-CER-504,2026-05-01,1.78,1.87,E-993
CHK-0000162,B-02,CMP-BG,QX-CER-529,2026-05-01,2.36,2.57,E-993
CHK-0000163,B-02,CMP-BG,QX-BAK-613,2026-05-01,2.36,2.55,E-993
CHK-0000164,B-02,CMP-BG,QX-HHD-660,2026-05-01,2.08,2.17,E-993
CHK-0000165,B-02,CMP-BG,QX-TIN-677,2026-05-01,0.90,0.95,E-993
CHK-0000166,B-02,CMP-BG,QX-FRZ-680,2026-05-01,5.83,6.24,E-993
CHK-0000167,B-02,CMP-BG,QX-CHL-707,2026-05-01,1.56,1.68,E-993
CHK-0000168,B-02,CMP-BG,QX-TIN-710,2026-05-01,1.79,1.92,E-993
CHK-0000169,B-02,CMP-BG,QX-HHD-758,2026-05-01,12.55,13.47,E-993
CHK-0000170,B-02,CMP-BG,QX-HHD-762,2026-05-01,10.05,10.72,E-993
CHK-0000171,B-02,CMP-BG,QX-HHD-829,2026-05-01,9.50,10.35,E-993
CHK-0000172,B-02,CMP-BG,QX-BWS-838,2026-05-01,13.53,14.89,E-993
CHK-0000173,B-02,CMP-BG,QX-DRY-851,2026-05-01,1.93,2.03,E-993
CHK-0000174,B-02,CMP-BG,QX-DRY-870,2026-05-01,2.87,3.14,E-993
CHK-0000175,B-02,CMP-BG,QX-BWS-897,2026-05-01,17.40,18.73,E-993
CHK-0000176,B-02,CMP-BG,QX-PRO-922,2026-05-01,1.28,1.42,E-993
CHK-0000177,B-02,CMP-BG,QX-FRZ-928,2026-05-01,7.19,8.03,E-993
CHK-0000178,B-02,CMP-BG,QX-BAK-942,2026-05-01,2.37,2.58,E-993
CHK-0000179,B-02,CMP-BG,QX-PRO-944,2026-05-01,4.23,4.49,E-993
CHK-0000180,B-02,CMP-BG,QX-BWS-950,2026-05-01,20.51,21.87,E-993
CHK-0000181,B-02,CMP-BG,QX-HHD-957,2026-05-01,2.32,2.49,E-993
CHK-0000182,B-02,CMP-BG,QX-FRZ-983,2026-05-01,3.27,3.57,E-993
CHK-0000183,B-02,CMP-BG,QX-BWS-050,2026-05-01,12.07,12.81,E-993
CHK-0000184,B-02,CMP-BG,QX-CER-077,2026-05-01,2.97,3.31,E-993
CHK-0000185,B-02,CMP-BG,QX-HBC-107,2026-05-01,7.05,7.79,E-993
CHK-0000186,B-02,CMP-BG,QX-BWS-114,2026-05-01,7.00,7.63,E-993
CHK-0000187,B-02,CMP-BG,QX-HHD-119,2026-05-01,3.17,3.40,E-993
CHK-0000188,B-02,CMP-BG,QX-TIN-175,2026-05-01,1.34,1.42,E-993
CHK-0000189,B-02,CMP-BG,QX-DRK-176,2026-05-01,1.27,1.35,E-993
CHK-0000190,B-02,CMP-BG,QX-DRK-177,2026-05-01,5.77,6.37,E-993
CHK-0000191,B-02,CMP-BG,QX-HHD-182,2026-05-01,9.71,10.18,E-993
CHK-0000192,B-02,CMP-BG,QX-DRY-193,2026-05-01,4.53,5.04,E-993
CHK-0000193,B-02,CMP-BG,QX-HHD-231,2026-05-01,8.02,8.44,E-993
CHK-0000194,B-02,CMP-BG,QX-DRK-291,2026-05-01,1.59,1.71,E-993
CHK-0000195,B-02,CMP-BG,QX-HHD-295,2026-05-01,3.70,4.13,E-993
CHK-0000196,B-02,CMP-BG,QX-TIN-317,2026-05-01,1.17,1.27,E-993
CHK-0000197,B-02,CMP-BG,QX-HBC-331,2026-05-01,14.65,15.99,E-993
CHK-0000198,B-02,CMP-BG,QX-PRO-341,2026-05-01,3.01,3.37,E-993
CHK-0000199,B-02,CMP-BG,QX-TIN-353,2026-05-01,2.63,2.84,E-993
CHK-0000200,B-02,CMP-BG,QX-TIN-355,2026-05-01,1.34,1.50,E-993
CHK-0000201,B-02,CMP-BG,QX-CER-371,2026-05-01,4.49,4.73,E-993
CHK-0000202,B-02,CMP-BG,QX-HHD-377,2026-05-01,7.62,8.25,E-993
CHK-0000203,B-02,CMP-BG,QX-PRO-412,2026-05-01,3.04,3.41,E-993
CHK-0000204,B-02,CMP-BG,QX-CER-436,2026-05-01,1.68,1.76,E-993
CHK-0000205,B-17,CMP-QS,QX-CER-001,2026-05-02,3.52,2.85,E-824
CHK-0000206,B-17,CMP-QS,QX-TIN-045,2026-05-02,1.23,1.05,E-824
CHK-0000207,B-17,CMP-QS,QX-BWS-209,2026-05-02,33.05,26.68,E-824
CHK-0000208,B-17,CMP-QS,QX-FRZ-225,2026-05-02,8.27,6.90,E-824
CHK-0000209,B-17,CMP-QS,QX-CHL-230,2026-05-02,4.14,3.70,E-824
CHK-0000210,B-17,CMP-QS,QX-PET-232,2026-05-02,5.37,4.59,E-824
CHK-0000211,B-17,CMP-QS,QX-CER-248,2026-05-02,3.17,2.86,E-824
CHK-0000212,B-17,CMP-QS,QX-HHD-252,2026-05-02,2.55,2.18,E-824
CHK-0000213,B-17,CMP-QS,QX-BAK-297,2026-05-02,8.75,7.76,E-824
CHK-0000214,B-17,CMP-QS,QX-DRY-312,2026-05-02,2.25,2.00,E-824
CHK-0000215,B-17,CMP-QS,QX-BWS-324,2026-05-02,15.74,13.89,E-824
CHK-0000216,B-17,CMP-QS,QX-PET-333,2026-05-02,6.55,5.66,E-824
CHK-0000217,B-17,CMP-QS,QX-BAK-335,2026-05-02,4.60,3.85,E-824
CHK-0000218,B-17,CMP-QS,QX-DRY-339,2026-05-02,1.89,1.53,E-824
CHK-0000219,B-17,CMP-QS,QX-BWS-405,2026-05-02,32.10,28.84,E-824
CHK-0000220,B-17,CMP-QS,QX-CHL-424,2026-05-02,22.98,19.89,E-824
CHK-0000221,B-17,CMP-QS,QX-FRZ-442,2026-05-02,9.77,7.89,E-824
CHK-0000222,B-17,CMP-QS,QX-PET-467,2026-05-02,1.35,1.19,E-824
CHK-0000223,B-17,CMP-QS,QX-DRY-476,2026-05-02,6.00,5.27,E-824
CHK-0000224,B-17,CMP-QS,QX-HHD-511,2026-05-02,13.34,11.91,E-824
CHK-0000225,B-17,CMP-QS,QX-PET-515,2026-05-02,1.60,1.38,E-824
CHK-0000226,B-17,CMP-QS,QX-FRZ-598,2026-05-02,5.38,4.41,E-824
CHK-0000227,B-17,CMP-QS,QX-DRY-600,2026-05-02,3.13,2.71,E-824
CHK-0000228,B-17,CMP-QS,QX-BWS-614,2026-05-02,27.77,23.00,E-824
CHK-0000229,B-17,CMP-QS,QX-BAK-615,2026-05-02,2.44,2.12,E-824
CHK-0000230,B-17,CMP-QS,QX-PET-622,2026-05-02,9.67,8.09,E-824
CHK-0000231,B-17,CMP-QS,QX-PET-623,2026-05-02,11.13,9.72,E-824
CHK-0000232,B-17,CMP-QS,QX-BWS-626,2026-05-02,25.32,20.32,E-824
CHK-0000233,B-17,CMP-QS,QX-TIN-635,2026-05-02,1.09,0.90,E-824
CHK-0000234,B-17,CMP-QS,QX-DRY-642,2026-05-02,3.40,2.78,E-824
CHK-0000235,B-17,CMP-QS,QX-HBC-657,2026-05-02,12.00,9.99,E-824
CHK-0000236,B-17,CMP-QS,QX-PRO-660,2026-05-02,1.49,1.35,E-824
CHK-0000237,B-17,CMP-QS,QX-PRO-688,2026-05-02,4.10,3.35,E-824
CHK-0000238,B-17,CMP-QS,QX-DRK-690,2026-05-02,2.91,2.43,E-824
CHK-0000239,B-17,CMP-QS,QX-PET-693,2026-05-02,1.15,0.95,E-824
CHK-0000240,B-17,CMP-QS,QX-BAK-706,2026-05-02,3.86,3.12,E-824
CHK-0000241,B-17,CMP-QS,QX-FRZ-709,2026-05-02,1.95,1.73,E-824
CHK-0000242,B-17,CMP-QS,QX-PRO-742,2026-05-02,4.51,3.97,E-824
CHK-0000243,B-17,CMP-QS,QX-PRO-761,2026-05-02,2.42,2.01,E-824
CHK-0000244,B-17,CMP-QS,QX-DRY-767,2026-05-02,2.00,1.80,E-824
CHK-0000245,B-17,CMP-QS,QX-CHL-792,2026-05-02,5.22,4.63,E-824
CHK-0000246,B-17,CMP-QS,QX-TIN-826,2026-05-02,1.44,1.24,E-824
CHK-0000247,B-17,CMP-QS,QX-HHD-827,2026-05-02,5.14,4.50,E-824
CHK-0000248,B-17,CMP-QS,QX-BAK-851,2026-05-02,6.80,5.91,E-824
CHK-0000249,B-17,CMP-QS,QX-TIN-860,2026-05-02,1.92,1.59,E-824
CHK-0000250,B-17,CMP-QS,QX-DRY-866,2026-05-02,4.22,3.55,E-824
CHK-0000251,B-17,CMP-QS,QX-CHL-897,2026-05-02,5.15,4.62,E-824
CHK-0000252,B-17,CMP-QS,QX-DRY-913,2026-05-02,6.60,5.32,E-824
CHK-0000253,B-17,CMP-QS,QX-BAK-941,2026-05-02,1.52,1.31,E-824
CHK-0000254,B-17,CMP-QS,QX-BWS-962,2026-05-02,43.22,36.72,E-824
CHK-0000255,B-17,CMP-QS,QX-FRZ-984,2026-05-02,6.80,6.06,E-824
CHK-0000256,B-17,CMP-QS,QX-TIN-002,2026-05-02,1.16,0.95,E-824
CHK-0000257,B-17,CMP-QS,QX-PET-010,2026-05-02,13.22,10.71,E-824
CHK-0000258,B-17,CMP-QS,QX-DRK-020,2026-05-02,1.95,1.57,E-824
CHK-0000259,B-17,CMP-QS,QX-DRY-026,2026-05-02,1.34,1.14,E-824
CHK-0000260,B-17,CMP-QS,QX-PET-037,2026-05-02,6.76,5.53,E-824
CHK-0000261,B-17,CMP-QS,QX-DRY-056,2026-05-02,8.40,7.11,E-824
CHK-0000262,B-17,CMP-QS,QX-CER-103,2026-05-02,5.16,4.41,E-824
CHK-0000263,B-17,CMP-QS,QX-TIN-108,2026-05-02,2.75,2.26,E-824
CHK-0000264,B-17,CMP-QS,QX-PRO-131,2026-05-02,5.57,4.79,E-824
CHK-0000265,B-17,CMP-QS,QX-DRK-134,2026-05-02,5.40,4.62,E-824
CHK-0000266,B-17,CMP-QS,QX-TIN-138,2026-05-02,3.16,2.70,E-824
CHK-0000267,B-17,CMP-QS,QX-DRY-144,2026-05-02,4.97,4.40,E-824
CHK-0000268,B-17,CMP-QS,QX-BWS-164,2026-05-02,35.62,31.01,E-824
CHK-0000269,B-17,CMP-QS,QX-DRY-179,2026-05-02,3.10,2.63,E-824
CHK-0000270,B-17,CMP-QS,QX-BWS-280,2026-05-02,16.11,13.61,E-824
CHK-0000271,B-17,CMP-QS,QX-DRY-314,2026-05-02,2.93,2.58,E-824
CHK-0000272,B-17,CMP-QS,QX-BWS-316,2026-05-02,6.79,5.50,E-824
CHK-0000273,B-17,CMP-QS,QX-TIN-343,2026-05-02,2.10,1.79,E-824
CHK-0000274,B-17,CMP-QS,QX-DRK-362,2026-05-02,4.31,3.46,E-824
CHK-0000275,B-17,CMP-QS,QX-HBC-393,2026-05-02,16.01,13.42,E-824
CHK-0000276,B-17,CMP-QS,QX-DRK-453,2026-05-02,3.44,2.78,E-824
CHK-0000277,B-17,CMP-QS,QX-BWS-470,2026-05-02,27.65,22.18,E-824
CHK-0000278,B-17,CMP-QS,QX-CER-504,2026-05-02,1.92,1.64,E-824
CHK-0000279,B-17,CMP-QS,QX-HHD-515,2026-05-02,10.03,8.17,E-824
CHK-0000280,B-17,CMP-QS,QX-PRO-580,2026-05-02,5.48,4.94,E-824
CHK-0000281,B-17,CMP-QS,QX-BAK-613,2026-05-02,2.63,2.24,E-824
CHK-0000282,B-17,CMP-QS,QX-FRZ-622,2026-05-02,4.86,3.90,E-824
CHK-0000283,B-17,CMP-QS,QX-DRK-670,2026-05-02,7.47,6.35,E-824
CHK-0000284,B-17,CMP-QS,QX-FRZ-680,2026-05-02,6.78,5.47,E-824
CHK-0000285,B-17,CMP-QS,QX-HHD-682,2026-05-02,3.57,3.20,E-824
CHK-0000286,B-17,CMP-QS,QX-CHL-695,2026-05-02,7.66,6.82,E-824
CHK-0000287,B-17,CMP-QS,QX-BAK-715,2026-05-02,2.85,2.52,E-824
CHK-0000288,B-17,CMP-QS,QX-HHD-758,2026-05-02,14.52,11.82,E-824
CHK-0000289,B-17,CMP-QS,QX-HHD-762,2026-05-02,11.11,9.40,E-824
CHK-0000290,B-17,CMP-QS,QX-PET-807,2026-05-02,9.92,8.21,E-824
CHK-0000291,B-17,CMP-QS,QX-BWS-838,2026-05-02,16.17,13.06,E-824
CHK-0000292,B-17,CMP-QS,QX-CHL-883,2026-05-02,8.09,7.05,E-824
CHK-0000293,B-17,CMP-QS,QX-BWS-950,2026-05-02,21.45,19.18,E-824
CHK-0000294,B-17,CMP-QS,QX-HHD-969,2026-05-02,6.60,5.32,E-824
CHK-0000295,B-17,CMP-QS,QX-BWS-977,2026-05-02,30.16,25.63,E-824
CHK-0000296,B-17,CMP-QS,QX-FRZ-983,2026-05-02,3.85,3.13,E-824
