shipment_id,line_no,sku,ordered_units,received_units
SHP-000005,14,QX-TIN-298,55,55
SHP-000006,1,QX-BAK-774,108,108
SHP-000006,2,QX-HBC-965,7,7
SHP-000006,3,QX-BAK-942,73,73
SHP-000006,4,QX-BAK-925,89,89
SHP-000006,5,QX-DRK-609,46,46
SHP-000006,6,QX-HBC-575,13,13
SHP-000006,7,QX-PRO-485,71,71
SHP-000006,8,QX-PET-420,84,84
SHP-000006,9,QX-CER-002,100,86
SHP-000006,10,QX-HBC-459,90,90
SHP-000007,1,QX-TIN-040,54,54
SHP-000007,2,QX-PRO-273,108,66
SHP-000007,3,QX-TIN-982,13,13
SHP-000007,4,QX-CER-278,82,82
SHP-000007,5,QX-TIN-390,107,107
SHP-000007,6,QX-PET-533,32,32
SHP-000007,7,QX-CER-628,93,93
SHP-000007,8,QX-CHL-025,23,21
SHP-000007,9,QX-PET-680,100,89
SHP-000007,10,QX-BAK-519,40,40
SHP-000007,11,QX-BWS-591,87,87
SHP-000007,12,QX-FRZ-525,59,59
SHP-000007,13,QX-BWS-270,75,49
SHP-000008,1,QX-CER-954,53,53
SHP-000008,2,QX-PET-322,42,42
SHP-000008,3,QX-CER-960,83,83
SHP-000008,4,QX-DRK-261,54,54
SHP-000008,5,QX-HHD-969,8,8
SHP-000008,6,QX-HBC-608,53,21
SHP-000008,7,QX-PRO-191,15,15
SHP-000008,8,QX-CER-394,44,44
SHP-000008,9,QX-CHL-420,45,45
SHP-000008,10,QX-CER-270,14,14
SHP-000008,11,QX-PET-197,113,113
SHP-000008,12,QX-PRO-718,53,53
SHP-000008,13,QX-DRK-412,100,100
SHP-000008,14,QX-HHD-268,63,63
SHP-000008,15,QX-CER-757,60,60
SHP-000009,1,QX-DRK-994,72,72
SHP-000009,2,QX-CER-997,86,86
SHP-000009,3,QX-HHD-360,65,65
SHP-000009,4,QX-BWS-120,81,81
SHP-000009,5,QX-DRK-780,13,13
SHP-000009,6,QX-HHD-469,85,85
SHP-000009,7,QX-TIN-077,41,41
SHP-000009,8,QX-BAK-877,94,94
SHP-000009,9,QX-DRY-767,51,51
SHP-000009,10,QX-HHD-766,17,17
SHP-000009,11,QX-DRK-711,39,39
SHP-000009,12,QX-CER-132,119,119
SHP-000009,13,QX-TIN-875,94,94
SHP-000009,14,QX-PET-269,119,119
SHP-000009,15,QX-CER-392,107,107
SHP-000009,16,QX-CER-251,57,57
SHP-000009,17,QX-BWS-703,10,10
SHP-000009,18,QX-BAK-722,83,83
SHP-000009,19,QX-CHL-862,73,73
SHP-000009,20,QX-CER-124,76,76
SHP-000009,21,QX-FRZ-904,16,13
SHP-000009,22,QX-CER-889,118,118
SHP-000009,23,QX-CHL-433,24,24
SHP-000009,24,QX-HHD-286,117,117
SHP-000009,25,QX-PRO-652,105,105
SHP-000009,26,QX-TIN-159,109,109
SHP-000009,27,QX-CHL-242,66,66
SHP-000009,28,QX-PRO-845,15,15
SHP-000009,29,QX-HBC-170,118,118
SHP-000009,30,QX-CHL-973,61,39
SHP-000009,31,QX-DRK-796,99,99
SHP-000009,32,QX-PRO-043,112,112
SHP-000009,33,QX-PRO-079,94,94
SHP-000009,34,QX-CHL-815,38,38
SHP-000009,35,QX-DRY-049,46,46
SHP-000009,36,QX-PRO-448,64,64
SHP-000009,37,QX-TIN-390,41,41
SHP-000009,38,QX-TIN-656,58,58
SHP-000010,1,QX-HHD-867,54,54
SHP-000010,2,QX-DRY-247,41,41
SHP-000010,3,QX-PRO-143,86,86
SHP-000010,4,QX-FRZ-018,25,25
SHP-000010,5,QX-PET-275,114,114
SHP-000010,6,QX-HBC-331,9,9
SHP-000010,7,QX-BAK-506,120,120
SHP-000010,8,QX-PET-582,58,58
SHP-000010,9,QX-HHD-158,57,57
SHP-000010,10,QX-DRK-544,113,113
SHP-000010,11,QX-PET-356,104,104
SHP-000010,12,QX-CER-338,35,35
SHP-000010,13,QX-PET-575,113,113
SHP-000010,14,QX-DRK-839,88,88
SHP-000011,1,QX-PRO-306,77,77
SHP-000011,2,QX-PRO-660,112,112
SHP-000011,3,QX-HBC-345,116,116
SHP-000011,4,QX-DRK-670,56,56
SHP-000011,5,QX-DRY-359,94,94
SHP-000011,6,QX-DRK-513,19,19
SHP-000011,7,QX-HHD-805,114,114
SHP-000011,8,QX-FRZ-011,107,107
SHP-000011,9,QX-CER-222,84,84
SHP-000011,10,QX-PET-573,111,99
SHP-000011,11,QX-PET-271,23,10
SHP-000011,12,QX-HBC-089,10,10
SHP-000011,13,QX-CER-277,111,111
SHP-000011,14,QX-HBC-039,18,18
SHP-000011,15,QX-FRZ-530,61,61
SHP-000011,16,QX-TIN-671,17,7
SHP-000011,17,QX-DRK-943,95,95
SHP-000011,18,QX-DRK-871,31,31
SHP-000011,19,QX-HHD-069,69,69
SHP-000011,20,QX-HHD-392,30,30
SHP-000011,21,QX-CHL-375,44,44
SHP-000011,22,QX-FRZ-253,55,55
SHP-000011,23,QX-BWS-087,95,95
SHP-000011,24,QX-DRY-600,111,111
SHP-000011,25,QX-HBC-576,71,71
SHP-000011,26,QX-PRO-718,16,16
SHP-000011,27,QX-PET-211,27,27
SHP-000011,28,QX-HBC-172,88,88
SHP-000011,29,QX-DRK-882,36,36
SHP-000011,30,QX-DRK-628,69,69
SHP-000012,1,QX-BAK-809,56,56
SHP-000012,2,QX-DRK-224,47,47
SHP-000012,3,QX-BAK-702,8,5
SHP-000012,4,QX-TIN-861,58,58
SHP-000012,5,QX-DRK-028,91,91
SHP-000012,6,QX-DRY-234,77,77
SHP-000012,7,QX-CER-450,114,114
SHP-000012,8,QX-CER-435,8,8
SHP-000012,9,QX-PET-708,22,22
SHP-000012,10,QX-CHL-638,101,101
SHP-000012,11,QX-BWS-639,76,76
SHP-000012,12,QX-FRZ-106,38,38
SHP-000012,13,QX-HHD-245,103,103
SHP-000012,14,QX-TIN-417,81,81
SHP-000012,15,QX-BWS-918,103,103
SHP-000012,16,QX-TIN-914,22,22
SHP-000012,17,QX-DRK-852,59,59
SHP-000012,18,QX-BAK-666,12,12
SHP-000012,19,QX-DRK-376,110,110
SHP-000012,20,QX-CER-150,34,34
SHP-000012,21,QX-PRO-244,34,34
SHP-000012,22,QX-BWS-814,37,37
SHP-000012,23,QX-FRZ-774,59,59
SHP-000012,24,QX-FRZ-011,36,36
SHP-000012,25,QX-BAK-770,30,30
SHP-000012,26,QX-FRZ-824,99,99
SHP-000012,27,QX-HBC-457,55,55
SHP-000012,28,QX-HBC-220,49,49
SHP-000012,29,QX-HBC-396,36,36
SHP-000012,30,QX-DRY-499,9,9
SHP-000012,31,QX-PET-420,11,11
SHP-000012,32,QX-FRZ-421,10,10
SHP-000012,33,QX-DRY-244,13,13
SHP-000012,34,QX-PRO-227,115,115
SHP-000013,1,QX-BAK-923,106,106
SHP-000013,2,QX-TIN-560,81,81
SHP-000013,3,QX-BWS-668,85,85
SHP-000013,4,QX-PET-010,26,26
SHP-000013,5,QX-PET-862,10,10
SHP-000013,6,QX-TIN-768,28,28
SHP-000013,7,QX-DRY-506,33,33
SHP-000013,8,QX-PET-052,36,36
SHP-000013,9,QX-CER-296,83,83
SHP-000013,10,QX-FRZ-824,36,36
SHP-000013,11,QX-BAK-688,34,34
SHP-000013,12,QX-HBC-608,100,100
SHP-000013,13,QX-HBC-284,42,42
SHP-000013,14,QX-CHL-107,83,83
SHP-000013,15,QX-TIN-313,58,58
SHP-000013,16,QX-CER-819,24,24
SHP-000013,17,QX-BAK-965,21,21
SHP-000013,18,QX-DRY-441,95,95
SHP-000013,19,QX-BWS-641,32,32
SHP-000013,20,QX-CER-326,106,106
SHP-000013,21,QX-FRZ-079,40,40
SHP-000013,22,QX-BAK-761,74,74
SHP-000013,23,QX-HHD-377,46,46
SHP-000013,24,QX-BWS-323,12,12
SHP-000013,25,QX-HBC-857,56,56
SHP-000013,26,QX-DRY-749,11,11
SHP-000013,27,QX-HHD-119,56,56
SHP-000013,28,QX-CER-436,23,23
SHP-000013,29,QX-DRY-536,33,33
SHP-000013,30,QX-FRZ-905,15,15
SHP-000013,31,QX-PRO-104,8,8
SHP-000014,1,QX-TIN-955,90,90
SHP-000014,2,QX-DRY-951,44,44
SHP-000014,3,QX-HHD-178,54,54
SHP-000014,4,QX-PRO-688,105,105
SHP-000014,5,QX-BAK-488,82,82
SHP-000014,6,QX-BAK-099,64,64
SHP-000014,7,QX-DRK-293,107,107
SHP-000014,8,QX-PET-838,49,49
SHP-000014,9,QX-HHD-094,83,83
SHP-000014,10,QX-TIN-345,73,73
SHP-000014,11,QX-TIN-363,36,36
SHP-000014,12,QX-TIN-873,86,86
SHP-000014,13,QX-DRY-929,79,79
SHP-000014,14,QX-TIN-149,90,90
SHP-000014,15,QX-PET-741,10,10
SHP-000014,16,QX-BWS-383,9,9
SHP-000014,17,QX-TIN-356,106,106
SHP-000014,18,QX-CHL-692,43,43
SHP-000014,19,QX-DRY-097,107,107
SHP-000014,20,QX-BAK-337,29,29
SHP-000014,21,QX-BAK-374,105,105
SHP-000014,22,QX-FRZ-415,15,15
SHP-000014,23,QX-BWS-381,64,64
SHP-000014,24,QX-CER-272,94,94
SHP-000014,25,QX-DRK-427,94,74
SHP-000014,26,QX-TIN-365,103,103
SHP-000014,27,QX-TIN-296,49,49
SHP-000014,28,QX-CHL-067,68,68
SHP-000014,29,QX-DRK-168,63,63
SHP-000014,30,QX-DRK-352,84,84
SHP-000014,31,QX-BWS-668,45,45
SHP-000014,32,QX-FRZ-593,109,109
SHP-000014,33,QX-BWS-298,16,16
SHP-000014,34,QX-BAK-837,97,97
SHP-000014,35,QX-CHL-122,114,114
SHP-000014,36,QX-HHD-182,46,46
SHP-000015,1,QX-DRK-722,82,82
SHP-000015,2,QX-CER-786,24,24
SHP-000015,3,QX-CER-474,54,54
SHP-000015,4,QX-DRK-115,75,75
SHP-000015,5,QX-CER-495,41,41
SHP-000015,6,QX-CER-507,109,109
SHP-000015,7,QX-CHL-358,71,71
SHP-000015,8,QX-FRZ-259,73,69
SHP-000015,9,QX-PRO-425,40,40
SHP-000015,10,QX-BWS-204,91,91
SHP-000015,11,QX-CER-352,49,49
SHP-000015,12,QX-HBC-868,90,90
SHP-000015,13,QX-HHD-286,36,36
SHP-000015,14,QX-PRO-218,27,27
SHP-000015,15,QX-PRO-922,102,102
SHP-000016,1,QX-DRY-179,95,95
SHP-000016,2,QX-PRO-959,42,42
SHP-000016,3,QX-TIN-961,62,62
SHP-000016,4,QX-BAK-449,24,24
SHP-000016,5,QX-FRZ-774,73,73
SHP-000016,6,QX-PRO-632,18,18
SHP-000016,7,QX-BWS-237,48,48
SHP-000016,8,QX-CHL-747,102,102
SHP-000016,9,QX-DRY-241,8,8
SHP-000017,1,QX-DRK-400,27,27
SHP-000017,2,QX-PET-119,58,58
SHP-000017,3,QX-DRK-609,95,95
SHP-000017,4,QX-PRO-959,56,56
SHP-000017,5,QX-BAK-864,118,118
SHP-000017,6,QX-DRY-749,53,53
SHP-000017,7,QX-DRK-402,10,10
SHP-000017,8,QX-DRK-480,46,46
SHP-000017,9,QX-CHL-391,59,59
SHP-000017,10,QX-DRK-835,78,78
SHP-000017,11,QX-CER-002,52,52
SHP-000017,12,QX-PRO-596,65,65
SHP-000017,13,QX-PRO-191,100,100
SHP-000017,14,QX-CER-151,7,7
SHP-000017,15,QX-TIN-493,40,40
SHP-000017,16,QX-DRY-357,8,8
SHP-000017,17,QX-BWS-767,81,81
SHP-000017,18,QX-PET-212,82,82
SHP-000017,19,QX-PET-200,20,20
SHP-000017,20,QX-HBC-532,93,93
SHP-000017,21,QX-DRY-126,33,33
SHP-000017,22,QX-CHL-358,11,11
SHP-000017,23,QX-HBC-170,64,64
SHP-000017,24,QX-DRK-429,47,47
SHP-000017,25,QX-DRY-276,14,14
SHP-000017,26,QX-FRZ-161,114,114
SHP-000017,27,QX-CER-480,33,33
SHP-000017,28,QX-PRO-218,28,28
SHP-000017,29,QX-PRO-089,44,44
SHP-000017,30,QX-CER-458,68,68
SHP-000017,31,QX-HBC-265,7,7
SHP-000017,32,QX-BAK-174,68,68
SHP-000017,33,QX-PET-908,105,105
SHP-000017,34,QX-PRO-039,43,43
SHP-000017,35,QX-HHD-511,73,73
SHP-000017,36,QX-FRZ-338,19,19
SHP-000017,37,QX-PET-417,100,100
SHP-000017,38,QX-FRZ-393,88,88
SHP-000018,1,QX-HBC-795,99,63
SHP-000018,2,QX-CHL-439,40,40
SHP-000018,3,QX-BAK-155,40,40
SHP-000018,4,QX-TIN-926,54,54
SHP-000018,5,QX-CHL-695,111,111
SHP-000018,6,QX-FRZ-813,97,97
SHP-000018,7,QX-CHL-091,52,52
SHP-000018,8,QX-BWS-269,81,81
SHP-000018,9,QX-CER-819,90,90
SHP-000018,10,QX-BWS-772,107,107
SHP-000018,11,QX-CER-282,47,47
SHP-000018,12,QX-DRK-220,37,22
SHP-000018,13,QX-BAK-221,70,70
SHP-000018,14,QX-CER-075,82,82
SHP-000018,15,QX-CER-429,81,81
SHP-000018,16,QX-DRK-302,59,59
SHP-000018,17,QX-HBC-060,69,69
SHP-000018,18,QX-TIN-382,74,74
SHP-000018,19,QX-FRZ-393,9,9
SHP-000018,20,QX-PRO-043,92,92
SHP-000018,21,QX-BWS-755,46,36
SHP-000018,22,QX-BWS-977,98,98
SHP-000018,23,QX-PRO-817,81,81
SHP-000018,24,QX-DRY-365,113,113
SHP-000018,25,QX-HHD-203,86,86
SHP-000018,26,QX-CHL-304,18,18
SHP-000018,27,QX-FRZ-096,87,87
SHP-000018,28,QX-PET-352,100,100
SHP-000018,29,QX-CHL-070,30,30
SHP-000018,30,QX-DRK-949,105,69
SHP-000018,31,QX-CER-423,106,106
SHP-000019,1,QX-BWS-062,17,17
SHP-000019,2,QX-TIN-110,20,20
SHP-000019,3,QX-TIN-556,87,87
SHP-000019,4,QX-BWS-236,116,93
SHP-000019,5,QX-HBC-393,56,56
SHP-000019,6,QX-DRK-302,119,119
SHP-000019,7,QX-PRO-963,88,88
SHP-000019,8,QX-BWS-668,11,11
SHP-000019,9,QX-HBC-345,19,16
SHP-000019,10,QX-BAK-645,19,11
SHP-000019,11,QX-BAK-127,79,79
SHP-000019,12,QX-BWS-479,96,96
SHP-000019,13,QX-CER-757,117,117
SHP-000019,14,QX-BAK-666,84,84
SHP-000019,15,QX-HHD-894,34,34
SHP-000019,16,QX-CER-047,48,48
SHP-000019,17,QX-HBC-286,6,6
SHP-000019,18,QX-HHD-203,79,79
SHP-000019,19,QX-PRO-026,19,19
SHP-000019,20,QX-HHD-443,43,43
SHP-000019,21,QX-BWS-167,97,97
SHP-000019,22,QX-PRO-848,39,39
SHP-000019,23,QX-PRO-320,116,116
SHP-000019,24,QX-HBC-653,85,79
SHP-000019,25,QX-FRZ-530,103,103
SHP-000019,26,QX-DRY-400,26,26
SHP-000020,1,QX-TIN-970,115,115
SHP-000020,2,QX-BWS-350,22,22
SHP-000020,3,QX-FRZ-330,41,41
SHP-000020,4,QX-DRK-407,47,47
SHP-000020,5,QX-CHL-207,116,116
SHP-000020,6,QX-DRY-266,35,35
SHP-000020,7,QX-PRO-373,37,37
SHP-000020,8,QX-HBC-800,98,58
SHP-000020,9,QX-BWS-381,43,43
SHP-000020,10,QX-FRZ-771,60,60
SHP-000020,11,QX-PRO-435,115,115
SHP-000020,12,QX-TIN-525,29,29
SHP-000020,13,QX-CHL-624,112,112
SHP-000020,14,QX-FRZ-931,34,34
SHP-000020,15,QX-HBC-902,114,114
SHP-000021,1,QX-HHD-028,89,89
SHP-000021,2,QX-PRO-273,91,91
SHP-000021,3,QX-BAK-722,83,83
SHP-000021,4,QX-DRY-319,87,87
SHP-000021,5,QX-DRK-705,32,32
SHP-000021,6,QX-PET-356,7,7
SHP-000021,7,QX-DRY-359,46,46
SHP-000021,8,QX-DRY-112,40,40
SHP-000021,9,QX-HBC-406,32,32
SHP-000021,10,QX-DRK-712,90,90
SHP-000021,11,QX-HHD-337,84,84
SHP-000021,12,QX-BAK-294,48,48
SHP-000021,13,QX-FRZ-359,22,11
SHP-000021,14,QX-HBC-475,29,29
SHP-000021,15,QX-DRY-087,45,45
SHP-000021,16,QX-BAK-233,59,59
SHP-000021,17,QX-BWS-343,100,100
SHP-000021,18,QX-FRZ-554,64,29
SHP-000021,19,QX-CHL-723,109,109
SHP-000021,20,QX-PRO-524,116,116
SHP-000021,21,QX-CER-510,57,57
SHP-000021,22,QX-HHD-989,73,73
SHP-000021,23,QX-HHD-260,85,85
SHP-000021,24,QX-FRZ-034,72,72
SHP-000021,25,QX-TIN-493,35,35
SHP-000022,1,QX-DRY-234,92,92
SHP-000022,2,QX-CER-002,57,46
SHP-000022,3,QX-HHD-821,24,24
SHP-000022,4,QX-PET-885,17,17
SHP-000022,5,QX-CER-472,68,68
SHP-000022,6,QX-HBC-320,18,13
SHP-000022,7,QX-PRO-244,47,47
SHP-000022,8,QX-HHD-665,49,49
SHP-000022,9,QX-PRO-880,96,96
SHP-000022,10,QX-DRK-744,52,52
SHP-000022,11,QX-BAK-205,110,110
SHP-000022,12,QX-HBC-049,112,112
SHP-000022,13,QX-BAK-395,34,34
SHP-000023,1,QX-PRO-226,53,53
SHP-000023,2,QX-PRO-880,39,39
SHP-000023,3,QX-BAK-205,78,78
SHP-000023,4,QX-HBC-306,11,11
SHP-000023,5,QX-TIN-957,85,85
SHP-000023,6,QX-BWS-703,75,75
SHP-000023,7,QX-CHL-253,98,98
SHP-000023,8,QX-DRY-483,100,50
SHP-000023,9,QX-DRK-168,52,52
SHP-000023,10,QX-FRZ-079,102,102
SHP-000023,11,QX-FRZ-907,85,85
SHP-000023,12,QX-HHD-745,114,114
SHP-000023,13,QX-PRO-906,63,63
SHP-000023,14,QX-BAK-437,108,108
SHP-000023,15,QX-TIN-203,91,91
SHP-000023,16,QX-PRO-320,55,51
SHP-000023,17,QX-CHL-542,64,64
SHP-000023,18,QX-DRY-141,50,50
SHP-000023,19,QX-DRK-567,42,42
SHP-000023,20,QX-CER-349,82,82
SHP-000023,21,QX-DRK-124,7,7
SHP-000023,22,QX-BWS-836,78,46
SHP-000024,1,QX-CER-275,60,60
SHP-000024,2,QX-HBC-060,22,22
SHP-000024,3,QX-FRZ-421,18,18
SHP-000024,4,QX-DRY-400,25,25
SHP-000024,5,QX-PET-822,58,58
SHP-000024,6,QX-TIN-377,13,13
SHP-000024,7,QX-PRO-934,71,71
SHP-000024,8,QX-BWS-382,45,45
SHP-000024,9,QX-CER-436,16,15
SHP-000024,10,QX-HHD-508,44,44
SHP-000024,11,QX-CER-495,11,11
SHP-000024,12,QX-HBC-098,15,15
SHP-000024,13,QX-TIN-865,33,33
SHP-000024,14,QX-CER-522,11,11
SHP-000024,15,QX-PRO-488,114,114
SHP-000024,16,QX-BAK-488,24,24
SHP-000024,17,QX-PET-277,118,118
SHP-000024,18,QX-HBC-794,7,7
SHP-000024,19,QX-BWS-681,105,105
SHP-000024,20,QX-HHD-445,101,60
SHP-000024,21,QX-BAK-830,87,87
SHP-000024,22,QX-DRK-943,73,73
SHP-000024,23,QX-DRY-498,65,65
SHP-000024,24,QX-FRZ-855,96,96
SHP-000024,25,QX-BAK-395,28,28
SHP-000024,26,QX-CER-702,99,99
SHP-000024,27,QX-CER-288,47,47
SHP-000024,28,QX-PET-031,11,11
SHP-000024,29,QX-FRZ-756,80,80
SHP-000024,30,QX-TIN-937,39,39
SHP-000024,31,QX-DRK-839,113,113
SHP-000024,32,QX-PRO-306,74,74
SHP-000024,33,QX-TIN-230,79,79
SHP-000024,34,QX-HHD-165,84,84
SHP-000024,35,QX-BAK-303,78,72
SHP-000024,36,QX-TIN-068,115,115
SHP-000024,37,QX-DRK-935,72,72
SHP-000025,1,QX-FRZ-392,115,115
SHP-000025,2,QX-FRZ-921,23,23
SHP-000025,3,QX-HHD-380,23,23
SHP-000025,4,QX-PET-960,106,106
SHP-000025,5,QX-PRO-637,51,51
SHP-000025,6,QX-HBC-501,61,61
SHP-000025,7,QX-HHD-364,28,28
SHP-000025,8,QX-PET-119,110,110
SHP-000025,9,QX-DRY-196,59,31
SHP-000025,10,QX-FRZ-079,9,9
SHP-000025,11,QX-CHL-375,109,74
SHP-000025,12,QX-HBC-234,79,79
SHP-000025,13,QX-DRY-472,44,44
SHP-000025,14,QX-CHL-638,61,61
SHP-000025,15,QX-DRY-401,73,73
SHP-000025,16,QX-CHL-966,64,64
SHP-000025,17,QX-CER-389,50,50
SHP-000025,18,QX-BWS-333,88,88
SHP-000025,19,QX-BWS-597,43,43
SHP-000025,20,QX-HHD-182,78,78
SHP-000025,21,QX-FRZ-706,24,24
SHP-000025,22,QX-CER-446,73,73
SHP-000025,23,QX-HHD-235,115,115
SHP-000025,24,QX-DRY-982,110,110
SHP-000025,25,QX-DRK-634,113,113
SHP-000025,26,QX-HHD-469,79,79
SHP-000025,27,QX-TIN-149,60,60
SHP-000025,28,QX-HHD-308,26,22
SHP-000025,29,QX-DRY-725,72,72
SHP-000025,30,QX-CHL-699,26,14
SHP-000025,31,QX-CHL-242,52,52
SHP-000025,32,QX-DRY-544,17,17
SHP-000025,33,QX-DRY-441,111,111
SHP-000025,34,QX-CER-278,100,100
SHP-000025,35,QX-TIN-657,10,10
SHP-000025,36,QX-CHL-426,95,95
SHP-000025,37,QX-DRK-380,108,108
SHP-000025,38,QX-BWS-270,87,87
SHP-000025,39,QX-CHL-669,54,42
SHP-000025,40,QX-DRY-535,76,38
SHP-000026,1,QX-HBC-539,101,101
SHP-000026,2,QX-BAK-722,37,37
SHP-000026,3,QX-DRK-115,83,83
SHP-000026,4,QX-BWS-210,64,64
SHP-000026,5,QX-DRK-780,106,106
SHP-000026,6,QX-HHD-595,31,31
SHP-000026,7,QX-DRK-177,56,56
SHP-000026,8,QX-DRY-254,28,28
SHP-000026,9,QX-PRO-204,9,9
SHP-000026,10,QX-PRO-161,95,95
SHP-000026,11,QX-HHD-315,92,92
SHP-000026,12,QX-PRO-001,72,72
SHP-000026,13,QX-HBC-099,62,62
SHP-000026,14,QX-BAK-426,75,75
SHP-000026,15,QX-BWS-388,96,96
SHP-000026,16,QX-FRZ-255,18,18
SHP-000026,17,QX-HBC-501,26,13
SHP-000026,18,QX-PRO-748,42,42
SHP-000026,19,QX-TIN-915,75,75
SHP-000026,20,QX-PRO-432,20,20
SHP-000026,21,QX-HBC-806,114,114
SHP-000026,22,QX-CHL-122,82,82
SHP-000026,23,QX-PET-382,22,14
SHP-000026,24,QX-CER-371,59,59
SHP-000026,25,QX-PRO-026,11,11
SHP-000026,26,QX-CHL-123,100,100
SHP-000026,27,QX-HBC-886,42,42
SHP-000026,28,QX-TIN-257,12,12
SHP-000026,29,QX-DRY-755,105,105
SHP-000026,30,QX-PRO-596,19,19
SHP-000026,31,QX-CHL-958,79,79
SHP-000026,32,QX-BAK-970,16,16
SHP-000026,33,QX-FRZ-745,110,110
SHP-000026,34,QX-HBC-405,18,18
SHP-000026,35,QX-HHD-551,68,68
