sku,zone_id,elasticity,std_error,observations,r_squared,model_run_date
QX-TIN-229,PZ-METRO,-0.643,0.136,5957,0.672,2026-03-24
QX-TIN-229,PZ-URBAN,-0.887,0.823,13,0.134,2026-02-22
QX-TIN-229,PZ-CORE,-2.588,0.057,8880,0.474,2026-02-25
QX-TIN-229,PZ-REMOTE,-2.070,0.074,8343,0.740,2026-03-18
QX-BAK-232,PZ-METRO,-1.344,0.094,3356,0.574,2026-03-13
QX-BAK-232,PZ-CORE,-1.577,0.192,5323,0.548,2026-03-09
QX-BAK-232,PZ-VALUE,-3.082,0.168,7615,0.844,2026-03-05
QX-BAK-232,PZ-REMOTE,-2.143,1.341,28,0.150,2026-03-10
QX-FRZ-235,PZ-METRO,-3.072,0.175,8201,0.513,2026-03-24
QX-FRZ-235,PZ-URBAN,-1.274,0.091,611,0.474,2026-03-21
QX-FRZ-235,PZ-CORE,-2.728,0.166,2112,0.752,2026-03-23
QX-FRZ-235,PZ-REMOTE,-0.739,0.083,6003,0.909,2026-03-15
QX-PRO-236,PZ-METRO,-3.136,0.142,3443,0.550,2026-03-12
QX-PRO-236,PZ-URBAN,-0.851,0.059,2114,0.626,2026-03-24
QX-PRO-236,PZ-VALUE,-2.378,0.124,7489,0.672,2026-03-20
QX-HHD-240,PZ-METRO,-3.052,2.170,40,0.103,2026-02-24
QX-HHD-240,PZ-URBAN,-2.169,0.087,4181,0.744,2026-03-01
QX-HHD-240,PZ-VALUE,-2.352,1.672,18,0.109,2026-03-18
QX-HHD-240,PZ-REMOTE,-2.257,1.001,16,0.043,2026-03-22
QX-DRY-243,PZ-URBAN,-3.132,0.124,9372,0.819,2026-03-28
QX-DRY-243,PZ-CORE,-1.955,0.135,2142,0.496,2026-03-27
QX-DRY-243,PZ-VALUE,-0.953,0.156,5731,0.885,2026-02-23
QX-DRY-243,PZ-REMOTE,-0.488,0.180,8884,0.556,2026-03-13
QX-FRZ-244,PZ-METRO,-1.504,0.201,5357,0.634,2026-02-25
QX-FRZ-244,PZ-URBAN,-2.022,1.922,20,0.039,2026-02-23
QX-FRZ-244,PZ-CORE,-2.467,0.187,7525,0.671,2026-03-07
QX-FRZ-244,PZ-VALUE,-1.899,0.139,3169,0.512,2026-03-15
QX-FRZ-244,PZ-REMOTE,-2.190,0.197,896,0.502,2026-03-17
QX-HHD-248,PZ-METRO,-2.084,0.182,6512,0.715,2026-02-26
QX-HHD-248,PZ-URBAN,-2.382,0.077,5441,0.792,2026-03-12
QX-HHD-248,PZ-CORE,-2.468,0.101,5689,0.798,2026-03-19
QX-HHD-248,PZ-VALUE,-1.220,0.131,6394,0.723,2026-03-24
QX-HHD-248,PZ-REMOTE,-0.442,1.006,33,0.030,2026-03-21
QX-HHD-253,PZ-METRO,-2.472,0.040,631,0.848,2026-03-14
QX-HHD-253,PZ-URBAN,-2.329,0.132,7259,0.624,2026-03-15
QX-HHD-253,PZ-CORE,-1.657,0.140,8620,0.916,2026-03-12
QX-HHD-253,PZ-VALUE,-1.319,0.151,7253,0.929,2026-03-03
QX-DRY-257,PZ-METRO,-0.623,0.051,3986,0.513,2026-03-29
QX-DRY-257,PZ-URBAN,-1.770,0.177,4229,0.859,2026-02-22
QX-DRY-257,PZ-CORE,-0.651,0.209,7429,0.909,2026-03-14
QX-DRY-257,PZ-VALUE,-2.611,0.110,3439,0.513,2026-03-09
QX-DRY-257,PZ-REMOTE,-3.161,0.175,695,0.792,2026-03-13
QX-HBC-258,PZ-METRO,-1.859,1.144,36,0.106,2026-03-20
QX-HBC-258,PZ-URBAN,-1.595,1.319,32,0.069,2026-02-21
QX-HBC-258,PZ-CORE,-2.037,0.753,25,0.056,2026-02-21
QX-HBC-258,PZ-VALUE,-1.725,0.098,4418,0.877,2026-03-17
QX-HBC-258,PZ-REMOTE,-2.317,0.097,8863,0.557,2026-02-25
QX-TIN-264,PZ-METRO,-1.328,0.215,2680,0.716,2026-03-05
QX-TIN-264,PZ-URBAN,-2.935,0.072,3702,0.487,2026-03-17
QX-TIN-264,PZ-CORE,-1.276,0.130,8424,0.614,2026-03-06
QX-TIN-264,PZ-VALUE,-0.869,0.177,959,0.456,2026-02-24
QX-BAK-265,PZ-METRO,-1.842,0.831,15,0.013,2026-03-28
QX-BAK-265,PZ-URBAN,-0.601,0.110,5894,0.760,2026-03-12
QX-BAK-265,PZ-REMOTE,-0.470,0.040,1706,0.514,2026-03-22
QX-FRZ-266,PZ-URBAN,-0.534,0.191,602,0.799,2026-03-16
QX-FRZ-266,PZ-CORE,-2.246,0.074,7516,0.733,2026-03-02
QX-FRZ-266,PZ-REMOTE,-1.328,0.148,5001,0.918,2026-03-03
QX-CER-267,PZ-METRO,-0.524,0.079,7006,0.503,2026-03-14
QX-CER-267,PZ-URBAN,-1.722,0.134,8536,0.480,2026-03-18
QX-CER-267,PZ-CORE,-1.487,0.090,671,0.905,2026-03-15
QX-CER-267,PZ-VALUE,-2.921,0.129,457,0.801,2026-02-28
QX-CER-267,PZ-REMOTE,-0.876,0.071,814,0.591,2026-03-27
QX-PET-270,PZ-METRO,-1.877,0.143,5468,0.508,2026-03-06
QX-PET-270,PZ-URBAN,-0.765,0.067,9269,0.755,2026-03-14
QX-PET-270,PZ-CORE,-1.260,0.105,8724,0.601,2026-03-04
QX-PET-270,PZ-VALUE,-0.411,1.842,32,0.163,2026-03-15
QX-PET-270,PZ-REMOTE,-1.595,0.072,4082,0.456,2026-03-07
QX-CHL-274,PZ-METRO,-0.416,0.121,8625,0.521,2026-03-21
QX-CHL-274,PZ-URBAN,-2.950,0.179,8129,0.667,2026-03-01
QX-CHL-274,PZ-CORE,-3.120,0.182,3799,0.901,2026-03-02
QX-CHL-274,PZ-VALUE,-2.663,0.045,3081,0.536,2026-03-19
QX-CHL-274,PZ-REMOTE,-2.916,0.189,1305,0.652,2026-03-21
QX-CER-275,PZ-URBAN,-1.717,0.785,39,0.038,2026-03-20
QX-CER-275,PZ-CORE,-2.897,1.701,19,0.080,2026-03-22
QX-CER-275,PZ-VALUE,-2.586,0.201,7815,0.479,2026-03-16
QX-HBC-276,PZ-METRO,-3.061,0.161,1990,0.819,2026-03-24
QX-HBC-276,PZ-URBAN,-1.475,0.106,7105,0.749,2026-03-26
QX-HBC-276,PZ-VALUE,-1.170,0.157,1182,0.684,2026-02-27
QX-HBC-276,PZ-REMOTE,-0.923,0.177,8525,0.582,2026-03-11
QX-HBC-277,PZ-METRO,-0.852,0.097,8677,0.530,2026-03-09
QX-HBC-277,PZ-URBAN,-2.270,0.097,5998,0.532,2026-03-05
QX-HBC-277,PZ-CORE,-1.133,0.160,4517,0.504,2026-03-19
QX-HBC-277,PZ-VALUE,-1.201,0.215,9151,0.875,2026-03-29
QX-HBC-277,PZ-REMOTE,-2.721,0.097,2104,0.573,2026-03-10
QX-HBC-279,PZ-METRO,-2.760,0.056,4093,0.911,2026-03-07
QX-HBC-279,PZ-URBAN,-2.415,0.091,4915,0.913,2026-03-11
QX-HBC-279,PZ-CORE,-0.569,0.191,1507,0.806,2026-03-10
QX-HBC-279,PZ-VALUE,-0.993,1.429,9,0.086,2026-03-15
QX-HBC-279,PZ-REMOTE,-1.174,0.176,3485,0.522,2026-03-07
QX-FRZ-282,PZ-METRO,-1.849,0.097,1601,0.878,2026-03-18
QX-FRZ-282,PZ-URBAN,-2.822,0.054,5265,0.742,2026-03-09
QX-FRZ-282,PZ-CORE,-1.302,1.166,27,0.138,2026-03-11
QX-FRZ-282,PZ-VALUE,-2.156,0.197,6009,0.519,2026-03-01
QX-FRZ-282,PZ-REMOTE,-1.965,0.055,4551,0.597,2026-03-26
QX-BAK-287,PZ-METRO,-1.448,0.208,7063,0.594,2026-03-01
QX-BAK-287,PZ-CORE,-1.959,0.220,9046,0.547,2026-02-23
QX-BAK-287,PZ-REMOTE,-2.230,0.126,5630,0.789,2026-03-21
QX-DRK-289,PZ-METRO,-2.216,0.052,1985,0.465,2026-03-18
QX-DRK-289,PZ-URBAN,-1.318,0.086,9268,0.561,2026-03-06
QX-DRK-289,PZ-CORE,-1.910,0.059,8616,0.474,2026-03-25
QX-DRK-289,PZ-VALUE,-1.193,0.129,6050,0.816,2026-02-25
QX-DRK-289,PZ-REMOTE,-2.584,1.081,25,0.200,2026-03-10
QX-TIN-293,PZ-METRO,-2.385,0.088,1728,0.717,2026-03-17
QX-TIN-293,PZ-CORE,-2.178,0.144,5407,0.657,2026-03-15
QX-TIN-293,PZ-VALUE,-1.110,0.142,8625,0.452,2026-03-24
QX-TIN-293,PZ-REMOTE,-1.997,0.096,2881,0.674,2026-03-27
QX-BAK-296,PZ-METRO,-1.485,0.140,2766,0.856,2026-03-07
QX-BAK-296,PZ-URBAN,-2.168,2.164,12,0.182,2026-03-16
QX-BAK-296,PZ-VALUE,-3.108,0.173,6962,0.807,2026-02-24
QX-BAK-296,PZ-REMOTE,-1.789,0.043,3414,0.676,2026-03-19
QX-FRZ-298,PZ-METRO,-2.138,0.180,7912,0.549,2026-03-02
QX-FRZ-298,PZ-URBAN,-2.161,0.118,2623,0.502,2026-03-04
QX-FRZ-298,PZ-CORE,-2.909,0.086,3986,0.886,2026-03-24
QX-FRZ-298,PZ-REMOTE,-1.886,1.245,11,0.160,2026-03-01
QX-FRZ-310,PZ-METRO,-0.655,0.073,5275,0.564,2026-03-07
QX-FRZ-310,PZ-URBAN,-1.841,0.065,8775,0.893,2026-03-14
QX-FRZ-310,PZ-VALUE,-1.257,0.904,12,0.147,2026-03-12
QX-FRZ-310,PZ-REMOTE,-3.100,0.176,4594,0.767,2026-03-16
QX-DRY-312,PZ-METRO,-1.549,0.105,5976,0.759,2026-03-09
QX-DRY-312,PZ-URBAN,-2.471,0.170,4571,0.889,2026-03-08
QX-DRY-312,PZ-CORE,-2.285,0.059,2643,0.730,2026-03-21
QX-DRY-312,PZ-VALUE,-1.096,0.116,4627,0.578,2026-03-28
QX-DRY-312,PZ-REMOTE,-1.172,0.126,5959,0.926,2026-03-02
QX-CER-314,PZ-METRO,-1.202,0.031,7759,0.560,2026-03-17
QX-CER-314,PZ-URBAN,-3.128,0.154,7233,0.896,2026-03-16
QX-CER-314,PZ-CORE,-0.879,0.115,3266,0.481,2026-03-05
QX-CER-314,PZ-VALUE,-0.669,0.188,8206,0.908,2026-02-28
QX-CER-314,PZ-REMOTE,-1.331,2.067,30,0.059,2026-03-28
QX-HBC-325,PZ-METRO,-1.814,0.139,7599,0.587,2026-03-27
QX-HBC-325,PZ-URBAN,-2.766,0.126,7213,0.608,2026-03-13
QX-HBC-325,PZ-CORE,-1.350,0.109,6583,0.766,2026-03-15
QX-HBC-325,PZ-VALUE,-1.530,0.152,5737,0.696,2026-03-28
QX-BAK-328,PZ-METRO,-1.566,1.549,20,0.073,2026-03-10
QX-BAK-328,PZ-URBAN,-1.827,0.124,4296,0.842,2026-02-24
QX-BAK-328,PZ-CORE,-3.102,0.141,7866,0.773,2026-02-25
QX-BAK-328,PZ-VALUE,-0.777,0.163,2596,0.458,2026-03-05
QX-BAK-328,PZ-REMOTE,-2.044,0.056,8149,0.696,2026-03-01
QX-HBC-337,PZ-CORE,-2.494,0.192,2740,0.897,2026-03-05
QX-HBC-337,PZ-VALUE,-2.227,0.147,3981,0.544,2026-03-13
QX-HBC-337,PZ-REMOTE,-2.797,0.144,2083,0.526,2026-03-08
QX-HHD-339,PZ-METRO,-0.535,0.124,8534,0.483,2026-03-18
QX-HHD-339,PZ-URBAN,-0.826,0.145,3448,0.501,2026-03-24
QX-HHD-339,PZ-CORE,-2.124,1.902,13,0.199,2026-02-24
QX-HHD-339,PZ-VALUE,-2.956,0.117,7215,0.598,2026-03-06
QX-HHD-339,PZ-REMOTE,-2.647,0.058,1584,0.858,2026-03-13
QX-FRZ-343,PZ-METRO,-2.194,0.071,1707,0.829,2026-03-13
QX-FRZ-343,PZ-URBAN,-3.035,2.276,20,0.154,2026-03-02
QX-FRZ-343,PZ-VALUE,-3.026,1.156,12,0.021,2026-03-24
QX-PRO-347,PZ-METRO,-0.526,1.978,33,0.085,2026-02-24
QX-PRO-347,PZ-URBAN,-1.205,0.207,704,0.790,2026-03-13
QX-PRO-347,PZ-CORE,-1.201,1.982,27,0.060,2026-03-19
QX-PRO-347,PZ-REMOTE,-3.070,0.135,2606,0.491,2026-03-19
QX-PET-348,PZ-METRO,-3.126,0.104,6377,0.550,2026-02-22
QX-PET-348,PZ-URBAN,-2.240,0.075,3188,0.487,2026-03-09
QX-PET-348,PZ-CORE,-0.999,0.153,1634,0.890,2026-03-24
QX-PET-348,PZ-VALUE,-2.498,0.042,4840,0.803,2026-03-28
QX-PET-348,PZ-REMOTE,-1.379,0.128,9220,0.733,2026-03-01
QX-DRY-350,PZ-METRO,-0.695,0.056,1868,0.906,2026-03-27
QX-DRY-350,PZ-URBAN,-2.915,0.038,2839,0.711,2026-03-17
QX-DRY-350,PZ-VALUE,-1.000,0.113,8891,0.897,2026-03-14
QX-DRY-350,PZ-REMOTE,-2.797,0.104,533,0.542,2026-03-29
QX-CHL-351,PZ-METRO,-2.284,0.040,7265,0.593,2026-03-22
QX-CHL-351,PZ-URBAN,-2.020,1.150,16,0.177,2026-03-06
QX-CHL-351,PZ-CORE,-1.255,0.118,4095,0.851,2026-03-06
QX-CHL-351,PZ-VALUE,-2.343,0.046,7626,0.493,2026-03-21
QX-CHL-351,PZ-REMOTE,-1.263,0.036,926,0.913,2026-03-23
QX-CHL-352,PZ-URBAN,-0.818,0.146,9143,0.653,2026-03-21
QX-CHL-352,PZ-CORE,-1.572,0.046,7074,0.449,2026-03-04
QX-CHL-352,PZ-VALUE,-2.494,0.160,4396,0.622,2026-03-08
QX-CHL-352,PZ-REMOTE,-0.500,0.206,7849,0.467,2026-03-24
QX-CHL-354,PZ-METRO,-2.721,2.079,17,0.115,2026-03-19
QX-CHL-354,PZ-URBAN,-1.064,0.140,7950,0.727,2026-03-12
QX-CHL-354,PZ-VALUE,-2.330,0.119,9067,0.541,2026-03-22
QX-CHL-354,PZ-REMOTE,-2.321,1.520,19,0.087,2026-03-20
QX-CER-355,PZ-METRO,-2.296,0.211,7205,0.777,2026-02-25
QX-CER-355,PZ-URBAN,-1.185,0.162,3214,0.578,2026-03-20
QX-CER-355,PZ-CORE,-3.121,0.081,5852,0.664,2026-03-04
QX-CER-355,PZ-VALUE,-1.575,0.213,7165,0.849,2026-02-25
QX-PRO-363,PZ-METRO,-2.559,0.195,1155,0.503,2026-02-21
QX-PRO-363,PZ-URBAN,-0.655,0.165,4446,0.789,2026-03-05
QX-PRO-363,PZ-CORE,-0.793,0.115,5068,0.646,2026-03-28
QX-PRO-363,PZ-VALUE,-1.455,1.853,17,0.053,2026-03-28
QX-PRO-363,PZ-REMOTE,-2.438,0.176,520,0.554,2026-03-22
QX-BWS-365,PZ-METRO,-1.804,0.155,5139,0.766,2026-03-11
QX-BWS-365,PZ-URBAN,-3.048,0.117,547,0.590,2026-03-24
QX-BWS-365,PZ-CORE,-2.935,0.118,512,0.638,2026-03-21
QX-BWS-365,PZ-VALUE,-0.688,0.150,4829,0.449,2026-02-21
QX-BWS-365,PZ-REMOTE,-1.392,0.048,7897,0.661,2026-03-20
QX-CHL-368,PZ-METRO,-2.590,0.156,4210,0.611,2026-03-15
QX-CHL-368,PZ-CORE,-2.540,0.124,3703,0.628,2026-02-23
QX-CHL-368,PZ-VALUE,-0.503,0.061,4395,0.460,2026-03-22
QX-CHL-368,PZ-REMOTE,-1.780,0.072,8010,0.576,2026-03-06
QX-CER-372,PZ-METRO,-1.827,0.181,1209,0.546,2026-03-19
QX-CER-372,PZ-URBAN,-2.308,0.039,8102,0.732,2026-03-14
QX-CER-372,PZ-CORE,-3.051,1.897,9,0.154,2026-02-22
QX-CER-372,PZ-VALUE,-1.968,0.111,5097,0.704,2026-02-27
QX-CER-372,PZ-REMOTE,-3.135,0.046,6256,0.928,2026-03-14
QX-HBC-374,PZ-METRO,-0.668,0.166,5962,0.793,2026-03-01
QX-HBC-374,PZ-URBAN,-2.165,0.060,9001,0.694,2026-03-18
QX-HBC-374,PZ-CORE,-0.856,0.211,8098,0.868,2026-02-27
QX-HBC-374,PZ-REMOTE,-1.857,0.190,858,0.771,2026-03-03
QX-TIN-375,PZ-METRO,-2.454,0.040,639,0.791,2026-03-28
QX-TIN-375,PZ-URBAN,-2.384,0.132,4590,0.520,2026-03-27
QX-TIN-375,PZ-VALUE,-2.218,0.072,4822,0.543,2026-02-27
QX-TIN-375,PZ-REMOTE,-0.974,0.192,4959,0.560,2026-03-23
QX-BWS-376,PZ-METRO,-0.740,0.742,17,0.138,2026-03-02
QX-BWS-376,PZ-CORE,-1.869,0.117,4866,0.729,2026-03-11
QX-TIN-383,PZ-METRO,-1.963,0.088,2887,0.476,2026-03-28
QX-TIN-383,PZ-URBAN,-1.853,2.057,40,0.084,2026-03-07
QX-TIN-383,PZ-CORE,-2.347,0.208,7248,0.558,2026-03-26
QX-TIN-383,PZ-VALUE,-2.596,0.217,5344,0.654,2026-03-01
QX-TIN-383,PZ-REMOTE,-0.808,0.083,3146,0.746,2026-03-17
QX-HHD-387,PZ-METRO,-0.995,0.037,4210,0.769,2026-03-25
QX-HHD-387,PZ-CORE,-2.293,0.201,1105,0.757,2026-02-25
QX-HHD-387,PZ-VALUE,-1.636,0.174,6721,0.610,2026-02-27
QX-HHD-387,PZ-REMOTE,-0.581,0.180,6591,0.901,2026-03-14
QX-HHD-388,PZ-METRO,-2.720,0.197,3089,0.530,2026-03-12
QX-HHD-388,PZ-URBAN,-1.104,0.198,6065,0.885,2026-03-27
QX-HHD-388,PZ-CORE,-1.689,0.123,4673,0.648,2026-03-20
QX-HHD-388,PZ-VALUE,-1.163,0.077,4566,0.553,2026-02-23
QX-HHD-388,PZ-REMOTE,-3.049,0.120,6216,0.706,2026-03-05
QX-TIN-391,PZ-METRO,-2.957,0.216,7746,0.871,2026-03-01
QX-TIN-391,PZ-URBAN,-1.641,0.188,9056,0.923,2026-03-21
QX-TIN-391,PZ-REMOTE,-2.131,0.101,3416,0.530,2026-03-06
QX-BWS-395,PZ-URBAN,-1.890,1.505,27,0.172,2026-02-25
QX-BWS-395,PZ-VALUE,-1.883,0.031,2272,0.578,2026-03-27
QX-BWS-395,PZ-REMOTE,-0.543,0.125,4409,0.632,2026-03-28
QX-BWS-398,PZ-METRO,-0.705,0.158,5718,0.667,2026-02-27
QX-BWS-398,PZ-CORE,-0.968,0.141,6119,0.887,2026-03-14
QX-BWS-398,PZ-VALUE,-0.622,0.155,7676,0.738,2026-03-06
QX-DRK-400,PZ-METRO,-1.463,0.073,2215,0.584,2026-03-07
QX-DRK-400,PZ-URBAN,-2.334,0.059,6981,0.879,2026-03-25
QX-DRK-400,PZ-CORE,-1.269,0.167,5113,0.545,2026-02-24
QX-DRK-400,PZ-REMOTE,-2.933,0.074,7868,0.649,2026-03-16
QX-FRZ-403,PZ-METRO,-2.641,0.161,8652,0.595,2026-03-04
QX-FRZ-403,PZ-URBAN,-0.791,1.424,23,0.098,2026-03-05
QX-FRZ-403,PZ-CORE,-2.403,0.107,8894,0.545,2026-03-25
QX-BAK-406,PZ-URBAN,-2.915,0.163,7135,0.628,2026-03-18
QX-BAK-406,PZ-CORE,-0.916,0.114,3218,0.714,2026-03-28
QX-BAK-406,PZ-VALUE,-1.901,1.837,21,0.037,2026-03-09
QX-BAK-406,PZ-REMOTE,-2.451,0.051,6638,0.756,2026-03-14
QX-HBC-409,PZ-METRO,-2.678,0.120,796,0.917,2026-03-26
QX-HBC-409,PZ-URBAN,-1.801,0.037,690,0.694,2026-02-27
QX-HBC-409,PZ-CORE,-0.420,0.051,3417,0.579,2026-03-29
QX-HBC-409,PZ-VALUE,-1.799,0.211,2147,0.603,2026-03-29
QX-HBC-409,PZ-REMOTE,-2.816,0.178,4682,0.793,2026-02-24
QX-CER-410,PZ-URBAN,-0.590,0.097,3149,0.710,2026-03-13
QX-CER-410,PZ-CORE,-1.438,0.113,5970,0.549,2026-03-07
QX-CER-410,PZ-VALUE,-1.731,0.140,7820,0.461,2026-02-28
QX-CER-410,PZ-REMOTE,-1.554,0.154,5720,0.660,2026-03-03
QX-FRZ-411,PZ-METRO,-0.665,0.174,2612,0.658,2026-03-10
QX-FRZ-411,PZ-URBAN,-2.434,1.514,25,0.111,2026-03-04
QX-FRZ-411,PZ-CORE,-2.639,0.193,8111,0.707,2026-02-25
QX-FRZ-411,PZ-VALUE,-2.574,0.050,3919,0.555,2026-03-03
QX-FRZ-411,PZ-REMOTE,-3.072,0.203,2436,0.667,2026-02-24
QX-HHD-412,PZ-URBAN,-2.473,0.136,8964,0.804,2026-03-06
QX-HHD-412,PZ-CORE,-2.588,1.060,10,0.170,2026-03-02
QX-HHD-412,PZ-VALUE,-2.269,0.043,2786,0.756,2026-03-17
QX-PET-415,PZ-METRO,-2.963,0.208,2422,0.867,2026-02-26
QX-PET-415,PZ-CORE,-2.760,0.032,5610,0.844,2026-03-23
QX-PET-415,PZ-VALUE,-3.052,0.156,765,0.667,2026-02-24
QX-DRY-419,PZ-URBAN,-1.804,1.460,31,0.171,2026-03-27
QX-DRY-419,PZ-VALUE,-1.307,0.085,6612,0.862,2026-02-21
QX-DRY-419,PZ-REMOTE,-2.003,0.140,5905,0.689,2026-03-28
QX-BAK-420,PZ-METRO,-2.853,0.084,2390,0.784,2026-02-26
QX-BAK-420,PZ-URBAN,-2.211,0.191,2929,0.559,2026-03-04
QX-BAK-420,PZ-CORE,-0.721,0.147,7778,0.727,2026-03-17
QX-BAK-420,PZ-VALUE,-3.062,0.957,16,0.147,2026-03-10
QX-BAK-420,PZ-REMOTE,-1.757,0.102,4566,0.831,2026-03-11
QX-PRO-421,PZ-METRO,-1.684,0.056,4607,0.473,2026-03-10
QX-PRO-421,PZ-URBAN,-2.457,0.052,1548,0.805,2026-03-24
QX-PRO-421,PZ-VALUE,-1.961,0.047,3195,0.774,2026-02-28
QX-PRO-421,PZ-REMOTE,-2.227,1.187,12,0.166,2026-03-29
QX-PRO-425,PZ-METRO,-2.877,0.211,2274,0.555,2026-03-24
QX-PRO-425,PZ-URBAN,-1.164,0.755,15,0.043,2026-03-10
QX-PRO-425,PZ-VALUE,-0.615,0.087,7180,0.785,2026-03-29
QX-PRO-427,PZ-METRO,-2.340,0.190,2075,0.600,2026-03-26
QX-PRO-427,PZ-URBAN,-0.776,0.096,7260,0.610,2026-03-10
QX-PRO-427,PZ-CORE,-0.592,1.878,21,0.113,2026-03-06
QX-PRO-427,PZ-VALUE,-2.510,0.144,7645,0.613,2026-03-29
QX-PRO-427,PZ-REMOTE,-1.708,0.052,4671,0.680,2026-03-06
QX-CER-428,PZ-METRO,-1.273,0.033,2317,0.613,2026-03-15
QX-CER-428,PZ-URBAN,-2.343,0.196,4830,0.894,2026-03-09
