depot_id,snapshot_date,sku,pallets_on_hand,weeks_cover
DC-01,2026-05-06,QX-BAK-567,200,4.6
DC-01,2026-05-06,QX-HBC-568,135,7.4
DC-01,2026-05-06,QX-HHD-569,31,0.5
DC-01,2026-05-06,QX-HBC-576,291,5.7
DC-01,2026-05-06,QX-HBC-578,316,8.0
DC-01,2026-05-06,QX-HHD-594,18,3.3
DC-01,2026-05-06,QX-HHD-597,186,3.3
DC-01,2026-05-06,QX-PRO-612,211,8.6
DC-01,2026-05-06,QX-BWS-619,298,0.7
DC-01,2026-05-06,QX-FRZ-626,89,5.7
DC-01,2026-05-06,QX-TIN-628,94,0.4
DC-01,2026-05-06,QX-BWS-632,285,1.1
DC-01,2026-05-06,QX-FRZ-633,5,8.5
DC-01,2026-05-06,QX-TIN-640,46,4.7
DC-01,2026-05-06,QX-TIN-644,266,2.0
DC-01,2026-05-06,QX-HBC-646,92,8.9
DC-01,2026-05-06,QX-HBC-648,105,3.8
DC-01,2026-05-06,QX-TIN-649,32,0.3
DC-01,2026-05-06,QX-HBC-650,255,0.2
DC-01,2026-05-06,QX-PRO-653,193,1.2
DC-01,2026-05-06,QX-PET-657,193,1.3
DC-01,2026-05-06,QX-CHL-662,322,8.4
DC-01,2026-05-06,QX-HHD-663,231,6.3
DC-01,2026-05-06,QX-BAK-667,62,3.1
DC-01,2026-05-06,QX-BAK-675,305,6.3
DC-01,2026-05-06,QX-PET-677,231,6.4
DC-01,2026-05-06,QX-DRY-680,24,4.3
DC-01,2026-05-06,QX-CER-682,163,9.3
DC-01,2026-05-06,QX-DRK-683,36,2.7
DC-01,2026-05-06,QX-DRY-689,312,3.4
DC-01,2026-05-06,QX-HHD-693,119,8.3
DC-01,2026-05-06,QX-CHL-701,169,5.6
DC-01,2026-05-06,QX-DRK-704,73,1.6
DC-01,2026-05-06,QX-PET-708,3,1.4
DC-01,2026-05-06,QX-FRZ-711,141,9.3
DC-01,2026-05-06,QX-CHL-716,217,8.8
DC-01,2026-05-06,QX-FRZ-717,131,1.2
DC-01,2026-05-06,QX-HBC-723,319,5.5
DC-01,2026-05-06,QX-PRO-726,150,4.2
DC-01,2026-05-06,QX-FRZ-727,135,4.8
DC-01,2026-05-06,QX-BAK-732,316,1.0
DC-01,2026-05-06,QX-FRZ-738,130,9.0
DC-01,2026-05-06,QX-BWS-743,176,6.7
DC-01,2026-05-06,QX-BWS-747,314,2.4
DC-01,2026-05-06,QX-CER-750,288,4.7
DC-01,2026-05-06,QX-CHL-752,163,7.6
DC-01,2026-05-06,QX-BWS-753,162,6.9
DC-01,2026-05-06,QX-CHL-756,272,4.1
DC-01,2026-05-06,QX-CER-763,313,2.4
DC-01,2026-05-06,QX-BAK-768,80,2.4
DC-01,2026-05-06,QX-PET-769,22,7.4
DC-01,2026-05-06,QX-CER-770,245,4.4
DC-01,2026-05-06,QX-CER-773,161,7.6
DC-01,2026-05-06,QX-CER-774,110,0.7
DC-01,2026-05-06,QX-HHD-776,144,4.2
DC-01,2026-05-06,QX-PET-783,234,6.4
DC-01,2026-05-06,QX-HBC-786,160,1.0
DC-01,2026-05-06,QX-HBC-791,113,6.6
DC-01,2026-05-06,QX-FRZ-792,69,8.3
DC-01,2026-05-06,QX-CER-793,262,8.2
DC-01,2026-05-06,QX-HHD-798,47,8.3
DC-01,2026-05-06,QX-PET-801,331,8.9
DC-01,2026-05-06,QX-TIN-803,285,3.8
DC-01,2026-05-06,QX-HBC-804,174,6.0
DC-01,2026-05-06,QX-FRZ-806,169,5.2
DC-01,2026-05-06,QX-FRZ-809,267,6.2
DC-01,2026-05-06,QX-BWS-816,339,7.2
DC-01,2026-05-06,QX-CER-818,66,8.3
DC-01,2026-05-06,QX-HHD-820,124,3.9
DC-01,2026-05-06,QX-BAK-823,54,2.0
DC-01,2026-05-06,QX-HHD-826,132,0.2
DC-01,2026-05-06,QX-BWS-829,319,1.5
DC-01,2026-05-06,QX-BWS-835,228,4.8
DC-01,2026-05-06,QX-HHD-837,128,4.8
DC-01,2026-05-06,QX-DRK-845,222,5.8
DC-01,2026-05-06,QX-TIN-846,92,3.0
DC-01,2026-05-06,QX-TIN-849,146,8.6
DC-01,2026-05-06,QX-HHD-852,308,6.4
DC-01,2026-05-06,QX-TIN-854,121,1.8
DC-01,2026-05-06,QX-PET-855,179,6.5
DC-01,2026-05-06,QX-BAK-857,217,8.8
DC-01,2026-05-06,QX-DRY-858,132,5.3
DC-01,2026-05-06,QX-CHL-861,253,6.5
DC-01,2026-05-06,QX-CER-862,151,1.9
DC-01,2026-05-06,QX-PRO-866,69,5.9
DC-01,2026-05-06,QX-HBC-870,306,5.2
DC-01,2026-05-06,QX-DRY-873,201,1.4
DC-01,2026-05-06,QX-PRO-874,165,8.2
DC-01,2026-05-06,QX-DRY-876,122,2.3
DC-01,2026-05-06,QX-HBC-879,51,7.9
DC-01,2026-05-06,QX-CHL-880,132,0.5
DC-01,2026-05-06,QX-BWS-893,271,9.2
DC-01,2026-05-06,QX-HBC-895,48,1.7
DC-01,2026-05-06,QX-FRZ-897,301,9.0
DC-01,2026-05-06,QX-HHD-902,108,0.2
DC-01,2026-05-06,QX-DRY-903,83,7.4
DC-01,2026-05-06,QX-TIN-908,314,3.0
DC-01,2026-05-06,QX-PET-911,311,7.6
DC-01,2026-05-06,QX-DRY-914,244,7.8
DC-01,2026-05-06,QX-DRY-915,148,4.1
DC-01,2026-05-06,QX-BAK-918,164,2.0
DC-01,2026-05-06,QX-DRK-923,77,6.2
DC-01,2026-05-06,QX-FRZ-924,252,7.5
DC-01,2026-05-06,QX-CER-929,218,2.3
DC-01,2026-05-06,QX-BWS-933,155,2.6
DC-01,2026-05-06,QX-HHD-936,128,4.8
DC-01,2026-05-06,QX-BWS-938,125,6.2
DC-01,2026-05-06,QX-BAK-941,315,4.1
DC-01,2026-05-06,QX-PRO-943,238,8.4
DC-01,2026-05-06,QX-TIN-944,331,1.6
DC-01,2026-05-06,QX-CER-947,101,0.4
DC-01,2026-05-06,QX-CHL-949,253,8.3
DC-01,2026-05-06,QX-TIN-950,159,8.9
DC-01,2026-05-06,QX-DRK-951,184,8.3
DC-01,2026-05-06,QX-BWS-955,301,7.9
DC-01,2026-05-06,QX-CHL-956,246,1.0
DC-01,2026-05-06,QX-BAK-958,188,1.1
DC-01,2026-05-06,QX-PET-960,173,5.1
DC-01,2026-05-06,QX-DRY-965,338,0.4
DC-01,2026-05-06,QX-CHL-966,32,8.5
DC-01,2026-05-06,QX-TIN-973,117,2.0
DC-01,2026-05-06,QX-HBC-974,37,9.1
DC-01,2026-05-06,QX-FRZ-977,306,5.2
DC-01,2026-05-06,QX-HBC-985,198,7.2
DC-01,2026-05-06,QX-HHD-986,301,4.5
DC-01,2026-05-06,QX-TIN-987,116,6.1
DC-01,2026-05-06,QX-HHD-994,59,9.5
DC-01,2026-05-06,QX-CHL-997,214,0.5
DC-01,2026-05-06,QX-TIN-000,265,2.3
DC-01,2026-05-06,QX-BWS-001,297,7.0
DC-01,2026-05-06,QX-HBC-002,183,2.9
DC-01,2026-05-06,QX-PET-003,172,9.5
DC-01,2026-05-06,QX-FRZ-007,77,1.1
DC-01,2026-05-06,QX-CHL-011,193,5.1
DC-01,2026-05-06,QX-DRY-012,173,1.9
DC-01,2026-05-06,QX-PET-023,206,4.0
DC-01,2026-05-06,QX-DRK-027,147,1.2
DC-01,2026-05-06,QX-CER-031,144,6.5
DC-01,2026-05-06,QX-CER-032,333,5.6
DC-01,2026-05-06,QX-TIN-044,72,3.9
DC-01,2026-05-06,QX-TIN-047,89,7.0
DC-01,2026-05-06,QX-CHL-049,320,1.3
DC-01,2026-05-06,QX-HBC-054,122,8.0
DC-01,2026-05-06,QX-HBC-055,54,3.7
DC-01,2026-05-06,QX-BAK-059,291,5.8
DC-01,2026-05-06,QX-PET-065,1,3.9
DC-01,2026-05-06,QX-CHL-072,81,7.0
DC-01,2026-05-06,QX-TIN-075,146,9.5
DC-01,2026-05-06,QX-PRO-077,284,3.8
DC-01,2026-05-06,QX-PRO-083,26,7.3
DC-01,2026-05-06,QX-CER-085,304,2.3
DC-01,2026-05-06,QX-FRZ-090,115,4.8
DC-01,2026-05-06,QX-CER-097,41,2.1
DC-01,2026-05-06,QX-HBC-100,172,5.8
DC-01,2026-05-06,QX-TIN-105,84,7.8
DC-01,2026-05-06,QX-CHL-110,62,3.5
DC-01,2026-05-06,QX-HBC-111,233,5.8
DC-01,2026-05-06,QX-TIN-112,151,3.1
DC-01,2026-05-06,QX-TIN-115,63,2.0
DC-01,2026-05-06,QX-CHL-117,43,8.8
DC-01,2026-05-06,QX-CER-118,224,6.4
DC-01,2026-05-06,QX-PET-119,70,8.5
DC-01,2026-05-06,QX-CHL-126,41,0.8
DC-01,2026-05-06,QX-DRK-128,226,7.6
DC-01,2026-05-06,QX-HHD-130,204,9.2
DC-01,2026-05-06,QX-BAK-134,291,4.5
DC-01,2026-05-06,QX-CHL-136,270,7.9
DC-01,2026-05-06,QX-FRZ-140,61,0.3
DC-01,2026-05-06,QX-BWS-141,72,8.9
DC-01,2026-05-06,QX-TIN-142,314,7.9
DC-01,2026-05-06,QX-CER-145,3,6.3
DC-01,2026-05-06,QX-DRY-146,63,2.3
DC-01,2026-05-06,QX-DRY-148,57,4.9
DC-01,2026-05-06,QX-TIN-151,35,8.1
DC-01,2026-05-06,QX-TIN-157,110,6.9
DC-01,2026-05-06,QX-BAK-163,62,6.4
DC-01,2026-05-06,QX-HBC-164,54,5.9
DC-01,2026-05-06,QX-PET-169,264,1.3
DC-01,2026-05-06,QX-PRO-170,257,6.4
DC-01,2026-05-06,QX-BWS-175,322,6.5
DC-01,2026-05-06,QX-PRO-176,338,1.0
DC-01,2026-05-06,QX-HHD-177,121,2.7
DC-01,2026-05-06,QX-PET-180,284,1.2
DC-01,2026-05-06,QX-DRY-183,180,7.0
DC-01,2026-05-06,QX-CER-184,109,9.3
DC-01,2026-05-06,QX-DRK-186,302,2.1
DC-01,2026-05-06,QX-FRZ-188,305,0.5
DC-01,2026-05-06,QX-HHD-189,288,8.8
DC-01,2026-05-06,QX-TIN-193,225,6.8
DC-01,2026-05-06,QX-FRZ-201,284,8.7
DC-01,2026-05-06,QX-CHL-207,319,4.8
DC-01,2026-05-06,QX-TIN-218,278,8.3
DC-01,2026-05-06,QX-DRY-230,296,2.3
DC-01,2026-05-06,QX-CER-231,213,1.8
DC-01,2026-05-06,QX-FRZ-233,180,7.1
DC-01,2026-05-06,QX-DRY-241,220,4.8
DC-01,2026-05-06,QX-HHD-242,169,0.9
DC-01,2026-05-06,QX-TIN-244,339,7.1
DC-01,2026-05-06,QX-HHD-246,69,6.1
DC-01,2026-05-06,QX-BAK-248,38,0.4
DC-01,2026-05-06,QX-FRZ-249,68,3.0
DC-01,2026-05-06,QX-DRK-258,156,6.8
DC-01,2026-05-06,QX-DRK-259,323,9.1
DC-01,2026-05-06,QX-BWS-260,339,3.8
DC-01,2026-05-06,QX-PRO-262,294,0.5
DC-01,2026-05-06,QX-PRO-264,334,5.1
DC-01,2026-05-06,QX-CHL-269,127,0.3
DC-01,2026-05-06,QX-CER-270,195,7.3
DC-01,2026-05-06,QX-CER-274,28,8.0
DC-01,2026-05-06,QX-CHL-278,73,1.6
DC-01,2026-05-06,QX-BWS-279,126,1.2
DC-01,2026-05-06,QX-BAK-294,317,8.1
DC-01,2026-05-06,QX-CHL-295,33,0.6
DC-01,2026-05-06,QX-DRK-300,267,6.2
DC-01,2026-05-06,QX-CER-307,82,2.2
DC-01,2026-05-06,QX-TIN-309,108,2.9
DC-01,2026-05-06,QX-TIN-310,150,2.7
DC-01,2026-05-06,QX-BWS-314,43,7.6
DC-01,2026-05-06,QX-PET-315,276,4.2
DC-01,2026-05-06,QX-HHD-319,232,6.4
DC-01,2026-05-06,QX-HBC-321,170,5.8
DC-01,2026-05-06,QX-TIN-328,288,1.0
DC-01,2026-05-06,QX-DRY-333,30,6.3
DC-01,2026-05-06,QX-FRZ-334,76,1.6
DC-01,2026-05-06,QX-HHD-338,18,5.7
DC-01,2026-05-06,QX-DRK-341,288,2.8
DC-01,2026-05-06,QX-CER-343,327,4.8
DC-01,2026-05-06,QX-TIN-344,175,1.3
DC-01,2026-05-06,QX-HHD-354,292,2.1
DC-01,2026-05-06,QX-HBC-356,192,6.7
DC-01,2026-05-06,QX-TIN-357,110,3.2
DC-01,2026-05-06,QX-PRO-366,10,8.7
DC-01,2026-05-06,QX-PET-368,144,6.7
DC-01,2026-05-06,QX-HHD-374,206,6.6
DC-01,2026-05-06,QX-BAK-376,87,4.8
DC-01,2026-05-06,QX-CHL-388,166,1.4
DC-01,2026-05-06,QX-CHL-389,74,2.0
DC-01,2026-05-06,QX-DRK-391,90,0.3
DC-01,2026-05-06,QX-PET-396,132,7.9
DC-01,2026-05-06,QX-DRY-408,43,1.2
DC-01,2026-05-06,QX-FRZ-413,11,6.6
DC-01,2026-05-06,QX-PET-417,68,9.2
DC-01,2026-05-06,QX-PET-422,150,5.9
DC-01,2026-05-06,QX-CHL-424,19,4.0
DC-01,2026-05-06,QX-DRY-429,94,4.2
DC-01,2026-05-06,QX-CER-433,161,1.4
DC-01,2026-05-06,QX-PRO-435,76,7.3
DC-01,2026-05-06,QX-HHD-442,182,2.5
DC-01,2026-05-06,QX-HHD-444,96,8.3
DC-01,2026-05-06,QX-HHD-450,1,0.5
DC-01,2026-05-06,QX-HHD-452,41,5.1
DC-01,2026-05-06,QX-PET-455,88,3.4
DC-01,2026-05-06,QX-DRY-457,148,8.6
DC-01,2026-05-06,QX-TIN-463,192,2.0
DC-01,2026-05-06,QX-HBC-465,278,8.0
DC-01,2026-05-06,QX-CHL-466,164,7.9
DC-01,2026-05-06,QX-DRK-467,67,6.9
DC-01,2026-05-06,QX-TIN-468,261,7.8
DC-01,2026-05-06,QX-PET-471,238,6.2
DC-01,2026-05-06,QX-DRY-472,107,2.0
DC-01,2026-05-06,QX-TIN-487,62,1.2
DC-01,2026-05-06,QX-HHD-492,197,1.6
DC-01,2026-05-06,QX-FRZ-495,7,3.6
DC-01,2026-05-06,QX-FRZ-500,96,1.1
DC-01,2026-05-06,QX-BAK-502,245,4.3
DC-01,2026-05-06,QX-DRK-503,231,6.5
DC-01,2026-05-06,QX-FRZ-504,7,5.5
DC-01,2026-05-06,QX-TIN-510,103,3.5
DC-01,2026-05-06,QX-DRK-513,304,3.1
DC-01,2026-05-06,QX-BAK-520,161,3.2
DC-01,2026-05-06,QX-CER-521,257,5.4
DC-01,2026-05-06,QX-CHL-525,271,6.0
DC-01,2026-05-06,QX-BAK-526,177,4.7
DC-01,2026-05-06,QX-BAK-527,73,7.1
DC-01,2026-05-06,QX-CHL-534,202,5.7
DC-01,2026-05-06,QX-CER-537,296,1.6
DC-01,2026-05-06,QX-BWS-538,172,6.1
DC-01,2026-05-06,QX-PRO-541,38,5.5
DC-01,2026-05-06,QX-PRO-546,73,4.6
DC-01,2026-05-06,QX-CHL-547,227,1.9
DC-01,2026-05-06,QX-DRY-552,254,1.6
DC-01,2026-05-06,QX-FRZ-555,132,6.5
DC-01,2026-05-06,QX-CHL-558,88,2.3
DC-01,2026-05-06,QX-TIN-560,204,2.7
DC-01,2026-05-06,QX-PRO-562,244,6.5
DC-01,2026-05-06,QX-HBC-563,216,5.2
DC-01,2026-05-06,QX-HHD-566,69,0.4
DC-01,2026-05-06,QX-PRO-573,236,1.0
DC-01,2026-05-06,QX-FRZ-576,269,1.9
DC-01,2026-05-06,QX-PRO-578,118,7.5
DC-01,2026-05-06,QX-PRO-594,331,9.1
DC-01,2026-05-06,QX-DRY-604,95,6.3
DC-01,2026-05-06,QX-BAK-607,172,4.0
DC-01,2026-05-06,QX-PRO-608,250,2.5
DC-01,2026-05-06,QX-HBC-609,305,8.7
DC-01,2026-05-06,QX-CHL-615,283,0.3
DC-01,2026-05-06,QX-BAK-616,322,8.9
DC-01,2026-05-06,QX-HHD-622,217,3.9
DC-01,2026-05-06,QX-CER-625,240,6.5
DC-01,2026-05-06,QX-HHD-627,240,3.5
DC-01,2026-05-06,QX-PET-638,252,5.2
DC-01,2026-05-06,QX-HBC-642,153,2.5
DC-01,2026-05-06,QX-PRO-643,16,3.0
DC-01,2026-05-06,QX-BAK-644,301,5.0
DC-01,2026-05-06,QX-BAK-647,95,3.7
DC-01,2026-05-06,QX-CER-653,321,3.2
DC-01,2026-05-06,QX-BAK-654,71,7.4
DC-01,2026-05-06,QX-BWS-655,67,3.6
DC-01,2026-05-06,QX-TIN-656,181,3.0
DC-01,2026-05-06,QX-HHD-662,110,4.5
DC-01,2026-05-06,QX-BWS-666,155,3.0
DC-01,2026-05-06,QX-HHD-670,272,0.9
DC-01,2026-05-06,QX-TIN-672,196,5.3
DC-01,2026-05-06,QX-CHL-675,282,2.7
DC-01,2026-05-06,QX-DRK-677,253,7.7
DC-01,2026-05-06,QX-FRZ-678,336,6.9
DC-01,2026-05-06,QX-HHD-679,140,1.9
DC-01,2026-05-06,QX-CHL-680,274,0.5
DC-01,2026-05-06,QX-PRO-683,260,7.7
DC-01,2026-05-06,QX-BAK-687,161,3.4
DC-01,2026-05-06,QX-PRO-689,67,8.6
DC-01,2026-05-06,QX-PET-690,326,6.6
DC-01,2026-05-06,QX-PRO-692,205,7.6
DC-01,2026-05-06,QX-HHD-697,293,3.1
DC-01,2026-05-06,QX-TIN-705,267,8.8
DC-01,2026-05-06,QX-TIN-706,164,5.0
DC-01,2026-05-06,QX-BWS-707,276,5.9
DC-01,2026-05-06,QX-FRZ-712,303,7.9
DC-01,2026-05-06,QX-CER-717,204,0.5
DC-01,2026-05-06,QX-TIN-718,56,8.5
DC-01,2026-05-06,QX-DRY-724,282,7.5
DC-01,2026-05-06,QX-FRZ-735,66,2.8
DC-01,2026-05-06,QX-PET-736,209,9.2
DC-01,2026-05-06,QX-DRY-749,263,4.8
DC-01,2026-05-06,QX-FRZ-752,30,4.7
DC-01,2026-05-06,QX-HHD-754,303,3.5
DC-01,2026-05-06,QX-HBC-758,180,1.2
DC-01,2026-05-06,QX-CER-762,165,9.0
DC-01,2026-05-06,QX-BAK-769,192,2.7
DC-01,2026-05-06,QX-FRZ-772,80,2.7
DC-01,2026-05-06,QX-CHL-776,84,4.0
DC-01,2026-05-06,QX-BAK-777,21,7.6
DC-01,2026-05-06,QX-BAK-778,95,6.8
DC-01,2026-05-06,QX-PRO-781,16,7.0
DC-01,2026-05-06,QX-HBC-806,274,4.5
DC-01,2026-05-06,QX-HBC-811,291,5.2
DC-01,2026-05-06,QX-DRY-819,336,7.4
DC-01,2026-05-06,QX-CHL-823,178,5.5
DC-01,2026-05-06,QX-CHL-825,143,8.5
DC-01,2026-05-06,QX-CER-830,276,5.3
DC-01,2026-05-06,QX-TIN-831,108,2.0
DC-01,2026-05-06,QX-PET-832,208,2.6
DC-01,2026-05-06,QX-FRZ-833,32,8.0
DC-01,2026-05-06,QX-DRK-834,305,3.7
DC-01,2026-05-06,QX-CER-841,109,5.2
DC-01,2026-05-06,QX-DRY-849,23,6.5
DC-01,2026-05-06,QX-FRZ-850,116,2.2
DC-01,2026-05-06,QX-HBC-857,235,1.1
DC-01,2026-05-06,QX-DRY-860,183,3.2
DC-01,2026-05-06,QX-PET-872,307,5.1
DC-01,2026-05-06,QX-CHL-876,231,7.7
DC-01,2026-05-06,QX-TIN-878,94,6.7
DC-01,2026-05-06,QX-FRZ-885,241,8.0
DC-01,2026-05-06,QX-PRO-886,310,6.8
DC-01,2026-05-06,QX-TIN-894,9,2.2
DC-01,2026-05-06,QX-BAK-896,274,5.1
DC-01,2026-05-06,QX-BWS-897,30,8.1
DC-01,2026-05-06,QX-FRZ-902,11,4.9
DC-01,2026-05-06,QX-FRZ-905,1,0.4
DC-01,2026-05-06,QX-DRK-909,302,3.5
DC-01,2026-05-06,QX-CER-917,286,1.4
DC-01,2026-05-06,QX-DRK-922,308,6.5
DC-01,2026-05-06,QX-HBC-924,233,1.3
DC-01,2026-05-06,QX-HBC-928,280,3.1
DC-01,2026-05-06,QX-TIN-936,26,0.8
DC-01,2026-05-06,QX-TIN-939,325,6.3
DC-01,2026-05-06,QX-DRK-940,75,3.3
DC-01,2026-05-06,QX-FRZ-941,103,4.7
DC-01,2026-05-06,QX-BWS-944,300,0.7
DC-01,2026-05-06,QX-DRK-948,93,2.8
DC-01,2026-05-06,QX-DRY-952,298,5.7
DC-01,2026-05-06,QX-FRZ-957,237,1.4
DC-01,2026-05-06,QX-PET-958,53,6.0
DC-01,2026-05-06,QX-HBC-959,20,2.0
DC-01,2026-05-06,QX-TIN-961,168,2.2
DC-01,2026-05-06,QX-DRK-963,304,2.8
DC-01,2026-05-06,QX-PRO-964,86,3.1
DC-01,2026-05-06,QX-CER-968,22,3.3
DC-01,2026-05-06,QX-HHD-972,59,5.0
DC-01,2026-05-06,QX-CER-973,7,4.0
DC-01,2026-05-06,QX-HHD-974,190,7.3
DC-01,2026-05-06,QX-CHL-976,138,3.5
DC-01,2026-05-06,QX-HBC-979,137,0.4
DC-01,2026-05-06,QX-PET-980,271,5.0
DC-01,2026-05-06,QX-DRY-984,14,9.2
DC-01,2026-05-06,QX-DRK-990,176,7.6
DC-01,2026-05-06,QX-FRZ-992,98,8.6
DC-01,2026-05-06,QX-CHL-993,36,1.7
DC-01,2026-05-06,QX-FRZ-997,180,3.5
DC-01,2026-05-06,QX-CHL-012,208,5.2
DC-01,2026-05-06,QX-DRY-017,306,4.2
DC-01,2026-05-06,QX-HBC-020,252,6.9
DC-01,2026-05-06,QX-HHD-023,18,1.0
DC-01,2026-05-06,QX-TIN-031,206,1.5
DC-01,2026-05-06,QX-CER-037,56,3.8
DC-01,2026-05-06,QX-CER-038,209,5.1
DC-01,2026-05-06,QX-FRZ-048,18,8.9
DC-01,2026-05-06,QX-HHD-050,340,8.3
DC-01,2026-05-06,QX-DRK-059,148,7.2
DC-01,2026-05-06,QX-BAK-060,28,8.9
DC-01,2026-05-06,QX-TIN-061,78,6.5
DC-01,2026-05-06,QX-HHD-070,256,7.2
DC-01,2026-05-06,QX-PET-072,315,4.2
DC-01,2026-05-06,QX-BAK-076,165,1.4
DC-01,2026-05-06,QX-PET-078,157,9.3
DC-01,2026-05-06,QX-FRZ-079,26,8.8
DC-01,2026-05-06,QX-HBC-084,312,7.1
