sale_id,line_no,sku,quantity,uom,unit_price,line_total,promotion_id
S-100015,3,QX-DRY-581,2,unit,1.52,3.04,PRM-061
S-100015,4,QX-BAK-965,2,unit,1.84,3.68,PRM-034
S-100015,5,QX-CER-267,1,unit,3.32,3.32,
S-100015,6,QX-FRZ-625,2,unit,6.25,12.50,
S-100015,7,QX-BWS-681,1,unit,8.71,8.71,
S-100015,8,QX-HHD-736,3,unit,7.45,22.35,
S-100015,9,QX-TIN-054,3,unit,2.13,6.39,
S-100015,10,QX-HHD-236,3,unit,11.92,35.76,
S-100016,1,QX-TIN-630,1,unit,1.62,1.62,
S-100016,2,QX-TIN-904,2,unit,1.28,2.56,
S-100016,3,QX-HBC-575,1,unit,2.97,2.97,
S-100016,4,QX-HHD-256,2,unit,8.71,17.42,
S-100016,5,QX-HHD-808,3,unit,4.91,14.73,
S-100016,6,QX-CHL-503,1.691,kg,21.93,37.08,
S-100017,1,QX-BWS-263,2,unit,9.99,19.98,PRM-047
S-100017,2,QX-CER-041,1,unit,4.25,4.25,
S-100017,3,QX-PET-052,3,unit,8.60,25.80,
S-100017,4,QX-TIN-957,3,unit,2.15,6.45,
S-100017,5,QX-CER-991,1,unit,2.72,2.72,
S-100017,6,QX-DRY-193,1,unit,4.42,4.42,
S-100017,7,QX-PET-559,2,unit,8.05,16.10,
S-100017,8,QX-DRK-645,2,unit,2.75,5.50,
S-100017,9,QX-PRO-159,2,unit,3.88,7.76,
S-100017,10,QX-CER-041,1,unit,4.25,4.25,
S-100017,11,QX-PRO-171,1.59,kg,3.88,6.17,
S-100017,12,QX-DRY-870,3,unit,2.75,8.25,
S-100017,13,QX-BWS-987,2,unit,11.32,22.64,
S-100017,14,QX-CER-901,3,unit,3.83,11.49,
S-100018,1,QX-CER-336,2,unit,4.22,8.44,
S-100018,2,QX-HBC-366,1,unit,13.31,13.31,
S-100018,3,QX-HHD-119,2,unit,2.98,5.96,
S-100018,4,QX-DRY-472,3,unit,2.56,7.68,
S-100018,5,QX-DRY-913,1,unit,5.32,5.32,
S-100018,6,QX-DRK-007,2,unit,1.11,2.22,PRM-036
S-100018,7,QX-CHL-195,1.415,kg,7.42,10.50,PRM-011
S-100018,8,QX-CER-047,2,unit,2.16,4.32,
S-100018,9,QX-DRK-645,2,unit,2.75,5.50,
S-100018,10,QX-CER-786,2,unit,2.57,5.14,
S-100018,11,QX-BWS-246,2,unit,26.62,53.24,
S-100018,12,QX-CER-510,2,unit,4.78,9.56,
S-100019,1,QX-FRZ-643,1,unit,6.85,6.85,
S-100019,2,QX-TIN-088,3,unit,0.55,1.65,
S-100019,3,QX-DRY-247,2,unit,5.43,10.86,
S-100019,4,QX-DRK-762,2,unit,5.31,10.62,
S-100019,5,QX-TIN-630,2,unit,1.62,3.24,
S-100019,6,QX-PRO-751,2.14,kg,2.57,5.50,
S-100019,7,QX-DRK-192,2,unit,0.70,1.40,
S-100019,8,QX-DRK-024,2,unit,1.61,3.22,
S-100019,9,QX-DRY-792,2,unit,4.31,8.62,
S-100019,10,QX-DRY-085,3,unit,1.65,4.95,
S-100019,11,QX-CER-458,2,unit,2.72,5.44,PRM-033
S-100019,12,QX-DRY-196,2,unit,3.85,7.70,
S-100019,13,QX-HHD-364,2,unit,4.37,8.74,
S-100020,1,QX-DRY-189,3,unit,5.54,16.62,
S-100020,2,QX-PET-684,2,unit,6.51,13.02,
S-100020,3,QX-PRO-409,2,unit,0.95,1.90,
S-100020,4,QX-DRY-472,1,unit,2.56,2.56,
S-100020,5,QX-PRO-079,2,unit,3.46,6.92,
S-100020,6,QX-PRO-200,1,unit,2.89,2.89,
S-100020,7,QX-PRO-448,2,unit,5.50,11.00,
S-100020,8,QX-CHL-057,1,unit,4.41,4.41,
S-100020,9,QX-PRO-341,1.986,kg,2.96,5.88,
S-100020,10,QX-HHD-612,2,unit,9.31,18.62,
S-100021,1,QX-PRO-354,1.729,kg,2.01,3.48,
S-100021,2,QX-FRZ-106,2,unit,5.78,11.56,
S-100021,3,QX-FRZ-588,2,unit,5.70,11.40,
S-100021,4,QX-DRY-535,2,unit,4.09,8.18,
S-100021,5,QX-PET-919,2,unit,7.66,15.32,
S-100021,6,QX-DRK-722,1,unit,2.59,2.59,
S-100021,7,QX-CHL-180,2,unit,2.65,5.30,
S-100021,8,QX-CER-207,3,unit,4.15,12.45,
S-100021,9,QX-DRK-348,3,unit,4.08,12.24,
S-100021,10,QX-PET-708,2,unit,8.47,16.94,
S-100021,11,QX-HHD-129,2,unit,11.84,23.68,
S-100021,12,QX-TIN-322,1,unit,0.75,0.75,
S-100021,13,QX-PRO-652,1.259,kg,1.81,2.28,
S-100021,14,QX-PRO-205,3,unit,3.14,9.42,
S-100021,15,QX-PET-119,2,unit,8.89,17.78,PRM-009
S-100021,16,QX-PET-457,2,unit,1.19,2.38,
S-100021,17,QX-BWS-327,2,unit,16.15,32.30,
S-100021,18,QX-PRO-150,3,unit,2.16,6.48,
S-100022,1,QX-DRK-095,2,unit,2.70,5.40,
S-100022,2,QX-CHL-938,3,unit,8.95,26.85,
S-100022,3,QX-PET-858,3,unit,7.84,23.52,
S-100022,4,QX-CHL-242,1.526,kg,15.04,22.95,
S-100022,5,QX-BWS-006,2,unit,23.95,47.90,
S-100022,6,QX-DRY-549,2,unit,3.65,7.30,
S-100022,7,QX-HBC-575,2,unit,2.97,5.94,PRM-001
S-100022,8,QX-TIN-881,2,unit,1.69,3.38,
S-100022,9,QX-CHL-253,1,unit,8.47,8.47,
S-100022,10,QX-HHD-238,1,unit,2.12,2.12,
S-100022,11,QX-FRZ-680,1,unit,5.47,5.47,
S-100023,1,QX-HBC-055,3,unit,1.76,5.28,
S-100023,2,QX-TIN-193,3,unit,0.60,1.80,
S-100023,3,QX-PRO-829,2.16,kg,2.57,5.55,
S-100023,4,QX-BWS-838,1,unit,13.06,13.06,
S-100023,5,QX-BAK-367,2.068,kg,8.05,16.65,
S-100024,1,QX-TIN-288,2,unit,1.11,2.22,
S-100024,2,QX-HHD-956,2,unit,5.76,11.52,
S-100024,3,QX-TIN-865,3,unit,1.53,4.59,
S-100025,1,QX-DRY-658,2,unit,1.18,2.36,
S-100025,2,QX-CER-689,2,unit,3.39,6.78,
S-100025,3,QX-FRZ-074,2,unit,2.44,4.88,
S-100025,4,QX-HHD-397,3,unit,1.12,3.36,
S-100025,5,QX-FRZ-563,3,unit,5.14,15.42,
S-100026,1,QX-PET-680,2,unit,4.90,9.80,
S-100026,2,QX-CER-208,2,unit,1.36,2.72,
S-100026,3,QX-DRK-192,3,unit,0.70,2.10,
S-100026,4,QX-DRK-393,2,unit,5.22,10.44,
S-100026,5,QX-FRZ-635,1,unit,1.58,1.58,
S-100026,6,QX-HHD-286,2,unit,6.79,13.58,
S-100026,7,QX-CHL-287,2,unit,3.03,6.06,
S-100026,8,QX-BWS-728,2,unit,25.48,50.96,
S-100027,1,QX-DRY-316,2,unit,3.70,7.40,
S-100028,1,QX-HHD-890,1,unit,11.09,11.09,PRM-006
S-100029,1,QX-PET-446,3,unit,1.52,4.56,
S-100029,2,QX-FRZ-806,2,unit,1.96,3.92,
S-100030,1,QX-CER-522,3,unit,1.24,3.72,
S-100030,2,QX-HHD-195,2,unit,4.64,9.28,
S-100030,3,QX-PET-110,2,unit,1.91,3.82,
S-100030,4,QX-DRY-544,2,unit,6.62,13.24,
S-100030,5,QX-TIN-538,3,unit,1.90,5.70,
S-100030,6,QX-TIN-312,1,unit,2.43,2.43,
S-100030,7,QX-PET-420,1,unit,4.42,4.42,
S-100030,8,QX-CER-438,3,unit,3.39,10.17,
S-100030,9,QX-DRK-406,2,unit,0.75,1.50,
S-100030,10,QX-BAK-321,3,unit,2.75,8.25,
S-100031,1,QX-BWS-909,2,unit,7.99,15.98,
S-100031,2,QX-DRK-177,1,unit,5.59,5.59,
S-100031,3,QX-PET-242,3,unit,7.12,21.36,
S-100031,4,QX-DRY-279,2,unit,6.88,13.76,
S-100031,5,QX-TIN-701,2,unit,0.65,1.30,
S-100031,6,QX-BAK-965,1,unit,1.84,1.84,
S-100031,7,QX-CER-520,3,unit,1.83,5.49,
S-100031,8,QX-DRK-168,3,unit,4.18,12.54,
S-100031,9,QX-TIN-383,2,unit,2.21,4.42,
S-100031,10,QX-DRK-735,1,unit,5.90,5.90,
S-100031,11,QX-PET-680,1,unit,4.90,4.90,
S-100031,12,QX-PET-632,1,unit,4.67,4.67,PRM-037
S-100031,13,QX-TIN-463,1,unit,1.70,1.70,
S-100031,14,QX-PRO-889,1,unit,3.94,3.94,
S-100031,15,QX-HHD-558,1,unit,4.26,4.26,
S-100031,16,QX-CER-434,1,unit,4.34,4.34,
S-100031,17,QX-DRK-546,3,unit,1.28,3.84,
S-100031,18,QX-CER-429,3,unit,4.69,14.07,
S-100031,19,QX-HHD-330,1,unit,1.80,1.80,
S-100031,20,QX-PRO-952,3,unit,1.51,4.53,
S-100031,21,QX-PRO-191,3,unit,2.73,8.19,
S-100031,22,QX-TIN-272,2,unit,1.83,3.66,PRM-052
S-100031,23,QX-CHL-332,2,unit,7.89,15.78,
S-100031,24,QX-BAK-217,1.393,kg,4.53,6.31,
S-100032,1,QX-HBC-283,2,unit,11.52,23.04,
S-100033,1,QX-PET-946,1,unit,4.02,4.02,
S-100033,2,QX-PRO-191,2,unit,2.73,5.46,PRM-030
S-100033,3,QX-DRK-007,2,unit,1.11,2.22,PRM-003
S-100033,4,QX-PET-090,2,unit,4.34,8.68,
S-100033,5,QX-BAK-165,2,unit,1.50,3.00,
S-100033,6,QX-DRK-085,3,unit,3.55,10.65,
S-100033,7,QX-TIN-436,2,unit,2.66,5.32,PRM-004
S-100033,8,QX-CER-780,2,unit,2.76,5.52,
S-100033,9,QX-FRZ-415,2,unit,8.38,16.76,
S-100033,10,QX-HBC-539,3,unit,4.05,12.15,PRM-057
S-100033,11,QX-DRY-351,2,unit,3.54,7.08,
S-100033,12,QX-BAK-641,3,unit,1.45,4.35,PRM-019
S-100033,13,QX-PET-908,2,unit,4.12,8.24,
S-100033,14,QX-DRY-305,2,unit,1.05,2.10,
S-100033,15,QX-HBC-396,1,unit,12.55,12.55,
S-100034,1,QX-PET-217,3,unit,7.65,22.95,
S-100034,2,QX-CER-369,3,unit,4.68,14.04,
S-100034,3,QX-DRY-835,3,unit,1.51,4.53,
S-100034,4,QX-CHL-231,2,unit,8.06,16.12,
S-100034,5,QX-PET-632,2,unit,4.67,9.34,
S-100034,6,QX-DRY-555,3,unit,4.64,13.92,
S-100034,7,QX-DRK-528,1,unit,6.07,6.07,
S-100034,8,QX-DRY-260,3,unit,6.36,19.08,
S-100034,9,QX-CER-689,1,unit,3.39,3.39,
S-100034,10,QX-HHD-337,1,unit,6.03,6.03,
S-100034,11,QX-DRY-254,2,unit,6.62,13.24,
S-100034,12,QX-HHD-766,2,unit,3.00,6.00,
S-100034,13,QX-BWS-307,3,unit,33.64,100.92,
S-100035,1,QX-HBC-457,3,unit,4.99,14.97,
S-100035,2,QX-PET-125,3,unit,7.27,21.81,
S-100035,3,QX-PRO-539,2,unit,4.84,9.68,PRM-017
S-100035,4,QX-DRY-400,2,unit,5.32,10.64,
S-100035,5,QX-CHL-200,1.044,kg,7.19,7.51,
S-100035,6,QX-PET-125,1,unit,7.27,7.27,
S-100035,7,QX-HHD-183,2,unit,7.15,14.30,
S-100036,1,QX-PET-277,1,unit,4.39,4.39,
S-100036,2,QX-BAK-546,1,unit,4.17,4.17,
S-100036,3,QX-DRK-468,2,unit,4.76,9.52,
S-100036,4,QX-BAK-135,2,unit,3.96,7.92,
S-100037,1,QX-DRY-112,1,unit,6.59,6.59,
S-100037,2,QX-TIN-957,1,unit,2.15,2.15,
S-100038,1,QX-PET-693,2,unit,0.95,1.90,
S-100038,2,QX-HBC-532,2,unit,5.91,11.82,
S-100038,3,QX-HHD-182,2,unit,8.93,17.86,
S-100039,1,QX-CER-690,3,unit,3.53,10.59,
S-100039,2,QX-CER-201,2,unit,3.30,6.60,
S-100039,3,QX-BWS-302,2,unit,30.59,61.18,PRM-055
S-100040,1,QX-HHD-231,3,unit,7.40,22.20,
S-100041,1,QX-DRK-380,1,unit,5.73,5.73,
S-100041,2,QX-PET-123,2,unit,2.47,4.94,
S-100041,3,QX-PRO-180,1.553,kg,1.77,2.75,
S-100041,4,QX-BAK-521,2,unit,2.47,4.94,
S-100041,5,QX-DRY-835,3,unit,1.51,4.53,
S-100041,6,QX-PRO-066,1.7,kg,4.02,6.83,
S-100041,7,QX-DRY-929,3,unit,1.90,5.70,
S-100041,8,QX-DRY-261,3,unit,2.15,6.45,
S-100041,9,QX-HHD-556,2,unit,4.44,8.88,
S-100041,10,QX-HBC-727,2,unit,8.33,16.66,
S-100041,11,QX-DRY-452,2,unit,6.15,12.30,
S-100041,12,QX-DRK-134,2,unit,4.62,9.24,PRM-019
S-100041,13,QX-HHD-443,2,unit,5.12,10.24,
S-100041,14,QX-FRZ-102,1,unit,6.58,6.58,
S-100041,15,QX-TIN-865,3,unit,1.53,4.59,
S-100041,16,QX-BWS-405,3,unit,28.84,86.52,PRM-054
S-100042,1,QX-HHD-827,2,unit,4.50,9.00,
S-100042,2,QX-BWS-747,2,unit,21.24,42.48,
S-100042,3,QX-DRK-293,3,unit,4.95,14.85,
S-100042,4,QX-CER-223,3,unit,2.02,6.06,
S-100042,5,QX-PRO-149,0.29,kg,4.03,1.17,
S-100042,6,QX-BWS-343,2,unit,25.00,50.00,
S-100042,7,QX-DRK-891,2,unit,1.73,3.46,
S-100042,8,QX-DRY-085,1,unit,1.65,1.65,
S-100042,9,QX-HHD-515,1,unit,8.17,8.17,
S-100042,10,QX-BAK-120,0.408,kg,4.94,2.02,
S-100042,11,QX-CER-933,2,unit,1.25,2.50,
S-100042,12,QX-PRO-022,2,unit,2.06,4.12,
S-100042,13,QX-DRK-735,3,unit,5.90,17.70,
S-100042,14,QX-PRO-143,3,unit,4.23,12.69,
S-100043,1,QX-DRY-319,1,unit,1.68,1.68,
S-100044,1,QX-HHD-263,3,unit,4.61,13.83,
S-100044,2,QX-BAK-419,0.237,kg,6.96,1.65,
S-100044,3,QX-HHD-308,2,unit,9.41,18.82,
S-100045,1,QX-PRO-679,1,unit,1.45,1.45,
S-100045,2,QX-PRO-660,2.135,kg,1.35,2.88,
S-100045,3,QX-DRK-021,3,unit,0.85,2.55,
S-100045,4,QX-PET-680,2,unit,4.90,9.80,
S-100045,5,QX-PRO-436,3,unit,2.30,6.90,
S-100045,6,QX-BWS-962,2,unit,36.72,73.44,
S-100045,7,QX-HBC-297,2,unit,1.84,3.68,
S-100045,8,QX-DRY-767,1,unit,1.80,1.80,
S-100045,9,QX-HBC-591,2,unit,4.06,8.12,
S-100045,10,QX-FRZ-709,1,unit,1.73,1.73,
S-100045,11,QX-TIN-296,3,unit,1.30,3.90,
S-100045,12,QX-PET-065,2,unit,8.04,16.08,
S-100045,13,QX-DRY-499,2,unit,4.65,9.30,
S-100045,14,QX-PET-471,1,unit,9.82,9.82,
S-100046,1,QX-DRY-910,2,unit,2.72,5.44,
S-100046,2,QX-HHD-360,1,unit,8.90,8.90,
S-100047,1,QX-CER-702,1,unit,3.80,3.80,
S-100047,2,QX-CHL-677,1,unit,2.74,2.74,
S-100047,3,QX-BWS-661,2,unit,6.64,13.28,
S-100047,4,QX-HHD-170,2,unit,4.27,8.54,PRM-034
S-100047,5,QX-PRO-303,1.082,kg,2.53,2.74,
S-100047,6,QX-HBC-117,2,unit,6.50,13.00,
S-100048,1,QX-HBC-011,2,unit,11.35,22.70,
S-100048,2,QX-PRO-596,0.362,kg,2.09,0.76,
S-100048,3,QX-HBC-279,1,unit,1.75,1.75,
S-100048,4,QX-PET-520,3,unit,2.26,6.78,
S-100048,5,QX-CHL-432,1,unit,5.14,5.14,
S-100048,6,QX-TIN-635,2,unit,0.90,1.80,
S-100048,7,QX-HHD-240,1,unit,11.50,11.50,
S-100048,8,QX-TIN-884,3,unit,2.81,8.43,
S-100048,9,QX-CER-505,2,unit,2.73,5.46,
S-100048,10,QX-FRZ-442,3,unit,7.89,23.67,
S-100048,11,QX-HHD-240,1,unit,11.50,11.50,
S-100048,12,QX-PET-503,1,unit,7.84,7.84,
S-100049,1,QX-CHL-021,2.062,kg,9.79,20.19,
S-100050,1,QX-DRY-012,2,unit,2.35,4.70,
S-100050,2,QX-HHD-178,2,unit,3.93,7.86,
S-100050,3,QX-FRZ-289,2,unit,8.22,16.44,
S-100050,4,QX-BWS-479,1,unit,21.34,21.34,
S-100051,1,QX-CHL-562,1.041,kg,16.03,16.69,
S-100052,1,QX-BWS-230,1,unit,5.54,5.54,
S-100052,2,QX-DRK-546,3,unit,1.28,3.84,
S-100052,3,QX-PET-741,3,unit,7.02,21.06,
S-100052,4,QX-DRY-191,2,unit,4.00,8.00,
S-100052,5,QX-PRO-131,1,unit,4.79,4.79,
S-100052,6,QX-HBC-902,3,unit,5.76,17.28,
S-100052,7,QX-BWS-074,1,unit,7.83,7.83,
S-100052,8,QX-HBC-786,2,unit,5.44,10.88,
S-100052,9,QX-BWS-668,1,unit,12.42,12.42,PRM-015
S-100053,1,QX-PET-100,1,unit,1.43,1.43,
S-100053,2,QX-DRK-823,2,unit,4.81,9.62,
S-100054,1,QX-HHD-377,2,unit,7.24,14.48,
S-100055,1,QX-PET-211,2,unit,3.26,6.52,PRM-009
S-100056,1,QX-BWS-162,3,unit,35.15,105.45,
S-100057,1,QX-CHL-013,3,unit,3.40,10.20,
S-100057,2,QX-TIN-322,3,unit,0.75,2.25,
S-100057,3,QX-TIN-878,2,unit,0.55,1.10,PRM-024
S-100057,4,QX-BAK-799,2,unit,3.51,7.02,
S-100057,5,QX-DRK-024,3,unit,1.61,4.83,
S-100057,6,QX-DRY-602,3,unit,3.31,9.93,
S-100057,7,QX-BAK-726,1,unit,2.35,2.35,
S-100057,8,QX-TIN-317,2,unit,1.11,2.22,PRM-028
S-100057,9,QX-CER-251,3,unit,1.88,5.64,PRM-061
S-100057,10,QX-HBC-040,2,unit,6.27,12.54,
S-100057,11,QX-FRZ-253,2,unit,6.93,13.86,
S-100057,12,QX-CER-606,3,unit,3.82,11.46,
S-100057,13,QX-HBC-923,1,unit,1.35,1.35,
S-100057,14,QX-PRO-895,2,unit,2.94,5.88,
S-100057,15,QX-PET-181,1,unit,7.47,7.47,
S-100057,16,QX-FRZ-211,1,unit,8.45,8.45,PRM-001
S-100057,17,QX-PRO-161,3,unit,1.52,4.56,
S-100057,18,QX-CHL-315,1,unit,1.62,1.62,
S-100057,19,QX-PRO-412,1.601,kg,2.99,4.79,
S-100057,20,QX-DRY-201,2,unit,4.30,8.60,
S-100057,21,QX-BAK-818,3,unit,1.67,5.01,
S-100057,22,QX-HHD-182,1,unit,8.93,8.93,
S-100057,23,QX-CER-887,2,unit,4.56,9.12,PRM-037
S-100057,24,QX-CHL-147,2,unit,8.29,16.58,
S-100058,1,QX-CHL-336,1.792,kg,15.18,27.20,
S-100059,1,QX-CHL-147,2,unit,8.29,16.58,
S-100060,1,QX-BWS-204,1,unit,34.16,34.16,
S-100061,1,QX-CHL-160,2,unit,7.21,14.42,
S-100062,1,QX-PET-507,2,unit,10.26,20.52,
S-100063,1,QX-TIN-383,3,unit,2.21,6.63,
S-100064,1,QX-CHL-533,2,unit,2.56,5.12,
S-100064,2,QX-PET-385,2,unit,8.01,16.02,
S-100064,3,QX-TIN-272,1,unit,1.83,1.83,PRM-028
S-100064,4,QX-DRK-221,1,unit,0.65,0.65,
S-100064,5,QX-DRK-720,2,unit,3.46,6.92,
S-100064,6,QX-FRZ-947,2,unit,3.85,7.70,
S-100065,1,QX-HHD-892,2,unit,4.22,8.44,
S-100065,2,QX-CHL-731,1.991,kg,7.99,15.91,
S-100065,3,QX-HHD-094,2,unit,1.72,3.44,
S-100065,4,QX-CER-689,3,unit,3.39,10.17,
S-100065,5,QX-BAK-386,1,unit,4.08,4.08,
S-100065,6,QX-PRO-229,0.992,kg,2.93,2.91,
S-100065,7,QX-DRY-769,3,unit,2.53,7.59,PRM-041
S-100065,8,QX-PET-717,3,unit,5.99,17.97,
S-100065,9,QX-PET-916,2,unit,4.77,9.54,
S-100065,10,QX-PET-417,1,unit,4.20,4.20,
S-100065,11,QX-DRY-686,2,unit,1.04,2.08,
S-100065,12,QX-PET-192,2,unit,4.86,9.72,
S-100065,13,QX-TIN-945,3,unit,1.87,5.61,
S-100065,14,QX-TIN-826,3,unit,1.24,3.72,
S-100065,15,QX-DRY-725,2,unit,6.63,13.26,PRM-013
S-100066,1,QX-BAK-645,2,unit,2.33,4.66,
S-100066,2,QX-CER-671,2,unit,2.29,4.58,
S-100067,1,QX-BAK-830,1.298,kg,8.54,11.08,
S-100068,1,QX-CER-250,3,unit,2.15,6.45,
S-100068,2,QX-CHL-759,1.042,kg,6.49,6.76,
S-100068,3,QX-BWS-326,2,unit,13.59,27.18,
S-100068,4,QX-DRK-546,1,unit,1.28,1.28,
S-100068,5,QX-HHD-979,3,unit,6.33,18.99,
S-100069,1,QX-CHL-692,0.904,kg,5.56,5.03,
S-100070,1,QX-PET-454,2,unit,1.23,2.46,
S-100070,2,QX-PRO-761,1.16,kg,2.01,2.33,
S-100070,3,QX-PET-537,3,unit,6.96,20.88,
S-100071,1,QX-PRO-829,0.983,kg,2.57,2.53,
S-100071,2,QX-TIN-353,2,unit,2.49,4.98,
S-100071,3,QX-PRO-454,3,unit,3.19,9.57,
S-100071,4,QX-HBC-452,2,unit,13.26,26.52,
S-100071,5,QX-CER-901,3,unit,3.83,11.49,
S-100071,6,QX-HHD-422,2,unit,5.37,10.74,
S-100072,1,QX-BAK-711,1,unit,2.77,2.77,
S-100072,2,QX-HBC-416,2,unit,5.18,10.36,
S-100072,3,QX-HHD-330,2,unit,1.80,3.60,
S-100073,1,QX-DRK-021,2,unit,0.85,1.70,PRM-014
S-100073,2,QX-HBC-608,2,unit,2.06,4.12,
S-100074,1,QX-CHL-359,2,unit,6.61,13.22,
S-100074,2,QX-PET-969,2,unit,10.92,21.84,
S-100074,3,QX-BWS-050,1,unit,11.24,11.24,
S-100074,4,QX-PRO-644,3,unit,3.16,9.48,
S-100074,5,QX-BAK-590,1,unit,2.81,2.81,
S-100074,6,QX-DRK-480,2,unit,0.90,1.80,PRM-029
S-100074,7,QX-DRY-112,2,unit,6.59,13.18,
S-100074,8,QX-DRK-376,1,unit,2.62,2.62,
S-100074,9,QX-HHD-496,2,unit,8.82,17.64,
S-100075,1,QX-HHD-422,1,unit,5.37,5.37,
S-100076,1,QX-PET-858,2,unit,7.84,15.68,
S-100077,1,QX-CER-724,2,unit,2.97,5.94,
S-100077,2,QX-BAK-351,2,unit,4.13,8.26,
S-100077,3,QX-HBC-683,2,unit,8.92,17.84,
S-100078,1,QX-TIN-933,2,unit,1.37,2.74,
S-100078,2,QX-TIN-118,1,unit,0.95,0.95,
S-100078,3,QX-CER-471,2,unit,1.51,3.02,
S-100078,4,QX-CER-460,3,unit,1.75,5.25,
S-100078,5,QX-DRK-144,1,unit,0.60,0.60,
S-100078,6,QX-DRY-555,1,unit,4.64,4.64,
S-100078,7,QX-CER-338,3,unit,4.10,12.30,
S-100078,8,QX-PET-471,1,unit,9.82,9.82,
S-100078,9,QX-PRO-648,2,unit,3.31,6.62,
S-100078,10,QX-BAK-036,1.279,kg,4.39,5.61,
S-100078,11,QX-CHL-503,0.584,kg,21.93,12.81,
S-100079,1,QX-CER-388,2,unit,4.35,8.70,
S-100079,2,QX-TIN-884,2,unit,2.81,5.62,
