sku,zone_id,price,effective_from
QX-BAK-205,PZ-URBAN,7.05,2026-01-12
QX-BAK-205,PZ-CORE,6.78,2025-09-26
QX-BAK-205,PZ-VALUE,6.37,2026-01-14
QX-BAK-205,PZ-REMOTE,7.39,2026-01-29
QX-PET-206,PZ-METRO,9.55,2026-03-07
QX-PET-206,PZ-URBAN,8.72,2026-01-28
QX-PET-206,PZ-CORE,8.38,2026-03-12
QX-PET-206,PZ-VALUE,7.88,2025-11-25
QX-PET-206,PZ-REMOTE,9.13,2025-12-15
QX-CER-207,PZ-METRO,4.73,2026-03-15
QX-CER-207,PZ-URBAN,4.32,2025-11-03
QX-CER-207,PZ-CORE,4.15,2025-12-07
QX-CER-207,PZ-VALUE,3.90,2025-12-10
QX-CER-207,PZ-REMOTE,4.52,2026-01-29
QX-CER-208,PZ-METRO,1.55,2025-12-13
QX-CER-208,PZ-URBAN,1.41,2025-12-17
QX-CER-208,PZ-CORE,1.36,2026-02-03
QX-CER-208,PZ-VALUE,1.28,2026-02-23
QX-CER-208,PZ-REMOTE,1.48,2025-10-18
QX-BWS-209,PZ-METRO,30.42,2025-12-16
QX-BWS-209,PZ-URBAN,27.75,2025-10-26
QX-BWS-209,PZ-CORE,26.68,2025-10-20
QX-BWS-209,PZ-VALUE,25.08,2026-03-04
QX-BWS-209,PZ-REMOTE,29.08,2025-12-24
QX-PRO-210,PZ-METRO,1.72,2026-02-25
QX-PRO-210,PZ-URBAN,1.57,2026-01-25
QX-PRO-210,PZ-CORE,1.51,2026-03-07
QX-PRO-210,PZ-VALUE,1.42,2026-01-08
QX-PRO-210,PZ-REMOTE,1.65,2025-11-01
QX-FRZ-211,PZ-METRO,9.63,2025-11-16
QX-FRZ-211,PZ-URBAN,8.79,2025-12-20
QX-FRZ-211,PZ-CORE,8.45,2026-01-07
QX-FRZ-211,PZ-VALUE,7.94,2025-12-07
QX-FRZ-211,PZ-REMOTE,9.21,2025-12-22
QX-PET-212,PZ-METRO,2.34,2026-03-01
QX-PET-212,PZ-URBAN,2.13,2026-01-25
QX-PET-212,PZ-CORE,2.05,2025-11-20
QX-PET-212,PZ-VALUE,1.93,2026-01-09
QX-PET-212,PZ-REMOTE,2.23,2025-12-19
QX-PRO-213,PZ-METRO,5.83,2025-11-05
QX-PRO-213,PZ-URBAN,5.31,2025-12-08
QX-PRO-213,PZ-CORE,5.11,2025-10-26
QX-PRO-213,PZ-VALUE,4.80,2026-01-16
QX-PRO-213,PZ-REMOTE,5.57,2026-03-20
QX-FRZ-214,PZ-METRO,3.11,2026-03-10
QX-FRZ-214,PZ-URBAN,2.84,2025-11-02
QX-FRZ-214,PZ-CORE,2.73,2025-12-03
QX-FRZ-214,PZ-VALUE,2.57,2025-10-16
QX-FRZ-214,PZ-REMOTE,2.98,2025-11-10
QX-CHL-215,PZ-METRO,15.83,2025-11-05
QX-CHL-215,PZ-URBAN,14.45,2025-12-05
QX-CHL-215,PZ-CORE,13.89,2026-01-02
QX-CHL-215,PZ-VALUE,13.06,2025-11-14
QX-CHL-215,PZ-REMOTE,15.14,2026-02-18
QX-CHL-216,PZ-METRO,8.55,2025-12-18
QX-CHL-216,PZ-URBAN,7.80,2026-02-21
QX-CHL-216,PZ-CORE,7.50,2026-01-23
QX-CHL-216,PZ-VALUE,7.05,2025-10-22
QX-CHL-216,PZ-REMOTE,8.18,2026-03-07
QX-PET-217,PZ-METRO,8.72,2025-09-15
QX-PET-217,PZ-URBAN,7.96,2026-02-21
QX-PET-217,PZ-CORE,7.65,2025-11-10
QX-PET-217,PZ-VALUE,7.19,2026-03-16
QX-PET-217,PZ-REMOTE,8.34,2025-12-03
QX-PRO-218,PZ-METRO,2.74,2025-11-02
QX-PRO-218,PZ-URBAN,2.50,2025-10-26
QX-PRO-218,PZ-CORE,2.40,2026-02-04
QX-PRO-218,PZ-VALUE,2.26,2025-11-16
QX-PRO-218,PZ-REMOTE,2.62,2025-12-15
QX-TIN-219,PZ-METRO,1.31,2025-10-07
QX-TIN-219,PZ-URBAN,1.20,2025-11-17
QX-TIN-219,PZ-CORE,1.15,2025-12-14
QX-TIN-219,PZ-VALUE,1.08,2025-12-03
QX-TIN-219,PZ-REMOTE,1.25,2025-12-20
QX-HHD-220,PZ-METRO,7.08,2025-09-20
QX-HHD-220,PZ-URBAN,6.46,2025-12-07
QX-HHD-220,PZ-CORE,6.21,2025-11-27
QX-HHD-220,PZ-VALUE,5.84,2025-12-05
QX-HHD-220,PZ-REMOTE,6.77,2025-09-27
QX-DRK-221,PZ-METRO,0.75,2025-11-08
QX-DRK-221,PZ-URBAN,0.65,2025-11-12
QX-DRK-221,PZ-CORE,0.65,2026-02-04
QX-DRK-221,PZ-VALUE,0.60,2026-01-18
QX-DRK-221,PZ-REMOTE,0.70,2026-01-17
QX-CER-222,PZ-METRO,5.11,2026-03-08
QX-CER-222,PZ-URBAN,4.66,2026-03-20
QX-CER-222,PZ-CORE,4.48,2026-02-18
QX-CER-222,PZ-VALUE,4.21,2025-11-08
QX-CER-222,PZ-REMOTE,4.88,2025-09-26
QX-TIN-223,PZ-METRO,2.19,2025-11-08
QX-TIN-223,PZ-URBAN,2.00,2026-02-10
QX-TIN-223,PZ-CORE,1.92,2026-01-11
QX-TIN-223,PZ-VALUE,1.80,2026-02-06
QX-TIN-223,PZ-REMOTE,2.09,2025-12-11
QX-DRK-224,PZ-METRO,3.47,2025-12-07
QX-DRK-224,PZ-URBAN,3.16,2025-10-05
QX-DRK-224,PZ-CORE,3.04,2025-11-14
QX-DRK-224,PZ-VALUE,2.86,2025-11-05
QX-DRK-224,PZ-REMOTE,3.31,2026-01-10
QX-FRZ-225,PZ-METRO,7.87,2026-01-02
QX-FRZ-225,PZ-URBAN,7.18,2026-02-21
QX-FRZ-225,PZ-CORE,6.90,2026-01-19
QX-FRZ-225,PZ-VALUE,6.49,2025-10-04
QX-FRZ-225,PZ-REMOTE,7.52,2026-02-17
QX-CER-226,PZ-METRO,4.58,2026-02-03
QX-CER-226,PZ-URBAN,4.18,2026-02-06
QX-CER-226,PZ-CORE,4.02,2026-01-23
QX-CER-226,PZ-VALUE,3.78,2026-01-15
QX-CER-226,PZ-REMOTE,4.38,2025-09-29
QX-TIN-227,PZ-METRO,3.27,2026-02-15
QX-TIN-227,PZ-URBAN,2.98,2025-11-11
QX-TIN-227,PZ-CORE,2.87,2025-11-29
QX-TIN-227,PZ-VALUE,2.70,2026-01-08
QX-TIN-227,PZ-REMOTE,3.13,2025-12-23
QX-DRY-228,PZ-METRO,7.73,2025-12-22
QX-DRY-228,PZ-URBAN,7.05,2025-11-09
QX-DRY-228,PZ-CORE,6.78,2025-11-07
QX-DRY-228,PZ-VALUE,6.37,2025-11-15
QX-DRY-228,PZ-REMOTE,7.39,2026-03-22
QX-PRO-229,PZ-METRO,3.34,2025-09-27
QX-PRO-229,PZ-URBAN,3.05,2025-12-27
QX-PRO-229,PZ-CORE,2.93,2026-02-22
QX-PRO-229,PZ-VALUE,2.75,2026-02-17
QX-PRO-229,PZ-REMOTE,3.19,2026-03-17
QX-CHL-230,PZ-METRO,4.22,2026-02-24
QX-CHL-230,PZ-URBAN,3.85,2025-12-17
QX-CHL-230,PZ-CORE,3.70,2026-01-28
QX-CHL-230,PZ-VALUE,3.48,2025-09-14
QX-CHL-230,PZ-REMOTE,4.03,2025-12-24
QX-CHL-231,PZ-METRO,9.19,2025-09-22
QX-CHL-231,PZ-URBAN,8.38,2025-11-19
QX-CHL-231,PZ-CORE,8.06,2026-02-23
QX-CHL-231,PZ-VALUE,7.58,2025-12-25
QX-CHL-231,PZ-REMOTE,8.79,2025-10-26
QX-PET-232,PZ-METRO,5.23,2025-12-31
QX-PET-232,PZ-URBAN,4.77,2025-12-17
QX-PET-232,PZ-CORE,4.59,2026-03-19
QX-PET-232,PZ-VALUE,4.31,2026-03-04
QX-PET-232,PZ-REMOTE,5.00,2025-10-29
QX-BAK-233,PZ-METRO,4.17,2025-10-21
QX-BAK-233,PZ-URBAN,3.81,2026-02-22
QX-BAK-233,PZ-CORE,3.66,2026-01-26
QX-BAK-233,PZ-VALUE,3.44,2025-12-07
QX-BAK-233,PZ-REMOTE,3.99,2026-02-10
QX-HBC-234,PZ-METRO,16.14,2026-03-04
QX-HBC-234,PZ-URBAN,14.73,2025-11-14
QX-HBC-234,PZ-CORE,14.16,2025-11-21
QX-HBC-234,PZ-VALUE,13.31,2026-01-03
QX-HBC-234,PZ-REMOTE,15.43,2025-09-14
QX-HHD-235,PZ-METRO,1.82,2026-03-06
QX-HHD-235,PZ-URBAN,1.66,2025-12-17
QX-HHD-235,PZ-CORE,1.60,2025-10-25
QX-HHD-235,PZ-VALUE,1.50,2025-11-04
QX-HHD-235,PZ-REMOTE,1.74,2025-11-13
QX-HHD-236,PZ-METRO,13.59,2026-01-08
QX-HHD-236,PZ-URBAN,12.40,2025-11-11
QX-HHD-236,PZ-CORE,11.92,2025-11-27
QX-HHD-236,PZ-VALUE,11.20,2025-09-26
QX-HHD-236,PZ-REMOTE,12.99,2026-03-16
QX-HHD-237,PZ-METRO,11.06,2025-10-22
QX-HHD-237,PZ-URBAN,10.09,2025-11-03
QX-HHD-237,PZ-CORE,9.70,2025-10-23
QX-HHD-237,PZ-VALUE,9.12,2025-10-09
QX-HHD-237,PZ-REMOTE,10.57,2025-11-21
QX-BWS-238,PZ-METRO,6.97,2025-10-05
QX-BWS-238,PZ-URBAN,6.35,2025-12-20
QX-BWS-238,PZ-CORE,6.11,2026-03-06
QX-BWS-238,PZ-VALUE,5.74,2025-11-25
QX-BWS-238,PZ-REMOTE,6.66,2026-03-04
QX-FRZ-239,PZ-METRO,2.93,2025-09-21
QX-FRZ-239,PZ-URBAN,2.67,2026-01-22
QX-FRZ-239,PZ-CORE,2.57,2026-02-26
QX-FRZ-239,PZ-VALUE,2.42,2026-03-07
QX-FRZ-239,PZ-REMOTE,2.80,2025-09-19
QX-HBC-240,PZ-METRO,7.75,2025-09-25
QX-HBC-240,PZ-URBAN,7.07,2025-12-21
QX-HBC-240,PZ-CORE,6.80,2026-02-20
QX-HBC-240,PZ-VALUE,6.39,2026-01-19
QX-HBC-240,PZ-REMOTE,7.41,2025-12-31
QX-TIN-241,PZ-METRO,1.82,2025-12-26
QX-TIN-241,PZ-URBAN,1.66,2026-02-02
QX-TIN-241,PZ-CORE,1.60,2025-11-13
QX-TIN-241,PZ-VALUE,1.50,2026-02-20
QX-TIN-241,PZ-REMOTE,1.74,2025-11-20
QX-PET-242,PZ-METRO,8.12,2025-09-18
QX-PET-242,PZ-URBAN,7.40,2026-03-22
QX-PET-242,PZ-CORE,7.12,2025-10-27
QX-PET-242,PZ-VALUE,6.69,2025-10-28
QX-PET-242,PZ-REMOTE,7.76,2025-12-03
QX-DRY-243,PZ-METRO,5.73,2025-09-28
QX-DRY-243,PZ-URBAN,5.23,2025-11-12
QX-DRY-243,PZ-CORE,5.03,2025-11-25
QX-DRY-243,PZ-VALUE,4.73,2025-12-04
QX-DRY-243,PZ-REMOTE,5.48,2026-03-20
QX-PRO-244,PZ-METRO,2.42,2025-10-22
QX-PRO-244,PZ-URBAN,2.20,2026-01-12
QX-PRO-244,PZ-CORE,2.12,2026-02-12
QX-PRO-244,PZ-VALUE,1.99,2025-12-19
QX-PRO-244,PZ-REMOTE,2.31,2025-12-16
QX-HBC-245,PZ-METRO,9.77,2025-11-22
QX-HBC-245,PZ-URBAN,8.91,2026-02-03
QX-HBC-245,PZ-CORE,8.57,2025-11-11
QX-HBC-245,PZ-VALUE,8.06,2026-03-01
QX-HBC-245,PZ-REMOTE,9.34,2026-03-22
QX-BWS-246,PZ-METRO,30.35,2025-10-06
QX-BWS-246,PZ-URBAN,27.68,2025-09-22
QX-BWS-246,PZ-CORE,26.62,2025-09-19
QX-BWS-246,PZ-VALUE,25.02,2025-10-31
QX-BWS-246,PZ-REMOTE,29.02,2026-01-21
QX-HHD-247,PZ-METRO,11.04,2026-01-14
QX-HHD-247,PZ-URBAN,10.07,2026-03-01
QX-HHD-247,PZ-CORE,9.68,2025-10-05
QX-HHD-247,PZ-VALUE,9.10,2025-11-20
QX-HHD-247,PZ-REMOTE,10.55,2026-03-12
QX-CER-248,PZ-METRO,3.26,2025-11-09
QX-CER-248,PZ-URBAN,2.97,2025-09-20
QX-CER-248,PZ-CORE,2.86,2025-11-16
QX-CER-248,PZ-VALUE,2.69,2025-12-13
QX-CER-248,PZ-REMOTE,3.12,2026-02-19
QX-FRZ-249,PZ-METRO,3.59,2026-03-07
QX-FRZ-249,PZ-URBAN,3.28,2025-12-19
QX-FRZ-249,PZ-CORE,3.15,2026-01-06
QX-FRZ-249,PZ-VALUE,2.96,2025-12-09
QX-FRZ-249,PZ-REMOTE,3.43,2025-09-29
QX-DRY-250,PZ-METRO,3.56,2025-12-06
QX-DRY-250,PZ-URBAN,3.24,2025-09-16
QX-DRY-250,PZ-CORE,3.12,2026-02-09
QX-DRY-250,PZ-VALUE,2.93,2025-12-11
QX-DRY-250,PZ-REMOTE,3.40,2025-11-14
QX-FRZ-251,PZ-METRO,5.91,2026-01-16
QX-FRZ-251,PZ-URBAN,5.39,2025-09-23
QX-FRZ-251,PZ-CORE,5.18,2025-09-19
QX-FRZ-251,PZ-VALUE,4.87,2026-01-02
QX-FRZ-251,PZ-REMOTE,5.65,2026-03-18
QX-HHD-252,PZ-METRO,2.49,2025-09-17
QX-HHD-252,PZ-URBAN,2.27,2025-10-11
QX-HHD-252,PZ-CORE,2.18,2026-02-01
QX-HHD-252,PZ-VALUE,2.05,2025-12-03
QX-HHD-252,PZ-REMOTE,2.38,2025-11-11
QX-BWS-253,PZ-METRO,6.27,2025-11-28
QX-BWS-253,PZ-URBAN,5.72,2025-11-26
QX-BWS-253,PZ-CORE,5.50,2025-12-26
QX-BWS-253,PZ-VALUE,5.17,2026-03-06
QX-BWS-253,PZ-REMOTE,6.00,2025-12-09
QX-DRY-254,PZ-METRO,7.55,2025-11-17
QX-DRY-254,PZ-URBAN,6.88,2025-12-13
QX-DRY-254,PZ-CORE,6.62,2025-09-19
QX-DRY-254,PZ-VALUE,6.22,2026-01-01
QX-DRY-254,PZ-REMOTE,7.22,2026-01-26
QX-HHD-255,PZ-METRO,4.80,2026-02-28
QX-HHD-255,PZ-URBAN,4.38,2026-01-11
QX-HHD-255,PZ-CORE,4.21,2026-01-19
QX-HHD-255,PZ-VALUE,3.96,2026-03-10
QX-HHD-255,PZ-REMOTE,4.59,2025-12-28
QX-CER-256,PZ-METRO,5.21,2025-10-23
QX-CER-256,PZ-URBAN,4.75,2026-01-01
QX-CER-256,PZ-CORE,4.57,2026-03-19
QX-CER-256,PZ-VALUE,4.30,2026-02-22
QX-CER-256,PZ-REMOTE,4.98,2026-01-18
QX-CHL-257,PZ-METRO,9.31,2025-11-20
QX-CHL-257,PZ-URBAN,8.50,2025-12-21
QX-CHL-257,PZ-CORE,8.17,2025-12-06
QX-CHL-257,PZ-VALUE,7.68,2025-10-01
QX-CHL-257,PZ-REMOTE,8.91,2026-02-24
QX-TIN-258,PZ-METRO,2.84,2025-12-31
QX-TIN-258,PZ-URBAN,2.59,2025-10-31
QX-TIN-258,PZ-CORE,2.49,2026-03-04
QX-TIN-258,PZ-VALUE,2.34,2025-11-21
QX-TIN-258,PZ-REMOTE,2.71,2026-03-05
QX-FRZ-259,PZ-METRO,6.87,2025-12-27
QX-FRZ-259,PZ-URBAN,6.27,2026-02-28
QX-FRZ-259,PZ-CORE,6.03,2025-11-02
QX-FRZ-259,PZ-VALUE,5.67,2026-02-28
QX-FRZ-259,PZ-REMOTE,6.57,2025-09-14
QX-HHD-260,PZ-METRO,10.93,2025-12-29
QX-HHD-260,PZ-URBAN,9.97,2026-02-13
QX-HHD-260,PZ-CORE,9.59,2025-12-30
QX-HHD-260,PZ-VALUE,9.01,2025-12-05
QX-HHD-260,PZ-REMOTE,10.45,2026-01-24
QX-DRK-261,PZ-METRO,2.02,2025-11-22
QX-DRK-261,PZ-URBAN,1.84,2026-03-04
QX-DRK-261,PZ-CORE,1.77,2026-03-16
QX-DRK-261,PZ-VALUE,1.66,2026-03-04
QX-DRK-261,PZ-REMOTE,1.93,2025-10-25
QX-PRO-262,PZ-METRO,3.01,2025-09-16
QX-PRO-262,PZ-URBAN,2.75,2026-03-02
QX-PRO-262,PZ-CORE,2.64,2025-09-27
QX-PRO-262,PZ-VALUE,2.48,2025-11-04
QX-PRO-262,PZ-REMOTE,2.88,2026-02-22
QX-BWS-263,PZ-METRO,11.39,2025-12-03
QX-BWS-263,PZ-URBAN,10.39,2025-10-07
QX-BWS-263,PZ-CORE,9.99,2026-03-10
QX-BWS-263,PZ-VALUE,9.39,2026-02-16
QX-BWS-263,PZ-REMOTE,10.89,2026-01-24
QX-DRY-264,PZ-METRO,2.52,2025-11-08
QX-DRY-264,PZ-URBAN,2.30,2025-11-18
QX-DRY-264,PZ-CORE,2.21,2025-11-21
QX-DRY-264,PZ-VALUE,2.08,2026-02-09
QX-DRY-264,PZ-REMOTE,2.41,2025-09-26
QX-HBC-265,PZ-METRO,10.66,2026-02-04
QX-HBC-265,PZ-URBAN,9.72,2026-02-08
QX-HBC-265,PZ-CORE,9.35,2026-02-28
QX-HBC-265,PZ-VALUE,8.79,2025-10-24
QX-HBC-265,PZ-REMOTE,10.19,2025-11-05
QX-HBC-266,PZ-METRO,10.23,2026-01-10
QX-HBC-266,PZ-URBAN,9.33,2025-11-21
QX-HBC-266,PZ-CORE,8.97,2025-09-19
QX-HBC-266,PZ-VALUE,8.43,2026-02-13
QX-HBC-266,PZ-REMOTE,9.78,2026-01-13
QX-CER-267,PZ-METRO,3.78,2025-11-15
QX-CER-267,PZ-URBAN,3.45,2025-11-22
QX-CER-267,PZ-CORE,3.32,2025-11-18
QX-CER-267,PZ-VALUE,3.12,2025-10-12
QX-CER-267,PZ-REMOTE,3.62,2026-01-08
QX-HBC-268,PZ-METRO,4.14,2026-03-13
QX-HBC-268,PZ-URBAN,3.78,2026-02-12
QX-HBC-268,PZ-CORE,3.63,2026-01-19
QX-HBC-268,PZ-VALUE,3.41,2025-12-25
QX-HBC-268,PZ-REMOTE,3.96,2025-12-21
QX-BWS-269,PZ-METRO,29.13,2026-03-12
QX-BWS-269,PZ-URBAN,26.57,2025-12-03
QX-BWS-269,PZ-CORE,25.55,2025-10-16
QX-BWS-269,PZ-VALUE,24.02,2026-02-22
QX-BWS-269,PZ-REMOTE,27.85,2025-12-01
QX-TIN-270,PZ-METRO,2.55,2026-02-22
QX-TIN-270,PZ-URBAN,2.33,2026-03-10
QX-TIN-270,PZ-CORE,2.24,2025-10-19
QX-TIN-270,PZ-VALUE,2.11,2025-11-11
QX-TIN-270,PZ-REMOTE,2.44,2025-09-14
QX-TIN-271,PZ-METRO,0.90,2026-03-16
QX-TIN-271,PZ-URBAN,0.85,2025-10-07
QX-TIN-271,PZ-CORE,0.80,2025-10-27
QX-TIN-271,PZ-VALUE,0.75,2025-10-12
QX-TIN-271,PZ-REMOTE,0.90,2026-01-02
QX-BAK-272,PZ-METRO,2.37,2026-02-01
QX-BAK-272,PZ-URBAN,2.16,2026-02-06
QX-BAK-272,PZ-CORE,2.08,2026-01-18
QX-BAK-272,PZ-VALUE,1.96,2025-11-03
QX-BAK-272,PZ-REMOTE,2.27,2025-11-05
QX-FRZ-273,PZ-METRO,8.25,2026-01-04
QX-FRZ-273,PZ-URBAN,7.53,2026-03-16
QX-FRZ-273,PZ-CORE,7.24,2025-11-20
QX-FRZ-273,PZ-VALUE,6.81,2025-12-11
QX-FRZ-273,PZ-REMOTE,7.89,2025-11-19
QX-CER-274,PZ-METRO,3.89,2025-09-28
QX-CER-274,PZ-URBAN,3.55,2026-01-14
QX-CER-274,PZ-CORE,3.41,2026-01-26
QX-CER-274,PZ-VALUE,3.21,2025-10-09
QX-CER-274,PZ-REMOTE,3.72,2025-11-01
QX-CER-275,PZ-METRO,4.17,2026-01-23
QX-CER-275,PZ-URBAN,3.81,2025-09-20
QX-CER-275,PZ-CORE,3.66,2026-01-19
QX-CER-275,PZ-VALUE,3.44,2025-10-04
QX-CER-275,PZ-REMOTE,3.99,2025-09-15
QX-DRY-276,PZ-METRO,7.10,2026-01-11
QX-DRY-276,PZ-URBAN,6.48,2025-12-02
QX-DRY-276,PZ-CORE,6.23,2026-02-23
QX-DRY-276,PZ-VALUE,5.86,2026-02-07
QX-DRY-276,PZ-REMOTE,6.79,2025-12-16
QX-PET-277,PZ-METRO,5.00,2026-01-16
QX-PET-277,PZ-URBAN,4.57,2025-11-09
QX-PET-277,PZ-CORE,4.39,2025-11-16
QX-PET-277,PZ-VALUE,4.13,2025-12-21
QX-PET-277,PZ-REMOTE,4.79,2025-10-14
QX-DRY-278,PZ-METRO,1.29,2026-03-21
QX-DRY-278,PZ-URBAN,1.18,2026-02-23
QX-DRY-278,PZ-CORE,1.13,2026-02-17
QX-DRY-278,PZ-VALUE,1.06,2026-02-17
QX-DRY-278,PZ-REMOTE,1.23,2025-12-16
QX-DRY-279,PZ-METRO,7.84,2025-11-24
QX-DRY-279,PZ-URBAN,7.16,2025-12-24
QX-DRY-279,PZ-CORE,6.88,2025-10-29
QX-DRY-279,PZ-VALUE,6.47,2026-01-25
QX-DRY-279,PZ-REMOTE,7.50,2025-10-10
QX-DRK-280,PZ-METRO,2.83,2026-01-07
QX-DRK-280,PZ-URBAN,2.58,2025-09-24
QX-DRK-280,PZ-CORE,2.48,2025-09-25
QX-DRK-280,PZ-VALUE,2.33,2025-11-03
QX-DRK-280,PZ-REMOTE,2.70,2025-12-09
QX-CHL-281,PZ-METRO,1.92,2026-02-25
QX-CHL-281,PZ-URBAN,1.75,2025-10-02
QX-CHL-281,PZ-CORE,1.68,2026-02-08
QX-CHL-281,PZ-VALUE,1.58,2025-12-23
QX-CHL-281,PZ-REMOTE,1.83,2025-11-26
QX-CER-282,PZ-METRO,3.58,2026-02-26
QX-CER-282,PZ-URBAN,3.27,2026-02-21
QX-CER-282,PZ-CORE,3.14,2026-01-16
QX-CER-282,PZ-VALUE,2.95,2025-09-17
QX-CER-282,PZ-REMOTE,3.42,2026-01-09
QX-HBC-283,PZ-METRO,13.13,2025-10-25
QX-HBC-283,PZ-URBAN,11.98,2026-02-21
QX-HBC-283,PZ-CORE,11.52,2026-02-02
QX-HBC-283,PZ-VALUE,10.83,2025-10-14
QX-HBC-283,PZ-REMOTE,12.56,2026-01-19
QX-HBC-284,PZ-METRO,16.01,2025-11-26
QX-HBC-284,PZ-URBAN,14.60,2025-12-31
QX-HBC-284,PZ-CORE,14.04,2025-10-30
QX-HBC-284,PZ-VALUE,13.20,2026-02-09
QX-HBC-284,PZ-REMOTE,15.30,2025-11-13
QX-DRK-285,PZ-METRO,5.60,2026-01-05
QX-DRK-285,PZ-URBAN,5.11,2026-02-02
QX-DRK-285,PZ-CORE,4.91,2026-02-26
QX-DRK-285,PZ-VALUE,4.62,2026-01-22
QX-DRK-285,PZ-REMOTE,5.35,2026-03-15
QX-HBC-286,PZ-METRO,8.61,2025-11-05
QX-HBC-286,PZ-URBAN,7.85,2025-12-28
QX-HBC-286,PZ-CORE,7.55,2025-11-05
QX-HBC-286,PZ-VALUE,7.10,2025-10-09
QX-HBC-286,PZ-REMOTE,8.23,2025-11-07
QX-CHL-287,PZ-METRO,3.45,2025-11-09
QX-CHL-287,PZ-URBAN,3.15,2025-12-12
QX-CHL-287,PZ-CORE,3.03,2025-12-16
QX-CHL-287,PZ-VALUE,2.85,2025-12-24
QX-CHL-287,PZ-REMOTE,3.30,2026-01-15
QX-TIN-288,PZ-METRO,1.27,2025-10-27
