sku,name,category,unit,list_price,sold_by,brand_tier,own_label,kvi,commodity_id,origin_country_id,made_in_house,chilled
QX-TIN-228,"Meadow Tea","Tinned","1 L",1.96,each,branded,false,false,CMD-ALU,BR,false,false
QX-TIN-229,"Fresh Juice","Tinned","1 L",1.93,each,branded,false,false,CMD-ALU,BR,false,false
QX-DRK-230,"Rounds Tea","Drinks","1 L",0.92,each,branded,false,false,CMD-SUN,BR,false,false
QX-FRZ-231,"Classic Cheese","Frozen","6 pack",3.21,each,branded,false,false,CMD-DRY,BR,false,true
QX-BAK-232,"Bites Cleaner","Bakery","500 g",1.15,each,branded,false,false,CMD-WHT,BR,false,false
QX-BAK-233,"Harvest Beans","Bakery","per kg",6.34,kg,branded,false,false,CMD-WHT,DK,false,false
QX-DRK-234,"Everyday Rice","Drinks","500 g",1.20,each,finest,true,false,CMD-SUN,BR,false,false
QX-FRZ-235,"Fresh Chicken","Frozen","250 g",3.64,each,core,true,false,CMD-DRY,BR,false,true
QX-PRO-236,"Original Shampoo","Produce","250 g",2.69,each,branded,false,false,CMD-DSL,BR,false,true
QX-PRO-237,"Simple Biscuits","Produce","1 L",5.21,each,branded,false,false,CMD-DSL,PL,false,true
QX-CHL-238,"Crunch Beans","Chilled","500 ml",5.68,each,branded,false,false,CMD-DRY,BR,false,true
QX-BWS-239,"Fresh Chicken","Beer wine spirits","6 pack",26.62,each,value,true,false,CMD-GAS,KE,false,false
QX-HHD-240,"Orchard Beans","Household","2 L",9.68,each,finest,true,false,CMD-BRD,BR,false,false
QX-CER-241,"Simple Cheese","Cereal","500 g",2.86,each,branded,false,false,CMD-WHT,BR,false,false
QX-FRZ-242,"Reserve Pasta","Frozen","6 pack",3.15,each,core,true,false,CMD-DRY,KE,false,true
QX-DRY-243,"Simple Rice","Dry goods","500 g",3.12,each,branded,false,false,CMD-WHT,NL,false,false
QX-FRZ-244,"Simple Chicken","Frozen","1 kg",5.18,each,branded,false,false,CMD-DRY,PL,false,true
QX-HHD-245,"Cottage Sauce","Household","500 g",2.18,each,branded,false,false,CMD-BRD,PL,false,false
QX-BWS-246,"Crisp Butter","Beer wine spirits","250 g",5.50,each,value,true,true,CMD-GAS,PL,false,false
QX-DRY-247,"Choice Beans","Dry goods","1 L",6.62,each,branded,false,false,CMD-WHT,BR,false,false
QX-HHD-248,"Harvest Rice","Household","1 L",4.21,each,branded,false,false,CMD-BRD,BR,false,false
QX-CER-249,"Original Rice","Cereal","1 L",4.57,each,branded,false,false,CMD-WHT,BR,false,false
QX-CHL-250,"Reserve Beans","Chilled","1 L",8.17,each,value,true,false,CMD-DRY,GH,true,true
QX-TIN-251,"Cottage Rice","Tinned","1 kg",2.49,each,branded,false,false,CMD-ALU,BR,false,false
QX-FRZ-252,"Selection Cheese","Frozen","500 g",6.03,each,branded,false,false,CMD-DRY,BR,false,true
QX-HHD-253,"Simple Flakes","Household","6 pack",9.59,each,finest,true,false,CMD-BRD,TR,false,false
QX-DRK-254,"Selection Cheese","Drinks","750 g",1.77,each,branded,false,false,CMD-SUN,BR,false,false
QX-PRO-255,"Rounds Juice","Produce","per kg",2.64,kg,branded,false,true,CMD-DSL,BR,false,true
QX-BWS-256,"Classic Loaf","Beer wine spirits","1 kg",9.99,each,branded,false,false,CMD-GAS,PL,false,false
QX-DRY-257,"Orchard Tea","Dry goods","500 g",2.21,each,branded,false,false,CMD-WHT,BR,false,false
QX-HBC-258,"Harvest Rice","Health and beauty","2 L",9.35,each,branded,false,false,CMD-PLM,PL,false,false
QX-HBC-259,"Simple Loaf","Health and beauty","250 g",8.97,each,branded,false,false,CMD-PLM,PL,false,false
QX-CER-260,"Crunch Coffee","Cereal","1 L",3.32,each,core,true,false,CMD-WHT,BR,false,false
QX-HBC-261,"Meadow Peas","Health and beauty","2 L",3.63,each,branded,false,true,CMD-PLM,DK,false,false
QX-BWS-262,"Classic Beans","Beer wine spirits","500 g",25.55,each,branded,false,false,CMD-GAS,BR,false,false
QX-TIN-263,"Selection Cleaner","Tinned","750 g",2.24,each,core,true,false,CMD-ALU,BR,false,false
QX-TIN-264,"Harvest Chicken","Tinned","6 pack",0.81,each,branded,false,false,CMD-ALU,BR,false,false
QX-BAK-265,"Golden Loaf","Bakery","250 g",2.08,each,branded,false,false,CMD-WHT,BR,false,false
QX-FRZ-266,"Choice Pasta","Frozen","500 ml",7.24,each,branded,false,false,CMD-DRY,BR,false,true
QX-CER-267,"Meadow Apples","Cereal","500 ml",3.41,each,core,true,false,CMD-WHT,BR,false,false
QX-CER-268,"Everyday Chicken","Cereal","250 g",3.66,each,core,true,false,CMD-WHT,BZ,false,false
QX-DRY-269,"Everyday Juice","Dry goods","250 g",6.23,each,branded,false,false,CMD-WHT,BR,false,false
QX-PET-270,"Choice Tea","Pet","250 g",4.39,each,finest,true,false,CMD-WHT,GH,false,false
QX-DRY-271,"Bites Tea","Dry goods","500 g",1.13,each,core,true,false,CMD-WHT,VN,false,false
QX-DRY-272,"Harvest Cheese","Dry goods","250 g",6.88,each,branded,false,false,CMD-WHT,BR,false,false
QX-DRK-273,"Cottage Rice","Drinks","1 kg",2.48,each,branded,false,true,CMD-SUN,TR,false,false
QX-CHL-274,"Simple Biscuits","Chilled","500 g",1.68,each,core,true,false,CMD-DRY,MA,false,true
QX-CER-275,"Selection Sauce","Cereal","2 L",3.14,each,branded,false,false,CMD-WHT,BR,false,false
QX-HBC-276,"Cottage Yoghurt","Health and beauty","750 g",11.52,each,branded,false,false,CMD-PLM,BR,false,false
QX-HBC-277,"Meadow Coffee","Health and beauty","6 pack",14.04,each,core,true,false,CMD-PLM,VN,false,false
QX-DRK-278,"Crunch Sauce","Drinks","250 g",4.91,each,branded,false,false,CMD-SUN,BR,false,false
QX-HBC-279,"Everyday Apples","Health and beauty","6 pack",7.55,each,branded,false,false,CMD-PLM,ES,false,false
QX-CHL-280,"Selection Loaf","Chilled","2 L",3.03,each,value,true,false,CMD-DRY,BR,false,true
QX-TIN-281,"Everyday Coffee","Tinned","500 ml",1.11,each,branded,false,false,CMD-ALU,BR,false,false
QX-FRZ-282,"Bites Flakes","Frozen","2 L",8.22,each,branded,false,true,CMD-DRY,CR,false,true
QX-PRO-283,"Classic Apples","Produce","500 g",1.28,each,core,true,false,CMD-DSL,BR,false,true
QX-PRO-284,"Original Chicken","Produce","750 g",3.17,each,branded,false,true,CMD-DSL,BR,false,true
QX-BWS-285,"Choice Juice","Beer wine spirits","6 pack",7.73,each,branded,false,false,CMD-GAS,BR,false,false
QX-DRY-286,"Simple Butter","Dry goods","400 g",1.02,each,branded,false,false,CMD-WHT,BR,false,false
QX-BAK-287,"Choice Loaf","Bakery","500 g",1.68,each,value,true,false,CMD-WHT,DK,false,false
QX-BAK-288,"Rounds Butter","Bakery","500 ml",3.98,each,core,true,true,CMD-WHT,BR,false,false
QX-DRK-289,"Choice Cheese","Drinks","1 L",4.98,each,branded,false,false,CMD-SUN,BR,false,false
QX-BAK-290,"Orchard Apples","Bakery","per kg",7.76,kg,core,true,false,CMD-WHT,DK,false,false
QX-PET-291,"Crunch Peas","Pet","500 g",8.97,each,branded,false,false,CMD-WHT,BR,false,false
QX-BAK-292,"Choice Chicken","Bakery","per kg",7.00,kg,finest,true,false,CMD-WHT,BR,false,false
QX-TIN-293,"Crunch Apples","Tinned","1 L",2.43,each,core,true,false,CMD-ALU,GH,false,false
QX-BWS-294,"Orchard Apples","Beer wine spirits","2 L",22.81,each,branded,false,false,CMD-GAS,BR,false,false
QX-BWS-295,"Choice Cheese","Beer wine spirits","6 pack",30.59,each,core,true,false,CMD-GAS,BR,false,false
QX-BAK-296,"Crunch Yoghurt","Bakery","1 L",2.63,each,branded,false,true,CMD-WHT,ES,false,false
QX-DRY-297,"Simple Apples","Dry goods","250 g",5.24,each,branded,false,false,CMD-WHT,BR,false,false
QX-FRZ-298,"Everyday Cleaner","Frozen","250 g",5.69,each,core,true,false,CMD-DRY,MA,false,true
QX-FRZ-299,"Reserve Butter","Frozen","6 pack",4.36,each,branded,false,false,CMD-DRY,GH,false,true
QX-BAK-300,"Everyday Apples","Bakery","750 g",1.66,each,core,true,true,CMD-WHT,BR,false,false
QX-DRY-301,"Original Butter","Dry goods","1 kg",5.14,each,branded,false,false,CMD-WHT,BR,false,false
QX-DRY-302,"Simple Shampoo","Dry goods","6 pack",2.79,each,finest,true,false,CMD-WHT,TR,false,false
QX-HHD-303,"Original Biscuits","Household","400 g",2.87,each,branded,false,false,CMD-BRD,GH,false,false
QX-DRY-304,"Harvest Shampoo","Dry goods","400 g",3.28,each,branded,false,false,CMD-WHT,BR,false,false
QX-DRY-305,"Fresh Coffee","Dry goods","1 kg",2.00,each,branded,false,false,CMD-WHT,BR,false,false
QX-TIN-306,"Bites Peas","Tinned","2 L",2.43,each,branded,false,false,CMD-ALU,BR,false,false
QX-HBC-307,"Crunch Chicken","Health and beauty","1 kg",4.85,each,branded,false,false,CMD-PLM,BR,false,false
QX-HHD-308,"Selection Shampoo","Household","500 ml",1.85,each,branded,false,false,CMD-BRD,CR,false,false
QX-DRY-309,"Choice Beans","Dry goods","1 L",3.70,each,branded,false,false,CMD-WHT,BR,false,false
QX-FRZ-310,"Meadow Tea","Frozen","1 kg",6.36,each,branded,false,false,CMD-DRY,BR,false,true
QX-HHD-311,"Rounds Shampoo","Household","400 g",7.01,each,branded,false,false,CMD-BRD,BR,false,false
QX-DRY-312,"Harvest Loaf","Dry goods","500 g",1.68,each,branded,false,false,CMD-WHT,BR,false,false
QX-HBC-313,"Crisp Flakes","Health and beauty","400 g",4.17,each,core,true,false,CMD-PLM,BR,true,false
QX-CER-314,"Everyday Cleaner","Cereal","6 pack",4.28,each,branded,false,false,CMD-WHT,TR,false,false
QX-CHL-315,"Orchard Tea","Chilled","500 ml",1.84,each,branded,false,false,CMD-DRY,BR,false,true
QX-CER-316,"Cottage Flakes","Cereal","500 ml",2.29,each,core,true,false,CMD-WHT,BR,false,false
QX-BWS-317,"Fresh Loaf","Beer wine spirits","1 L",13.89,each,branded,false,false,CMD-GAS,BR,false,false
QX-TIN-318,"Choice Butter","Tinned","400 g",1.88,each,core,true,false,CMD-ALU,PL,false,false
QX-CER-319,"Everyday Yoghurt","Cereal","6 pack",3.69,each,core,true,false,CMD-WHT,BR,false,false
QX-BWS-320,"Simple Chicken","Beer wine spirits","1 L",16.15,each,value,true,false,CMD-GAS,MA,false,false
QX-HHD-321,"Classic Rice","Household","250 g",10.21,each,value,true,false,CMD-BRD,BR,false,false
QX-FRZ-322,"Cottage Pasta","Frozen","1 kg",2.25,each,core,true,false,CMD-DRY,GH,true,true
QX-FRZ-323,"Crisp Yoghurt","Frozen","6 pack",8.24,each,branded,false,false,CMD-DRY,BR,false,true
QX-CER-324,"Choice Yoghurt","Cereal","2 L",3.09,each,branded,false,false,CMD-WHT,BR,false,false
QX-HBC-325,"Fresh Juice","Health and beauty","400 g",3.79,each,branded,false,false,CMD-PLM,MA,false,false
QX-PET-326,"Selection Butter","Pet","1 kg",5.66,each,core,true,false,CMD-WHT,ES,false,false
QX-BAK-327,"Hearty Rice","Bakery","2 L",2.19,each,finest,true,false,CMD-WHT,BR,false,false
QX-BAK-328,"Reserve Juice","Bakery","6 pack",3.85,each,finest,true,false,CMD-WHT,TR,false,false
QX-CER-329,"Rounds Peas","Cereal","500 ml",4.22,each,core,true,false,CMD-WHT,BR,false,false
QX-HHD-330,"Meadow Juice","Household","500 ml",6.03,each,branded,false,false,CMD-BRD,BR,false,false
QX-CER-331,"Golden Rice","Cereal","6 pack",4.10,each,finest,true,false,CMD-WHT,BR,false,false
QX-DRY-332,"Fresh Sauce","Dry goods","1 L",1.53,each,value,true,false,CMD-WHT,BR,true,false
QX-BAK-333,"Meadow Tea","Bakery","500 ml",0.97,each,branded,false,false,CMD-WHT,NL,false,false
QX-DRK-334,"Fresh Rice","Drinks","1 L",1.58,each,branded,false,false,CMD-SUN,DK,false,false
QX-BAK-335,"Reserve Loaf","Bakery","per kg",3.47,kg,branded,false,true,CMD-WHT,NL,false,false
QX-CHL-336,"Rounds Beans","Chilled","250 g",6.48,each,value,true,false,CMD-DRY,DK,false,true
QX-HBC-337,"Selection Butter","Health and beauty","1 L",14.40,each,value,true,false,CMD-PLM,BZ,false,false
QX-TIN-338,"Cottage Apples","Tinned","500 ml",0.52,each,branded,false,false,CMD-ALU,BZ,false,false
QX-HHD-339,"Meadow Juice","Household","400 g",1.73,each,core,true,false,CMD-BRD,CR,false,false
QX-TIN-340,"Selection Biscuits","Tinned","2 L",2.42,each,branded,false,false,CMD-ALU,TR,false,false
QX-CER-341,"Reserve Tea","Cereal","400 g",1.37,each,branded,false,false,CMD-WHT,BR,false,false
QX-TIN-342,"Crisp Apples","Tinned","400 g",0.53,each,core,true,false,CMD-ALU,BR,true,false
QX-FRZ-343,"Cottage Biscuits","Frozen","400 g",1.59,each,branded,false,false,CMD-DRY,BR,false,true
QX-DRY-344,"Fresh Loaf","Dry goods","1 L",3.54,each,branded,false,false,CMD-WHT,BR,false,false
QX-PET-345,"Choice Flakes","Pet","500 g",6.99,each,branded,false,false,CMD-WHT,BR,false,false
QX-CER-346,"Crisp Tea","Cereal","250 g",1.20,each,finest,true,false,CMD-WHT,BR,false,false
QX-PRO-347,"Classic Juice","Produce","per kg",2.01,kg,branded,false,false,CMD-DSL,BR,false,true
QX-PET-348,"Classic Pasta","Pet","500 ml",5.76,each,core,true,false,CMD-WHT,BR,false,false
QX-PET-349,"Hearty Cheese","Pet","1 kg",6.51,each,finest,true,false,CMD-WHT,BR,false,false
QX-DRY-350,"Hearty Rice","Dry goods","2 L",6.18,each,core,true,false,CMD-WHT,CR,false,false
QX-CHL-351,"Everyday Tea","Chilled","1 kg",2.81,each,core,true,false,CMD-DRY,ES,false,true
QX-CHL-352,"Harvest Biscuits","Chilled","6 pack",6.61,each,branded,false,false,CMD-DRY,BR,false,true
QX-BWS-353,"Classic Flakes","Beer wine spirits","500 ml",35.22,each,branded,false,false,CMD-GAS,NL,false,false
QX-CHL-354,"Rounds Cleaner","Chilled","500 g",1.59,each,branded,false,true,CMD-DRY,VN,false,true
QX-CER-355,"Crisp Butter","Cereal","500 ml",3.06,each,branded,false,false,CMD-WHT,BR,false,false
QX-DRK-356,"Classic Beans","Drinks","2 L",5.48,each,core,true,false,CMD-SUN,BR,false,false
QX-FRZ-357,"Fresh Peas","Frozen","2 L",6.89,each,branded,false,false,CMD-DRY,CR,false,true
QX-HBC-358,"Everyday Butter","Health and beauty","1 L",11.43,each,core,true,false,CMD-PLM,NL,true,false
QX-BWS-359,"Harvest Shampoo","Beer wine spirits","400 g",15.92,each,branded,false,true,CMD-GAS,ES,false,false
QX-BAK-360,"Choice Yoghurt","Bakery","per kg",8.05,kg,core,true,false,CMD-WHT,GH,true,false
QX-DRK-361,"Cottage Pasta","Drinks","500 ml",0.63,each,branded,false,false,CMD-SUN,BZ,false,false
QX-HHD-362,"Harvest Flakes","Household","750 g",4.46,each,core,true,false,CMD-BRD,BR,false,false
QX-PRO-363,"Everyday Biscuits","Produce","6 pack",4.40,each,branded,false,false,CMD-DSL,NL,false,true
QX-TIN-364,"Original Rice","Tinned","250 g",1.83,each,branded,false,false,CMD-ALU,BR,false,false
QX-BWS-365,"Bites Rice","Beer wine spirits","1 L",15.21,each,branded,false,false,CMD-GAS,BR,false,false
QX-DRY-366,"Original Flakes","Dry goods","500 g",2.48,each,core,true,false,CMD-WHT,VN,false,false
QX-PET-367,"Fresh Yoghurt","Pet","1 kg",0.93,each,branded,false,false,CMD-WHT,BR,false,false
QX-CHL-368,"Reserve Loaf","Chilled","2 L",1.35,each,branded,false,false,CMD-DRY,BR,false,true
QX-HBC-369,"Cottage Loaf","Health and beauty","2 L",5.31,each,value,true,false,CMD-PLM,BR,false,false
QX-TIN-370,"Crisp Butter","Tinned","6 pack",1.37,each,branded,false,false,CMD-ALU,GH,false,false
QX-HBC-371,"Harvest Tea","Health and beauty","2 L",6.57,each,finest,true,false,CMD-PLM,MA,true,false
QX-CER-372,"Everyday Cheese","Cereal","6 pack",2.24,each,branded,false,false,CMD-WHT,BR,false,false
QX-HHD-373,"Harvest Chicken","Household","400 g",8.12,each,core,true,true,CMD-BRD,BR,false,false
QX-HBC-374,"Cottage Juice","Health and beauty","750 g",13.92,each,branded,false,false,CMD-PLM,NL,false,false
QX-TIN-375,"Golden Yoghurt","Tinned","500 g",2.52,each,branded,false,false,CMD-ALU,BZ,false,false
QX-BWS-376,"Rounds Loaf","Beer wine spirits","1 kg",25.64,each,value,true,false,CMD-GAS,CR,false,false
QX-CHL-377,"Bites Cheese","Chilled","per kg",15.70,kg,value,true,false,CMD-DRY,CR,false,true
QX-PET-378,"Harvest Sauce","Pet","2 L",8.01,each,core,true,false,CMD-WHT,BR,false,false
QX-BAK-379,"Orchard Rice","Bakery","1 L",4.08,each,branded,false,false,CMD-WHT,MA,false,false
QX-DRK-380,"Original Peas","Drinks","6 pack",6.44,each,branded,false,false,CMD-SUN,BZ,false,false
QX-CHL-381,"Rounds Loaf","Chilled","250 g",3.37,each,branded,false,false,CMD-DRY,BR,false,true
QX-FRZ-382,"Rounds Flakes","Frozen","2 L",4.79,each,branded,false,false,CMD-DRY,TR,false,true
QX-TIN-383,"Simple Loaf","Tinned","2 L",1.26,each,core,true,false,CMD-ALU,MA,false,false
QX-BWS-384,"Cottage Flakes","Beer wine spirits","500 ml",21.54,each,core,true,false,CMD-GAS,BR,true,false
QX-HHD-385,"Fresh Peas","Household","1 L",10.05,each,branded,false,false,CMD-BRD,ES,false,false
QX-FRZ-386,"Selection Coffee","Frozen","250 g",8.20,each,branded,false,false,CMD-DRY,BR,false,true
QX-HHD-387,"Bites Butter","Household","1 kg",5.66,each,branded,false,true,CMD-BRD,BZ,false,false
QX-HHD-388,"Harvest Sauce","Household","1 L",11.07,each,branded,false,false,CMD-BRD,BR,false,false
QX-HBC-389,"Simple Butter","Health and beauty","1 kg",12.55,each,core,true,false,CMD-PLM,PL,false,false
QX-HHD-390,"Rounds Shampoo","Household","400 g",1.12,each,core,true,false,CMD-BRD,BR,false,false
QX-TIN-391,"Meadow Shampoo","Tinned","1 L",1.29,each,value,true,true,CMD-ALU,PL,false,false
QX-CHL-392,"Simple Rice","Chilled","per kg",9.16,kg,finest,true,false,CMD-DRY,BR,false,true
QX-DRK-393,"Fresh Tea","Drinks","2 L",6.14,each,core,true,true,CMD-SUN,BR,false,false
QX-CER-394,"Classic Chicken","Cereal","400 g",2.64,each,branded,false,false,CMD-WHT,BR,false,false
QX-BWS-395,"Cottage Peas","Beer wine spirits","1 L",14.80,each,branded,false,false,CMD-GAS,BZ,false,false
QX-PRO-396,"Choice Juice","Produce","per kg",4.23,kg,core,true,false,CMD-DSL,BR,false,true
QX-TIN-397,"Cottage Coffee","Tinned","1 kg",1.17,each,branded,false,false,CMD-ALU,BR,false,false
QX-BWS-398,"Meadow Apples","Beer wine spirits","500 g",28.84,each,value,true,false,CMD-GAS,BR,false,false
QX-HBC-399,"Golden Apples","Health and beauty","500 ml",5.82,each,branded,false,false,CMD-PLM,BR,false,false
QX-DRK-400,"Everyday Tea","Drinks","2 L",1.50,each,value,true,false,CMD-SUN,BR,false,false
QX-PRO-401,"Reserve Beans","Produce","per kg",4.47,kg,value,true,false,CMD-DSL,BR,false,true
QX-PRO-402,"Bites Pasta","Produce","6 pack",0.94,each,branded,false,false,CMD-DSL,BR,false,true
QX-FRZ-403,"Orchard Juice","Frozen","750 g",3.72,each,branded,false,true,CMD-DRY,BR,false,true
QX-PRO-404,"Classic Pasta","Produce","6 pack",5.22,each,value,true,false,CMD-DSL,VN,false,true
QX-DRK-405,"Crisp Pasta","Drinks","1 kg",6.11,each,branded,false,false,CMD-SUN,BR,false,false
QX-BAK-406,"Reserve Cheese","Bakery","500 ml",1.61,each,core,true,false,CMD-WHT,BR,false,false
QX-TIN-407,"Golden Tea","Tinned","500 ml",1.77,each,branded,false,false,CMD-ALU,MA,false,false
QX-PRO-408,"Simple Sauce","Produce","per kg",1.60,kg,branded,false,false,CMD-DSL,BR,false,true
QX-HBC-409,"Selection Sauce","Health and beauty","500 ml",5.18,each,branded,false,false,CMD-PLM,BR,false,false
QX-CER-410,"Rounds Peas","Cereal","500 g",3.33,each,branded,false,false,CMD-WHT,BR,false,false
QX-FRZ-411,"Harvest Chicken","Frozen","400 g",6.52,each,finest,true,false,CMD-DRY,ES,false,true
QX-HHD-412,"Hearty Yoghurt","Household","500 g",11.00,each,branded,false,false,CMD-BRD,BR,false,false
QX-CHL-413,"Golden Beans","Chilled","per kg",13.98,kg,branded,false,false,CMD-DRY,VN,false,true
QX-DRY-414,"Fresh Chicken","Dry goods","500 g",1.08,each,value,true,false,CMD-WHT,KE,false,false
QX-PET-415,"Reserve Chicken","Pet","6 pack",3.68,each,branded,false,false,CMD-WHT,BR,false,false
QX-DRY-416,"Choice Cleaner","Dry goods","500 g",6.82,each,core,true,true,CMD-WHT,BR,false,false
QX-CHL-417,"Cottage Chicken","Chilled","per kg",19.89,kg,branded,false,false,CMD-DRY,BR,false,true
QX-PET-418,"Meadow Chicken","Pet","400 g",10.32,each,branded,false,false,CMD-WHT,BR,false,false
QX-DRY-419,"Bites Yoghurt","Dry goods","2 L",1.88,each,branded,false,false,CMD-WHT,BR,false,false
QX-BAK-420,"Everyday Shampoo","Bakery","500 ml",2.09,each,finest,true,false,CMD-WHT,BR,false,false
QX-PRO-421,"Selection Butter","Produce","400 g",3.53,each,branded,false,false,CMD-DSL,BR,false,true
QX-DRK-422,"Bites Juice","Drinks","750 g",5.96,each,core,true,false,CMD-SUN,MA,false,false
QX-DRK-423,"Classic Pasta","Drinks","750 g",2.09,each,core,true,false,CMD-SUN,BR,false,false
QX-HHD-424,"Original Pasta","Household","1 kg",8.61,each,core,true,false,CMD-BRD,DK,false,false
QX-PRO-425,"Selection Coffee","Produce","per kg",3.80,kg,branded,false,true,CMD-DSL,GH,false,true
QX-CHL-426,"Bites Biscuits","Chilled","1 kg",8.37,each,value,true,false,CMD-DRY,BR,false,true
QX-PRO-427,"Crunch Cleaner","Produce","per kg",3.07,kg,finest,true,false,CMD-DSL,BR,false,true
QX-CER-428,"Crunch Yoghurt","Cereal","2 L",4.00,each,finest,true,false,CMD-WHT,KE,false,false
QX-TIN-429,"Fresh Rice","Tinned","500 g",2.66,each,branded,false,false,CMD-ALU,BR,false,false
QX-BAK-430,"Cottage Flakes","Bakery","per kg",6.56,kg,core,true,false,CMD-WHT,BR,false,false
QX-HBC-431,"Orchard Biscuits","Health and beauty","2 L",12.16,each,branded,false,false,CMD-PLM,BR,false,false
QX-FRZ-432,"Cottage Pasta","Frozen","250 g",8.18,each,core,true,false,CMD-DRY,BR,true,true
QX-DRK-433,"Everyday Juice","Drinks","250 g",5.54,each,value,true,false,CMD-SUN,BR,false,false
QX-BAK-434,"Cottage Peas","Bakery","500 ml",3.87,each,branded,false,false,CMD-WHT,BR,false,false
QX-FRZ-435,"Reserve Sauce","Frozen","500 ml",7.89,each,branded,false,false,CMD-DRY,BR,false,true
QX-BAK-436,"Classic Beans","Bakery","per kg",7.08,kg,branded,false,true,CMD-WHT,BR,false,false
QX-CER-437,"Meadow Rice","Cereal","400 g",1.75,each,branded,false,false,CMD-WHT,BR,false,false
QX-CHL-438,"Crunch Juice","Chilled","750 g",5.48,each,branded,false,false,CMD-DRY,BR,false,true
QX-PRO-439,"Golden Tea","Produce","per kg",1.35,kg,value,true,false,CMD-DSL,ES,false,true
