sku,input_commodity_id,quantity_per_unit,quantity_unit,yield_loss_pct
QX-DRK-683,CMD-SUN,1.2233,kg,8.44
QX-DRK-683,CMD-WHT,0.4683,kg,3.37
QX-BAK-695,CMD-WHT,1.1404,kg,7.41
QX-BAK-695,CMD-ALU,0.0790,kg,5.43
QX-BAK-695,CMD-COF,0.5795,kg,6.65
QX-PET-700,CMD-WHT,0.9426,kg,8.96
QX-PET-700,CMD-BRD,0.4760,kg,1.25
QX-PET-700,CMD-PLM,0.1587,kg,2.27
QX-PET-700,CMD-DRY,0.3999,kg,3.31
QX-BAK-706,CMD-WHT,0.7540,kg,6.79
QX-BAK-706,CMD-COF,0.2898,kg,4.41
QX-FRZ-738,CMD-DRY,0.4439,kg,5.82
QX-FRZ-738,CMD-DSL,0.3687,kWh,1.30
QX-FRZ-738,CMD-ALU,0.5481,kg,6.72
QX-PRO-744,CMD-DSL,1.3980,kg,3.45
QX-DRK-755,CMD-SUN,0.2001,kg,5.65
QX-DRK-755,CMD-BRD,0.4443,kg,2.49
QX-DRK-755,CMD-PLM,0.1797,kg,3.57
QX-DRK-755,CMD-GAS,0.0897,kWh,3.68
QX-DRY-762,CMD-WHT,0.7110,kg,6.75
QX-DRY-762,CMD-COC,0.3804,kg,0.62
QX-DRY-762,CMD-ALU,0.5087,kg,6.31
QX-DRY-762,CMD-GAS,0.1122,kWh,6.98
QX-BAK-767,CMD-WHT,0.6202,kg,1.50
QX-BAK-767,CMD-BRD,0.4092,kg,5.27
QX-CER-770,CMD-WHT,0.1946,kg,5.18
QX-CER-770,CMD-ALU,0.5770,kg,3.18
QX-CER-770,CMD-SUN,0.4088,kg,3.72
QX-DRY-781,CMD-WHT,0.1157,kg,2.31
QX-DRY-781,CMD-COF,0.4312,kg,6.40
QX-FRZ-792,CMD-DRY,0.8472,kg,7.40
QX-FRZ-792,CMD-DSL,0.0645,kWh,4.57
QX-FRZ-792,CMD-BRD,0.5064,kg,2.03
QX-CER-821,CMD-WHT,0.5114,kg,6.41
QX-CER-821,CMD-COC,0.0807,kg,5.49
QX-CER-821,CMD-DRY,0.1675,kg,3.45
QX-CER-821,CMD-GAS,0.3599,kWh,4.08
QX-CER-821,CMD-SUN,0.4637,kg,4.68
QX-BWS-887,CMD-GAS,0.3378,kg,0.88
QX-BWS-887,CMD-DRY,0.3192,kg,1.22
QX-BWS-887,CMD-SUN,0.0540,kg,4.39
QX-PET-911,CMD-WHT,0.3466,kg,3.71
QX-PET-911,CMD-DSL,0.4359,kWh,4.80
QX-PET-911,CMD-COC,0.3312,kg,4.35
QX-PET-911,CMD-DRY,0.0476,kg,4.24
QX-BAK-912,CMD-WHT,0.9417,kg,5.77
QX-BAK-912,CMD-PLM,0.4424,kg,0.22
QX-BAK-912,CMD-DSL,0.4006,kWh,3.13
QX-CHL-988,CMD-DRY,0.1800,kg,1.04
QX-CHL-988,CMD-GAS,0.3511,kWh,2.29
QX-CHL-988,CMD-COF,0.0424,kg,2.99
QX-CHL-988,CMD-COC,0.5857,kg,6.52
QX-CHL-988,CMD-WHT,0.5931,kg,3.46
QX-PET-023,CMD-WHT,0.4963,kg,3.11
QX-PET-023,CMD-COF,0.5286,kg,2.17
QX-PET-023,CMD-BRD,0.2681,kg,0.69
QX-CER-032,CMD-WHT,1.0668,kg,6.66
QX-CER-032,CMD-DRY,0.1293,kg,4.05
QX-CER-032,CMD-ALU,0.1497,kg,1.87
QX-CER-032,CMD-COC,0.5519,kg,6.66
QX-CER-032,CMD-GAS,0.5300,kWh,0.48
QX-TIN-044,CMD-ALU,1.1928,kg,2.35
QX-TIN-044,CMD-BRD,0.1627,kg,1.35
QX-TIN-044,CMD-PLM,0.5854,kg,5.61
QX-TIN-044,CMD-SUN,0.5645,kg,2.51
QX-TIN-044,CMD-COF,0.0550,kg,2.07
QX-CHL-048,CMD-DRY,0.2575,kg,2.48
QX-CHL-048,CMD-ALU,0.0544,kg,3.23
QX-CHL-048,CMD-WHT,0.2715,kg,5.43
QX-FRZ-050,CMD-DRY,0.1228,kg,6.40
QX-FRZ-050,CMD-PLM,0.5619,kg,4.22
QX-FRZ-050,CMD-ALU,0.2923,kg,5.61
QX-FRZ-050,CMD-COC,0.4488,kg,3.94
QX-BWS-062,CMD-GAS,0.7979,kg,8.07
QX-BWS-062,CMD-COC,0.5637,kg,3.80
QX-BWS-062,CMD-ALU,0.3409,kg,1.45
QX-HHD-063,CMD-BRD,0.3101,kg,6.54
QX-HHD-063,CMD-GAS,0.0120,kWh,5.69
QX-BWS-070,CMD-GAS,0.9808,kg,8.59
QX-BWS-070,CMD-PLM,0.0480,kg,4.18
QX-BWS-070,CMD-WHT,0.1610,kg,4.28
QX-TIN-105,CMD-ALU,0.2657,kg,7.86
QX-TIN-105,CMD-DRY,0.1723,kg,4.85
QX-CHL-133,CMD-DRY,0.7758,kg,5.99
QX-CHL-133,CMD-COF,0.0853,kg,3.57
QX-BWS-141,CMD-GAS,0.5117,kg,4.15
QX-BWS-141,CMD-COC,0.1378,kg,4.64
QX-DRY-160,CMD-WHT,0.5636,kg,7.32
QX-DRY-160,CMD-PLM,0.3355,kg,4.91
QX-FRZ-233,CMD-DRY,1.3382,kg,6.47
QX-FRZ-233,CMD-BRD,0.3018,kg,0.80
QX-FRZ-233,CMD-GAS,0.2084,kWh,4.45
QX-FRZ-233,CMD-WHT,0.1928,kg,2.19
QX-HHD-246,CMD-BRD,0.4503,kg,8.40
QX-HHD-246,CMD-COF,0.0919,kg,0.63
QX-HHD-246,CMD-PLM,0.3517,kg,1.42
QX-HHD-246,CMD-DSL,0.1883,kWh,3.22
QX-HHD-268,CMD-BRD,0.5138,kg,2.14
QX-HHD-268,CMD-PLM,0.5718,kg,1.90
QX-HHD-268,CMD-SUN,0.3100,kg,3.71
QX-HHD-268,CMD-ALU,0.4427,kg,3.01
QX-BWS-306,CMD-GAS,1.2430,kg,7.68
QX-BWS-306,CMD-DSL,0.0973,kWh,5.13
QX-BWS-306,CMD-COF,0.2826,kg,1.71
QX-BWS-314,CMD-GAS,0.3141,kg,7.79
QX-BWS-314,CMD-PLM,0.5070,kg,1.98
QX-HHD-316,CMD-BRD,0.3768,kg,0.77
QX-HHD-316,CMD-PLM,0.0833,kg,0.30
QX-DRK-363,CMD-SUN,0.1472,kg,2.13
QX-DRK-363,CMD-COC,0.2542,kg,5.53
QX-DRK-363,CMD-BRD,0.3786,kg,2.94
QX-DRK-363,CMD-PLM,0.3302,kg,2.51
QX-BWS-377,CMD-GAS,0.8995,kg,8.97
QX-BWS-377,CMD-COF,0.0810,kg,2.40
QX-DRK-387,CMD-SUN,0.4701,kg,4.49
QX-DRK-387,CMD-COC,0.3701,kg,3.75
QX-DRK-387,CMD-GAS,0.3635,kWh,0.29
QX-DRK-387,CMD-COF,0.2014,kg,1.08
QX-DRK-387,CMD-ALU,0.3076,kg,2.26
QX-FRZ-436,CMD-DRY,0.0269,kg,5.99
QX-FRZ-436,CMD-SUN,0.0286,kg,5.81
QX-FRZ-436,CMD-PLM,0.2446,kg,1.97
QX-HHD-452,CMD-BRD,0.1450,kg,1.05
QX-HHD-452,CMD-DRY,0.3256,kg,6.08
QX-DRY-472,CMD-WHT,0.4280,kg,8.83
QX-DRY-472,CMD-GAS,0.1556,kWh,4.25
QX-DRY-472,CMD-ALU,0.4783,kg,4.10
QX-DRY-472,CMD-DSL,0.1195,kWh,4.82
QX-CHL-478,CMD-DRY,1.2179,kg,4.79
QX-CHL-478,CMD-PLM,0.1265,kg,0.94
QX-PET-481,CMD-WHT,0.5549,kg,3.37
QX-HBC-486,CMD-PLM,0.2750,kg,3.92
QX-HBC-486,CMD-BRD,0.1485,kg,5.21
QX-HHD-492,CMD-BRD,0.6683,kg,4.82
QX-HHD-492,CMD-DSL,0.2131,kWh,0.41
QX-HHD-492,CMD-WHT,0.4933,kg,0.86
QX-HHD-492,CMD-DRY,0.4323,kg,1.63
QX-PET-507,CMD-WHT,0.8227,kg,1.93
QX-PET-507,CMD-DSL,0.0189,kWh,1.43
QX-PET-507,CMD-DRY,0.3641,kg,2.71
QX-PET-507,CMD-COF,0.3203,kg,5.53
QX-PET-507,CMD-SUN,0.5289,kg,4.83
QX-CHL-511,CMD-DRY,0.5891,kg,8.13
QX-CHL-511,CMD-PLM,0.5075,kg,2.46
QX-CHL-511,CMD-WHT,0.2539,kg,2.03
QX-CHL-511,CMD-BRD,0.2831,kg,3.53
QX-CHL-535,CMD-DRY,0.6417,kg,8.61
QX-CHL-535,CMD-GAS,0.5721,kWh,5.78
QX-CHL-535,CMD-DSL,0.2498,kWh,4.30
QX-PRO-598,CMD-DSL,0.8854,kg,8.42
QX-PRO-598,CMD-SUN,0.4577,kg,1.81
QX-PRO-598,CMD-WHT,0.4145,kg,1.45
QX-DRK-603,CMD-SUN,1.0106,kg,4.86
QX-DRK-603,CMD-ALU,0.0644,kg,6.88
QX-HHD-622,CMD-BRD,0.3701,kg,6.42
QX-HHD-622,CMD-WHT,0.1449,kg,0.69
QX-HHD-622,CMD-PLM,0.3648,kg,6.99
QX-DRK-634,CMD-SUN,0.8934,kg,6.89
QX-DRK-634,CMD-GAS,0.5379,kWh,1.41
QX-DRK-634,CMD-COF,0.4006,kg,3.42
QX-DRK-634,CMD-WHT,0.1735,kg,3.16
QX-DRK-634,CMD-ALU,0.3987,kg,1.17
QX-DRK-669,CMD-SUN,1.3697,kg,5.03
QX-DRK-669,CMD-COF,0.1972,kg,3.58
QX-CHL-675,CMD-DRY,0.6540,kg,0.90
QX-CHL-675,CMD-COC,0.1726,kg,0.68
QX-BWS-707,CMD-GAS,1.0118,kg,2.48
QX-BWS-707,CMD-WHT,0.1451,kg,3.71
QX-BWS-707,CMD-SUN,0.3861,kg,3.64
QX-CER-720,CMD-WHT,0.0265,kg,5.83
QX-CER-720,CMD-GAS,0.2089,kWh,1.38
QX-CER-720,CMD-PLM,0.5301,kg,0.90
QX-CER-720,CMD-SUN,0.2081,kg,1.26
QX-CHL-734,CMD-DRY,0.7411,kg,4.05
QX-CHL-734,CMD-PLM,0.3382,kg,1.34
QX-CHL-734,CMD-SUN,0.3646,kg,6.57
QX-CHL-734,CMD-COF,0.2838,kg,6.45
QX-BAK-737,CMD-WHT,0.7517,kg,2.49
QX-BAK-737,CMD-COF,0.1451,kg,6.36
QX-BAK-737,CMD-COC,0.5198,kg,1.46
QX-BAK-737,CMD-GAS,0.0203,kWh,0.64
QX-FRZ-752,CMD-DRY,1.3031,kg,8.40
QX-FRZ-752,CMD-BRD,0.3270,kg,0.70
QX-FRZ-752,CMD-COC,0.0963,kg,1.09
QX-TIN-760,CMD-ALU,0.1483,kg,5.30
QX-TIN-760,CMD-SUN,0.2415,kg,0.65
QX-TIN-760,CMD-COF,0.0628,kg,1.65
QX-TIN-760,CMD-DSL,0.2694,kWh,1.02
QX-CER-764,CMD-WHT,0.2709,kg,1.27
QX-CER-764,CMD-COF,0.5935,kg,1.41
QX-PRO-781,CMD-DSL,1.2607,kg,1.47
QX-PRO-781,CMD-DRY,0.1123,kg,1.83
QX-DRK-814,CMD-SUN,0.4550,kg,7.30
QX-DRK-814,CMD-DSL,0.3497,kWh,2.63
QX-DRK-814,CMD-PLM,0.5653,kg,5.92
QX-DRK-814,CMD-COC,0.1386,kg,0.78
QX-CER-816,CMD-WHT,0.2359,kg,0.70
QX-CER-816,CMD-PLM,0.4650,kg,4.63
QX-CER-816,CMD-SUN,0.3636,kg,6.88
QX-PET-817,CMD-WHT,0.4464,kg,6.14
QX-PET-817,CMD-SUN,0.0454,kg,2.71
QX-TIN-839,CMD-ALU,1.2665,kg,2.03
QX-TIN-839,CMD-DSL,0.1056,kWh,2.42
QX-TIN-839,CMD-GAS,0.1052,kWh,5.14
QX-HHD-845,CMD-BRD,0.7960,kg,5.12
QX-HHD-845,CMD-DRY,0.0191,kg,3.83
QX-PRO-846,CMD-DSL,0.6944,kg,6.26
QX-PRO-846,CMD-BRD,0.0161,kg,1.67
QX-PRO-846,CMD-COC,0.3760,kg,6.90
QX-PRO-846,CMD-COF,0.2724,kg,6.96
QX-PRO-858,CMD-DSL,0.8096,kg,5.64
QX-PRO-858,CMD-DRY,0.2259,kg,3.16
QX-FRZ-885,CMD-DRY,0.5233,kg,5.77
QX-FRZ-885,CMD-GAS,0.1701,kWh,1.25
QX-FRZ-885,CMD-DSL,0.5337,kWh,6.32
QX-FRZ-885,CMD-BRD,0.3690,kg,6.96
QX-HHD-929,CMD-BRD,1.0074,kg,7.28
QX-HHD-929,CMD-GAS,0.5135,kWh,4.80
QX-HHD-929,CMD-DSL,0.3850,kWh,6.79
QX-CHL-976,CMD-DRY,0.7017,kg,2.84
QX-CHL-976,CMD-BRD,0.2094,kg,5.94
QX-CHL-976,CMD-ALU,0.4142,kg,2.48
QX-CHL-976,CMD-SUN,0.3021,kg,5.85
QX-CHL-976,CMD-COF,0.0858,kg,1.64
QX-TIN-978,CMD-ALU,0.6749,kg,1.79
QX-TIN-978,CMD-PLM,0.4080,kg,6.82
QX-TIN-978,CMD-WHT,0.3018,kg,1.45
QX-DRY-984,CMD-WHT,1.2305,kg,4.90
QX-DRY-984,CMD-GAS,0.1050,kWh,5.19
QX-BAK-001,CMD-WHT,0.8647,kg,1.52
QX-BAK-001,CMD-COF,0.0155,kg,0.93
QX-BAK-001,CMD-COC,0.3600,kg,5.78
QX-TIN-007,CMD-ALU,0.5368,kg,4.87
QX-TIN-007,CMD-GAS,0.3362,kWh,0.34
QX-TIN-007,CMD-BRD,0.1445,kg,1.39
QX-TIN-007,CMD-DSL,0.5269,kWh,0.27
QX-TIN-007,CMD-WHT,0.0569,kg,1.45
QX-HBC-062,CMD-PLM,0.7840,kg,1.40
QX-HBC-062,CMD-COC,0.1783,kg,1.76
QX-PRO-068,CMD-DSL,0.6373,kg,4.65
QX-PRO-068,CMD-DRY,0.1304,kg,2.72
QX-BWS-126,CMD-GAS,0.6660,kg,4.07
QX-BWS-126,CMD-PLM,0.0964,kg,3.15
QX-BWS-126,CMD-WHT,0.1743,kg,4.17
QX-BWS-126,CMD-COF,0.4012,kg,4.61
QX-BWS-126,CMD-SUN,0.1511,kg,6.56
QX-FRZ-133,CMD-DRY,0.2798,kg,6.17
QX-FRZ-133,CMD-ALU,0.0253,kg,2.39
QX-FRZ-133,CMD-PLM,0.3001,kg,0.84
QX-FRZ-133,CMD-WHT,0.3566,kg,2.63
QX-CER-134,CMD-WHT,0.8000,kg,8.71
QX-CER-134,CMD-COC,0.0130,kg,2.50
QX-CER-134,CMD-SUN,0.4884,kg,6.67
QX-CHL-159,CMD-DRY,1.0479,kg,5.90
QX-CHL-159,CMD-SUN,0.2221,kg,6.70
QX-BWS-163,CMD-GAS,0.7879,kg,5.47
QX-BWS-163,CMD-SUN,0.3024,kg,5.94
QX-HHD-191,CMD-BRD,0.3562,kg,6.37
QX-HHD-191,CMD-COC,0.5712,kg,0.81
QX-HHD-191,CMD-DSL,0.4108,kWh,1.71
QX-HHD-191,CMD-PLM,0.3670,kg,6.30
QX-CER-239,CMD-WHT,0.6510,kg,8.16
QX-CER-239,CMD-COC,0.1674,kg,1.04
QX-CER-239,CMD-PLM,0.3719,kg,1.50
QX-CHL-246,CMD-DRY,0.0767,kg,4.90
QX-CHL-246,CMD-SUN,0.3172,kg,6.65
QX-BAK-262,CMD-WHT,1.1445,kg,7.26
QX-BAK-262,CMD-ALU,0.4414,kg,1.47
QX-BAK-262,CMD-COF,0.5189,kg,6.51
QX-CER-342,CMD-WHT,0.8922,kg,2.44
QX-CER-342,CMD-DRY,0.3782,kg,0.61
QX-HBC-348,CMD-PLM,0.3754,kg,4.44
QX-HBC-348,CMD-COC,0.0890,kg,5.07
QX-HBC-348,CMD-DRY,0.5270,kg,3.32
QX-HBC-349,CMD-PLM,0.1627,kg,4.04
QX-HBC-349,CMD-SUN,0.4650,kg,4.18
QX-HBC-349,CMD-COF,0.2922,kg,0.63
QX-HBC-349,CMD-ALU,0.1976,kg,1.27
QX-HBC-349,CMD-WHT,0.2746,kg,0.54
QX-CER-392,CMD-WHT,0.6299,kg,1.78
QX-CER-392,CMD-COC,0.2186,kg,1.17
QX-CER-392,CMD-PLM,0.2759,kg,6.93
QX-CER-392,CMD-SUN,0.3464,kg,6.92
QX-DRK-401,CMD-SUN,1.3242,kg,7.90
QX-DRK-401,CMD-GAS,0.2196,kWh,2.73
QX-DRK-401,CMD-COF,0.3814,kg,6.93
QX-DRY-443,CMD-WHT,0.1337,kg,2.88
QX-DRY-443,CMD-DSL,0.1094,kWh,4.56
QX-DRY-454,CMD-WHT,0.5350,kg,5.84
QX-DRY-454,CMD-BRD,0.5394,kg,6.81
QX-TIN-464,CMD-ALU,1.3518,kg,6.33
QX-TIN-464,CMD-COF,0.2304,kg,3.80
QX-TIN-464,CMD-WHT,0.5516,kg,2.92
QX-TIN-465,CMD-ALU,1.1015,kg,5.35
