return_id,line_no,sku,returned_quantity,uom,refund_amount
RET-000032,4,QX-PRO-848,1,unit,3.74
RET-000032,5,QX-DRY-201,2,unit,8.60
RET-000032,6,QX-PET-808,3,unit,3.87
RET-000033,1,QX-BAK-501,1,unit,1.70
RET-000034,1,QX-BWS-908,2,unit,26.66
RET-000035,1,QX-BWS-918,1,unit,27.10
RET-000036,1,QX-DRY-247,1,unit,5.43
RET-000036,2,QX-HHD-764,1,unit,11.66
RET-000037,1,QX-CER-770,1,unit,1.66
RET-000037,2,QX-HBC-575,1,unit,2.97
RET-000038,1,QX-PRO-685,1,unit,1.93
RET-000038,2,QX-HBC-266,2,unit,17.94
RET-000039,1,QX-PRO-934,2,unit,1.00
RET-000039,2,QX-PET-175,1,unit,9.38
RET-000039,3,QX-PET-977,2,unit,17.10
RET-000039,4,QX-HHD-563,2,unit,17.76
RET-000039,5,QX-PRO-043,1.497,kg,1.62
RET-000039,6,QX-BAK-287,1.859,kg,11.28
RET-000040,1,QX-TIN-860,1,unit,1.59
RET-000040,2,QX-HBC-332,2,unit,7.58
RET-000040,3,QX-FRZ-290,2,unit,16.06
RET-000040,4,QX-DRK-330,1,unit,2.42
RET-000041,1,QX-FRZ-980,1,unit,2.00
RET-000041,2,QX-DRK-590,2,unit,2.38
RET-000041,3,QX-DRY-244,2,unit,6.80
RET-000041,4,QX-BAK-509,2.132,kg,13.90
RET-000042,1,QX-BAK-766,1,unit,2.63
RET-000042,2,QX-BAK-321,1,unit,2.75
RET-000042,3,QX-DRK-508,1,unit,0.80
RET-000042,4,QX-CER-390,1,unit,1.70
RET-000042,5,QX-BWS-428,1,unit,8.55
RET-000042,6,QX-BWS-120,1,unit,22.42
RET-000042,7,QX-PRO-176,2,unit,4.60
RET-000043,1,QX-BAK-599,2,unit,4.12
RET-000044,1,QX-CHL-426,2,unit,13.10
RET-000045,1,QX-BAK-713,1,unit,2.07
RET-000046,1,QX-BAK-970,1,unit,3.79
RET-000047,1,QX-DRY-769,1,unit,2.53
RET-000047,2,QX-FRZ-788,1,unit,4.76
RET-000047,3,QX-FRZ-855,1,unit,5.72
RET-000047,4,QX-BWS-676,1,unit,14.49
RET-000047,5,QX-PRO-824,1.971,kg,2.42
RET-000047,6,QX-DRK-453,1,unit,2.78
RET-000047,7,QX-BAK-975,1,unit,3.74
RET-000047,8,QX-BAK-387,2,unit,5.04
RET-000047,9,QX-PRO-742,1.813,kg,7.20
RET-000047,10,QX-DRY-758,1,unit,4.29
RET-000047,11,QX-HBC-284,2,unit,28.08
RET-000047,12,QX-FRZ-856,2,unit,16.02
RET-000048,1,QX-CER-663,2,unit,3.38
RET-000048,2,QX-TIN-278,1,unit,1.29
RET-000049,1,QX-HHD-225,2,unit,13.68
RET-000049,2,QX-BWS-850,1,unit,13.33
RET-000049,3,QX-TIN-322,1,unit,0.80
RET-000049,4,QX-DRY-198,2,unit,2.80
RET-000050,1,QX-TIN-957,1,unit,2.24
RET-000050,2,QX-DRK-126,1,unit,4.17
RET-000050,3,QX-PRO-824,0.78,kg,1.00
RET-000050,4,QX-CHL-042,1,unit,5.62
RET-000050,5,QX-TIN-258,3,unit,7.77
RET-000051,1,QX-BWS-209,1,unit,27.75
RET-000052,1,QX-BAK-458,1.814,kg,7.49
RET-000053,1,QX-HBC-222,1,unit,12.14
RET-000054,1,QX-HBC-206,2,unit,14.86
RET-000054,2,QX-BAK-864,1.379,kg,5.75
RET-000054,3,QX-CER-825,2,unit,8.50
RET-000054,4,QX-FRZ-060,2,unit,16.72
RET-000054,5,QX-PET-217,1,unit,8.34
RET-000054,6,QX-HHD-168,2,unit,5.58
RET-000054,7,QX-PRO-733,0.473,kg,0.48
RET-000054,8,QX-HHD-613,2,unit,15.72
RET-000054,9,QX-HBC-457,1,unit,5.44
RET-000054,10,QX-PET-787,1,unit,3.58
RET-000054,11,QX-TIN-557,1,unit,1.45
RET-000054,12,QX-PRO-341,0.951,kg,3.07
RET-000055,1,QX-CER-069,2,unit,4.16
RET-000056,1,QX-HBC-545,2,unit,31.70
RET-000057,1,QX-CHL-171,1,unit,8.94
RET-000058,1,QX-TIN-381,1,unit,2.16
RET-000059,1,QX-HHD-353,1,unit,3.93
RET-000059,2,QX-BWS-062,1,unit,3.81
RET-000059,3,QX-BAK-337,1.864,kg,7.16
RET-000059,4,QX-DRK-279,1,unit,5.32
RET-000059,5,QX-CHL-695,0.784,kg,5.35
RET-000059,6,QX-BWS-218,2,unit,37.62
RET-000060,1,QX-HHD-595,1,unit,3.00
RET-000061,1,QX-FRZ-034,2,unit,5.48
RET-000062,1,QX-DRK-624,1,unit,4.64
RET-000062,2,QX-TIN-193,1,unit,0.60
RET-000062,3,QX-BAK-659,1,unit,1.02
RET-000062,4,QX-TIN-051,1,unit,1.17
RET-000062,5,QX-HHD-129,1,unit,11.84
RET-000062,6,QX-PRO-104,1,unit,4.27
RET-000063,1,QX-CER-389,3,unit,12.90
RET-000063,2,QX-CER-304,1,unit,2.25
RET-000063,3,QX-TIN-990,2,unit,5.22
RET-000063,4,QX-FRZ-916,2,unit,5.10
RET-000063,5,QX-DRY-618,1,unit,6.23
RET-000063,6,QX-FRZ-368,1,unit,4.97
RET-000063,7,QX-DRK-406,1,unit,0.75
RET-000063,8,QX-DRY-201,2,unit,8.60
RET-000063,9,QX-TIN-007,3,unit,3.21
RET-000063,10,QX-DRK-756,3,unit,12.75
RET-000064,1,QX-DRK-319,2,unit,4.84
RET-000064,2,QX-BAK-217,0.759,kg,3.44
RET-000065,1,QX-HHD-957,1,unit,2.18
RET-000066,1,QX-DRY-049,2,unit,2.70
RET-000067,1,QX-CER-044,1,unit,4.76
RET-000067,2,QX-HBC-003,1,unit,11.03
RET-000067,3,QX-PET-125,1,unit,7.27
RET-000067,4,QX-DRK-817,3,unit,16.26
RET-000068,1,QX-TIN-038,2,unit,3.10
RET-000068,2,QX-TIN-468,2,unit,3.34
RET-000068,3,QX-CER-132,1,unit,1.25
RET-000068,4,QX-PET-357,1,unit,1.11
RET-000068,5,QX-PRO-434,1.404,kg,4.31
RET-000068,6,QX-BAK-065,1,unit,2.32
RET-000068,7,QX-TIN-155,2,unit,1.80
RET-000068,8,QX-FRZ-997,1,unit,7.32
RET-000068,9,QX-BWS-814,2,unit,62.20
RET-000069,1,QX-CHL-438,1,unit,5.82
RET-000070,1,QX-HHD-247,1,unit,9.68
RET-000070,2,QX-TIN-768,2,unit,1.00
RET-000070,3,QX-TIN-914,1,unit,0.55
RET-000070,4,QX-TIN-990,2,unit,5.22
RET-000070,5,QX-HBC-259,1,unit,8.62
RET-000071,1,QX-PET-031,2,unit,2.76
RET-000071,2,QX-TIN-436,1,unit,2.77
RET-000071,3,QX-PET-473,1,unit,6.46
RET-000072,1,QX-HBC-449,2,unit,26.82
RET-000073,1,QX-HBC-396,2,unit,26.10
RET-000073,2,QX-HBC-805,1,unit,5.92
RET-000073,3,QX-HBC-803,2,unit,28.78
RET-000073,4,QX-DRY-196,3,unit,12.00
RET-000073,5,QX-HHD-006,3,unit,16.14
RET-000073,6,QX-HBC-245,2,unit,17.82
RET-000073,7,QX-FRZ-240,1,unit,4.61
RET-000073,8,QX-CHL-246,2,unit,15.28
RET-000074,1,QX-TIN-873,2,unit,5.62
RET-000074,2,QX-TIN-651,2,unit,1.80
RET-000074,3,QX-FRZ-545,3,unit,4.14
RET-000075,1,QX-HBC-089,1,unit,4.24
RET-000075,2,QX-PET-930,1,unit,8.18
RET-000075,3,QX-HHD-409,1,unit,12.73
RET-000075,4,QX-DRY-341,1,unit,6.86
RET-000075,5,QX-BAK-488,2,unit,2.24
RET-000075,6,QX-FRZ-255,1,unit,7.60
RET-000075,7,QX-BWS-181,2,unit,44.48
RET-000076,1,QX-DRY-348,1,unit,7.12
RET-000076,2,QX-TIN-257,1,unit,2.95
RET-000076,3,QX-CHL-078,2,unit,2.54
RET-000076,4,QX-HHD-328,1,unit,11.64
RET-000076,5,QX-HBC-564,2,unit,12.02
RET-000076,6,QX-HBC-324,2,unit,10.24
RET-000076,7,QX-TIN-288,1,unit,1.27
RET-000076,8,QX-BWS-611,2,unit,19.42
RET-000076,9,QX-CER-991,1,unit,3.10
RET-000076,10,QX-HHD-956,1,unit,6.57
RET-000076,11,QX-CHL-253,2,unit,19.32
RET-000076,12,QX-TIN-884,1,unit,3.20
RET-000076,13,QX-PET-467,2,unit,2.72
RET-000076,14,QX-PET-416,1,unit,4.90
RET-000077,1,QX-BAK-268,1.824,kg,12.17
RET-000078,1,QX-HBC-778,1,unit,2.25
RET-000078,2,QX-CHL-883,2,unit,14.10
RET-000079,1,QX-DRK-293,2,unit,9.90
RET-000080,1,QX-CER-417,2,unit,6.66
RET-000080,2,QX-PRO-748,2,unit,8.90
RET-000080,3,QX-BWS-333,1,unit,36.30
RET-000081,1,QX-FRZ-086,1,unit,2.48
RET-000081,2,QX-HHD-969,1,unit,5.32
RET-000081,3,QX-CHL-136,1,unit,3.99
RET-000082,1,QX-DRK-296,2,unit,9.96
RET-000082,2,QX-FRZ-251,2,unit,10.36
RET-000082,3,QX-BAK-574,0.9,kg,4.65
RET-000082,4,QX-CER-504,1,unit,1.64
RET-000083,1,QX-HBC-405,1,unit,13.83
RET-000083,2,QX-TIN-477,2,unit,3.38
RET-000083,3,QX-PET-680,1,unit,4.90
RET-000083,4,QX-CHL-230,1,unit,3.70
RET-000083,5,QX-CHL-599,2,unit,14.44
RET-000083,6,QX-BAK-441,2,unit,7.74
RET-000083,7,QX-FRZ-759,1,unit,8.15
RET-000084,1,QX-PET-432,2,unit,10.56
RET-000084,2,QX-PET-520,1,unit,2.26
RET-000084,3,QX-BWS-747,1,unit,21.24
RET-000085,1,QX-PET-694,1,unit,9.29
RET-000085,2,QX-PRO-435,1,unit,1.26
RET-000085,3,QX-TIN-108,1,unit,2.26
RET-000085,4,QX-TIN-202,2,unit,2.18
RET-000085,5,QX-BWS-894,2,unit,45.06
RET-000085,6,QX-BWS-658,2,unit,64.86
RET-000086,1,QX-BAK-693,2,unit,4.74
RET-000087,1,QX-TIN-032,1,unit,0.95
RET-000087,2,QX-BAK-929,1,unit,3.47
RET-000087,3,QX-TIN-853,1,unit,0.90
RET-000087,4,QX-FRZ-569,1,unit,1.99
RET-000087,5,QX-TIN-289,2,unit,5.12
RET-000087,6,QX-BAK-594,2,unit,2.70
RET-000088,1,QX-BAK-205,1.133,kg,7.68
RET-000088,2,QX-BWS-383,1,unit,25.64
RET-000089,1,QX-TIN-122,2,unit,5.28
RET-000089,2,QX-DRK-209,1,unit,5.64
RET-000089,3,QX-PET-322,2,unit,10.46
RET-000089,4,QX-CER-267,1,unit,3.32
RET-000090,1,QX-DRK-712,2,unit,10.92
RET-000090,2,QX-CHL-448,1.401,kg,14.51
RET-000090,3,QX-DRY-773,1,unit,4.84
RET-000090,4,QX-DRK-369,1,unit,6.72
RET-000090,5,QX-FRZ-566,1,unit,4.41
RET-000090,6,QX-HHD-047,1,unit,8.20
RET-000091,1,QX-HHD-556,1,unit,4.62
RET-000091,2,QX-TIN-002,1,unit,1.00
RET-000092,1,QX-DRY-199,2,unit,11.40
RET-000093,1,QX-BAK-351,1,unit,4.50
RET-000093,2,QX-PET-510,2,unit,6.02
RET-000093,3,QX-DRY-021,2,unit,3.04
RET-000093,4,QX-BAK-287,1.933,kg,12.80
RET-000093,5,QX-FRZ-359,1,unit,7.56
RET-000093,6,QX-FRZ-056,1,unit,3.80
RET-000094,1,QX-HHD-634,1,unit,6.52
RET-000094,2,QX-TIN-414,3,unit,5.79
RET-000094,3,QX-FRZ-771,1,unit,7.44
RET-000094,4,QX-FRZ-413,1,unit,5.48
RET-000094,5,QX-BWS-323,1,unit,32.96
RET-000095,1,QX-PET-422,1,unit,4.20
RET-000096,1,QX-PRO-922,2,unit,2.34
RET-000097,1,QX-CER-646,1,unit,4.76
RET-000097,2,QX-CER-513,1,unit,3.78
RET-000098,1,QX-DRK-152,1,unit,3.49
RET-000098,2,QX-DRK-720,1,unit,3.46
RET-000098,3,QX-TIN-768,2,unit,1.00
RET-000098,4,QX-CER-235,1,unit,2.42
RET-000098,5,QX-HBC-491,2,unit,6.98
RET-000098,6,QX-FRZ-492,2,unit,15.78
RET-000098,7,QX-BAK-653,2,unit,6.74
RET-000098,8,QX-DRY-577,1,unit,5.39
RET-000099,1,QX-FRZ-102,2,unit,13.16
RET-000100,1,QX-FRZ-385,1,unit,2.24
RET-000100,2,QX-CHL-887,2,unit,4.74
RET-000100,3,QX-PRO-733,0.318,kg,0.30
RET-000100,4,QX-TIN-383,1,unit,2.21
RET-000100,5,QX-HHD-369,1,unit,4.46
RET-000100,6,QX-DRK-115,2,unit,1.70
RET-000100,7,QX-FRZ-855,2,unit,11.44
RET-000100,8,QX-PRO-454,3,unit,9.57
RET-000100,9,QX-DRK-176,3,unit,3.54
RET-000100,10,QX-DRK-643,2,unit,3.48
RET-000100,11,QX-CHL-883,2,unit,14.10
RET-000100,12,QX-FRZ-338,2,unit,14.06
RET-000100,13,QX-BWS-151,1,unit,18.40
RET-000100,14,QX-TIN-080,1,unit,2.58
RET-000100,15,QX-PET-212,2,unit,4.10
RET-000100,16,QX-CHL-399,0.177,kg,1.62
RET-000101,1,QX-PRO-157,1.717,kg,4.41
RET-000102,1,QX-TIN-296,2,unit,2.60
RET-000103,1,QX-FRZ-547,1,unit,7.16
RET-000104,1,QX-PRO-436,1,unit,2.30
RET-000104,2,QX-DRY-423,2,unit,13.64
RET-000105,1,QX-BAK-770,1,unit,2.58
RET-000105,2,QX-DRY-506,2,unit,11.06
RET-000106,1,QX-HHD-170,1,unit,4.27
RET-000106,2,QX-DRY-314,1,unit,2.58
RET-000106,3,QX-DRY-224,1,unit,6.49
RET-000107,1,QX-CHL-963,1,unit,1.51
RET-000107,2,QX-CER-323,1,unit,2.29
RET-000107,3,QX-HHD-803,2,unit,4.20
RET-000107,4,QX-HHD-825,2,unit,17.10
RET-000108,1,QX-PET-119,1,unit,8.89
RET-000109,1,QX-CER-369,1,unit,4.87
RET-000109,2,QX-DRK-126,2,unit,8.34
RET-000109,3,QX-BAK-644,1,unit,4.15
RET-000110,1,QX-TIN-278,2,unit,2.68
RET-000110,2,QX-HBC-222,1,unit,11.59
RET-000111,1,QX-FRZ-669,2,unit,11.02
RET-000112,1,QX-BAK-637,1,unit,1.11
RET-000112,2,QX-PET-212,1,unit,2.23
RET-000113,1,QX-CHL-438,1,unit,6.34
RET-000114,1,QX-BAK-217,0.812,kg,4.19
RET-000115,1,QX-PRO-432,0.446,kg,1.59
RET-000115,2,QX-DRK-852,1,unit,4.27
RET-000115,3,QX-HBC-844,1,unit,2.94
RET-000115,4,QX-BAK-975,1,unit,3.52
RET-000115,5,QX-BAK-252,1.385,kg,4.22
RET-000115,6,QX-CER-887,1,unit,4.29
RET-000115,7,QX-CHL-650,1.13,kg,14.42
RET-000115,8,QX-PRO-870,1,unit,0.75
RET-000115,9,QX-BAK-187,1,unit,1.01
RET-000116,1,QX-BAK-565,2,unit,3.12
RET-000117,1,QX-PET-417,1,unit,4.20
RET-000117,2,QX-CER-124,2,unit,4.02
RET-000117,3,QX-PRO-881,1,unit,1.23
RET-000117,4,QX-BAK-235,2,unit,6.82
RET-000117,5,QX-CHL-287,2,unit,6.06
RET-000117,6,QX-DRY-087,1,unit,6.66
RET-000118,1,QX-BWS-760,2,unit,14.16
RET-000119,1,QX-CER-389,1,unit,4.30
RET-000120,1,QX-HHD-969,2,unit,10.64
RET-000120,2,QX-BAK-303,2,unit,5.26
RET-000120,3,QX-TIN-155,1,unit,0.90
RET-000120,4,QX-DRY-725,2,unit,13.26
RET-000120,5,QX-DRK-374,2,unit,11.28
RET-000121,1,QX-DRK-256,1,unit,2.17
RET-000121,2,QX-CER-526,2,unit,6.28
RET-000121,3,QX-PET-457,1,unit,1.19
RET-000121,4,QX-HHD-245,2,unit,7.06
RET-000121,5,QX-HHD-783,2,unit,3.46
RET-000121,6,QX-CER-386,2,unit,9.20
RET-000121,7,QX-CHL-269,1,unit,1.62
RET-000121,8,QX-CER-265,1,unit,3.24
RET-000121,9,QX-CHL-586,1.531,kg,32.95
RET-000122,1,QX-FRZ-771,2,unit,13.66
RET-000123,1,QX-BAK-695,2,unit,3.56
RET-000124,1,QX-CHL-025,2,unit,14.78
RET-000125,1,QX-DRK-882,1,unit,2.42
RET-000126,1,QX-FRZ-208,1,unit,1.18
RET-000127,1,QX-PET-260,1,unit,2.78
RET-000127,2,QX-TIN-355,1,unit,1.32
RET-000127,3,QX-DRK-387,2,unit,12.88
RET-000128,1,QX-CER-689,1,unit,3.53
RET-000128,2,QX-HHD-663,1,unit,1.16
RET-000129,1,QX-HHD-616,2,unit,10.24
RET-000129,2,QX-PRO-817,1.401,kg,4.12
RET-000129,3,QX-CHL-561,1,unit,5.82
RET-000129,4,QX-DRY-535,1,unit,4.25
RET-000129,5,QX-TIN-775,2,unit,3.22
RET-000129,6,QX-FRZ-255,1,unit,7.25
RET-000129,7,QX-BAK-275,1,unit,1.26
RET-000129,8,QX-TIN-944,1,unit,2.19
RET-000130,1,QX-FRZ-547,1,unit,7.45
RET-000130,2,QX-CER-577,1,unit,2.88
RET-000130,3,QX-HHD-235,2,unit,3.32
RET-000130,4,QX-CHL-533,1,unit,2.66
RET-000130,5,QX-CER-724,1,unit,3.09
RET-000130,6,QX-BAK-912,0.233,kg,0.94
RET-000130,7,QX-BAK-509,0.661,kg,4.48
RET-000130,8,QX-BWS-607,3,unit,52.92
RET-000130,9,QX-BAK-939,0.887,kg,5.09
RET-000130,10,QX-DRK-279,1,unit,5.53
RET-000131,1,QX-HHD-395,1,unit,12.07
RET-000131,2,QX-CER-993,1,unit,3.47
RET-000132,1,QX-DRK-348,2,unit,8.90
RET-000132,2,QX-BAK-877,0.446,kg,2.69
RET-000132,3,QX-HBC-222,1,unit,12.14
RET-000132,4,QX-TIN-137,1,unit,2.25
RET-000132,5,QX-HBC-795,2,unit,9.16
RET-000132,6,QX-HBC-031,1,unit,14.95
RET-000132,7,QX-HBC-778,1,unit,2.45
RET-000132,8,QX-HHD-516,2,unit,11.42
RET-000132,9,QX-BWS-395,1,unit,17.56
RET-000133,1,QX-BAK-711,1,unit,3.16
RET-000133,2,QX-BWS-323,2,unit,68.94
RET-000134,1,QX-HBC-886,1,unit,5.78
