order_id,branch_id,customer_id,placed_at,fulfilment_method,delivery_distance_km,order_total
ORD-000058,B-08,C-109608,2026-05-02T08:49:56Z,DELIVERY,2.16,105.97
ORD-000059,B-08,C-111554,2026-05-02T20:34:36Z,DELIVERY,9.58,56.26
ORD-000060,B-09,C-103847,2026-05-02T20:56:31Z,PICKUP,,177.54
ORD-000061,B-09,C-104756,2026-05-02T08:15:38Z,DELIVERY,13.88,174.43
ORD-000062,B-09,C-112187,2026-05-02T20:43:55Z,PICKUP,,79.11
ORD-000063,B-09,C-109787,2026-05-02T15:32:04Z,DELIVERY,5.55,68.83
ORD-000064,B-09,C-102861,2026-05-02T15:52:03Z,DELIVERY,1.91,121.75
ORD-000065,B-09,C-104587,2026-05-02T08:30:02Z,DELIVERY,11.94,117.83
ORD-000066,B-09,C-104972,2026-05-02T13:54:46Z,PICKUP,,95.27
ORD-000067,B-04,C-100070,2026-05-02T12:40:48Z,DELIVERY,12.07,98.23
ORD-000068,B-04,C-110630,2026-05-02T13:19:47Z,PICKUP,,114.25
ORD-000069,B-04,C-105410,2026-05-02T19:24:15Z,PICKUP,,32.91
ORD-000070,B-04,C-103738,2026-05-02T18:04:54Z,DELIVERY,11.54,172.23
ORD-000071,B-02,C-111147,2026-05-02T17:21:52Z,DELIVERY,1.24,44.95
ORD-000072,B-02,C-113847,2026-05-02T14:24:50Z,PICKUP,,104.26
ORD-000073,B-02,C-110175,2026-05-02T13:22:40Z,PICKUP,,89.52
ORD-000074,B-01,C-103820,2026-05-02T13:13:27Z,PICKUP,,98.15
ORD-000075,B-17,C-106439,2026-05-03T10:53:18Z,DELIVERY,0.47,29.74
ORD-000076,B-17,C-112799,2026-05-03T14:43:00Z,DELIVERY,1.73,123.10
ORD-000077,B-17,C-108195,2026-05-03T10:49:48Z,PICKUP,,131.81
ORD-000078,B-17,C-112143,2026-05-03T16:29:00Z,PICKUP,,179.77
ORD-000079,B-17,C-100000,2026-05-03T19:09:36Z,DELIVERY,3.62,156.34
ORD-000080,B-17,C-112681,2026-05-03T17:25:12Z,DELIVERY,9.90,91.84
ORD-000081,B-17,C-103101,2026-05-03T12:45:34Z,DELIVERY,11.58,146.33
ORD-000082,B-17,C-106124,2026-05-03T12:55:39Z,PICKUP,,143.55
ORD-000083,B-17,C-104378,2026-05-03T10:29:20Z,DELIVERY,2.81,67.56
ORD-000084,B-17,C-109168,2026-05-03T14:10:40Z,PICKUP,,72.90
ORD-000085,B-17,C-107303,2026-05-03T09:04:03Z,DELIVERY,2.25,140.79
ORD-000086,B-17,C-111229,2026-05-03T18:39:29Z,DELIVERY,2.83,90.52
ORD-000087,B-17,C-100919,2026-05-03T10:21:11Z,PICKUP,,162.86
ORD-000088,B-17,C-109473,2026-05-03T11:12:15Z,DELIVERY,10.01,18.94
ORD-000089,B-17,C-103327,2026-05-03T17:51:43Z,DELIVERY,3.46,171.92
ORD-000090,B-17,C-106224,2026-05-03T18:08:15Z,DELIVERY,1.30,114.72
ORD-000091,B-17,C-102274,2026-05-03T08:57:58Z,DELIVERY,10.72,109.97
ORD-000092,B-17,C-105798,2026-05-03T12:16:43Z,DELIVERY,1.07,87.82
ORD-000093,B-08,C-100895,2026-05-03T13:43:14Z,DELIVERY,1.26,57.56
ORD-000094,B-08,C-109877,2026-05-03T10:45:13Z,DELIVERY,9.78,81.80
ORD-000095,B-08,C-101939,2026-05-03T11:40:38Z,DELIVERY,10.20,131.39
ORD-000096,B-08,C-102621,2026-05-03T08:33:26Z,PICKUP,,58.71
ORD-000097,B-08,C-113720,2026-05-03T10:38:00Z,PICKUP,,166.33
ORD-000098,B-08,C-113383,2026-05-03T08:34:38Z,DELIVERY,12.22,165.63
ORD-000099,B-08,C-102071,2026-05-03T09:01:35Z,PICKUP,,45.48
ORD-000100,B-08,C-111936,2026-05-03T19:48:07Z,DELIVERY,10.17,72.55
ORD-000101,B-08,C-106701,2026-05-03T10:51:05Z,DELIVERY,4.15,16.80
ORD-000102,B-08,C-104535,2026-05-03T12:53:02Z,DELIVERY,4.81,158.76
ORD-000103,B-08,C-111367,2026-05-03T12:40:13Z,PICKUP,,49.18
ORD-000104,B-08,C-100405,2026-05-03T13:10:04Z,DELIVERY,9.68,177.19
ORD-000105,B-09,C-101897,2026-05-03T18:00:01Z,DELIVERY,12.86,92.57
ORD-000106,B-09,C-104135,2026-05-03T11:15:46Z,DELIVERY,3.17,74.99
ORD-000107,B-09,C-106047,2026-05-03T08:39:29Z,PICKUP,,70.02
ORD-000108,B-09,C-108368,2026-05-03T17:42:11Z,DELIVERY,8.20,62.57
ORD-000109,B-09,C-102191,2026-05-03T19:21:05Z,PICKUP,,156.07
ORD-000110,B-09,C-108000,2026-05-03T09:43:57Z,DELIVERY,5.59,71.34
ORD-000111,B-09,C-105349,2026-05-03T11:23:19Z,DELIVERY,1.93,121.01
ORD-000112,B-04,C-110391,2026-05-03T10:42:28Z,DELIVERY,13.70,20.15
ORD-000113,B-04,C-107610,2026-05-03T11:02:55Z,DELIVERY,12.67,39.76
ORD-000114,B-04,C-103372,2026-05-03T19:57:37Z,PICKUP,,127.24
ORD-000115,B-04,C-107324,2026-05-03T19:07:16Z,PICKUP,,179.97
ORD-000116,B-02,C-105391,2026-05-03T13:30:50Z,PICKUP,,61.82
ORD-000117,B-02,C-104694,2026-05-03T11:13:52Z,PICKUP,,49.76
ORD-000118,B-02,C-100520,2026-05-03T17:36:17Z,PICKUP,,167.40
ORD-000119,B-01,C-103636,2026-05-03T11:35:30Z,DELIVERY,4.81,120.95
ORD-000120,B-17,C-112945,2026-05-04T18:09:21Z,PICKUP,,122.04
ORD-000121,B-17,C-114494,2026-05-04T19:20:10Z,DELIVERY,11.74,119.86
ORD-000122,B-17,C-104744,2026-05-04T19:13:14Z,DELIVERY,2.47,119.63
ORD-000123,B-17,C-112037,2026-05-04T20:28:17Z,DELIVERY,2.07,51.16
ORD-000124,B-17,C-113341,2026-05-04T08:37:37Z,DELIVERY,1.14,32.59
ORD-000125,B-17,C-112840,2026-05-04T15:17:57Z,DELIVERY,5.47,120.01
ORD-000126,B-17,C-107815,2026-05-04T09:20:07Z,PICKUP,,100.94
ORD-000127,B-17,C-105016,2026-05-04T14:02:13Z,DELIVERY,5.19,56.68
ORD-000128,B-17,C-109790,2026-05-04T12:28:51Z,PICKUP,,79.11
ORD-000129,B-17,C-110542,2026-05-04T16:50:22Z,PICKUP,,136.15
ORD-000130,B-17,C-104110,2026-05-04T18:42:33Z,DELIVERY,13.93,75.55
ORD-000131,B-08,C-101250,2026-05-04T11:46:02Z,DELIVERY,2.73,158.83
ORD-000132,B-08,C-112224,2026-05-04T09:56:41Z,DELIVERY,1.68,21.74
ORD-000133,B-08,C-111414,2026-05-04T20:06:09Z,PICKUP,,153.90
ORD-000134,B-08,C-106664,2026-05-04T12:43:23Z,DELIVERY,13.85,16.89
ORD-000135,B-08,C-108547,2026-05-04T13:30:21Z,DELIVERY,10.36,57.32
ORD-000136,B-08,C-103784,2026-05-04T12:25:32Z,DELIVERY,7.87,52.80
ORD-000137,B-08,C-114025,2026-05-04T10:41:28Z,PICKUP,,123.65
ORD-000138,B-08,C-107680,2026-05-04T14:40:53Z,PICKUP,,116.80
ORD-000139,B-09,C-114786,2026-05-04T19:39:31Z,PICKUP,,127.67
ORD-000140,B-09,C-102248,2026-05-04T08:51:48Z,DELIVERY,13.32,134.21
ORD-000141,B-09,C-103842,2026-05-04T15:56:12Z,PICKUP,,49.21
ORD-000142,B-09,C-106721,2026-05-04T15:19:09Z,DELIVERY,1.37,49.63
ORD-000143,B-04,C-100115,2026-05-04T20:06:57Z,PICKUP,,83.21
ORD-000144,B-04,C-102148,2026-05-04T14:05:29Z,PICKUP,,179.29
ORD-000145,B-04,C-105550,2026-05-04T10:07:08Z,DELIVERY,8.20,145.36
ORD-000146,B-02,C-109058,2026-05-04T08:18:25Z,DELIVERY,4.50,132.36
ORD-000147,B-02,C-103726,2026-05-04T13:12:39Z,PICKUP,,135.65
ORD-000148,B-01,C-103152,2026-05-04T14:01:45Z,DELIVERY,13.05,133.11
ORD-000149,B-17,C-108889,2026-05-05T08:25:39Z,DELIVERY,10.76,161.58
ORD-000150,B-17,C-100808,2026-05-05T18:14:14Z,DELIVERY,6.24,103.10
ORD-000151,B-17,C-101525,2026-05-05T09:48:47Z,DELIVERY,6.28,142.05
ORD-000152,B-17,C-108014,2026-05-05T19:41:27Z,DELIVERY,3.34,142.00
ORD-000153,B-17,C-111452,2026-05-05T15:42:28Z,DELIVERY,3.22,45.94
ORD-000154,B-17,C-113750,2026-05-05T16:49:57Z,DELIVERY,13.74,155.19
ORD-000155,B-17,C-105981,2026-05-05T18:30:48Z,PICKUP,,79.14
ORD-000156,B-17,C-113234,2026-05-05T16:26:43Z,DELIVERY,1.91,46.84
ORD-000157,B-17,C-104124,2026-05-05T14:44:25Z,PICKUP,,119.42
ORD-000158,B-17,C-103699,2026-05-05T12:24:45Z,DELIVERY,13.98,70.94
ORD-000159,B-17,C-104813,2026-05-05T17:15:58Z,DELIVERY,7.70,109.09
ORD-000160,B-08,C-103384,2026-05-05T11:30:16Z,PICKUP,,157.78
ORD-000161,B-08,C-114935,2026-05-05T18:34:07Z,PICKUP,,49.78
ORD-000162,B-08,C-100819,2026-05-05T08:20:23Z,DELIVERY,2.81,61.74
ORD-000163,B-08,C-113235,2026-05-05T09:28:54Z,DELIVERY,2.53,69.33
ORD-000164,B-08,C-114962,2026-05-05T12:26:00Z,DELIVERY,3.78,63.70
ORD-000165,B-08,C-108500,2026-05-05T13:36:01Z,DELIVERY,3.91,59.23
ORD-000166,B-08,C-114223,2026-05-05T19:20:19Z,DELIVERY,5.46,113.97
ORD-000167,B-08,C-101457,2026-05-05T11:37:16Z,DELIVERY,10.52,65.86
ORD-000168,B-09,C-108793,2026-05-05T13:26:07Z,DELIVERY,3.97,168.62
ORD-000169,B-09,C-106502,2026-05-05T16:30:27Z,DELIVERY,10.41,34.74
ORD-000170,B-09,C-104512,2026-05-05T19:06:54Z,DELIVERY,7.50,100.73
ORD-000171,B-09,C-112862,2026-05-05T12:01:39Z,DELIVERY,7.06,150.67
ORD-000172,B-04,C-114495,2026-05-05T13:29:43Z,DELIVERY,6.03,93.08
ORD-000173,B-04,C-109632,2026-05-05T15:13:35Z,PICKUP,,147.67
ORD-000174,B-04,C-106357,2026-05-05T15:47:04Z,DELIVERY,13.92,144.20
ORD-000175,B-02,C-109251,2026-05-05T17:13:16Z,PICKUP,,23.89
ORD-000176,B-02,C-114147,2026-05-05T12:15:39Z,PICKUP,,92.39
ORD-000177,B-01,C-112080,2026-05-05T12:46:05Z,DELIVERY,2.34,100.60
ORD-000178,B-17,C-108261,2026-05-06T12:02:14Z,PICKUP,,83.27
ORD-000179,B-17,C-107535,2026-05-06T16:02:34Z,DELIVERY,8.84,19.85
ORD-000180,B-17,C-113189,2026-05-06T14:39:52Z,DELIVERY,8.50,142.39
ORD-000181,B-17,C-105921,2026-05-06T08:47:41Z,DELIVERY,2.38,179.34
ORD-000182,B-17,C-107922,2026-05-06T14:21:17Z,DELIVERY,3.70,79.99
ORD-000183,B-17,C-114765,2026-05-06T14:35:28Z,DELIVERY,4.94,85.29
ORD-000184,B-17,C-109060,2026-05-06T18:53:35Z,DELIVERY,11.65,90.41
ORD-000185,B-17,C-104393,2026-05-06T20:23:29Z,DELIVERY,5.06,135.26
ORD-000186,B-17,C-110828,2026-05-06T20:23:55Z,DELIVERY,8.39,43.15
ORD-000187,B-17,C-103815,2026-05-06T09:47:05Z,DELIVERY,11.25,132.87
ORD-000188,B-17,C-107787,2026-05-06T19:26:40Z,DELIVERY,11.76,53.96
ORD-000189,B-08,C-111951,2026-05-06T11:47:46Z,PICKUP,,93.28
ORD-000190,B-08,C-106480,2026-05-06T12:27:55Z,PICKUP,,99.71
ORD-000191,B-08,C-102485,2026-05-06T20:23:54Z,PICKUP,,157.83
ORD-000192,B-08,C-100091,2026-05-06T11:48:10Z,DELIVERY,2.80,126.30
ORD-000193,B-08,C-113671,2026-05-06T09:46:17Z,DELIVERY,7.85,66.09
ORD-000194,B-08,C-100854,2026-05-06T15:33:04Z,DELIVERY,6.17,120.21
ORD-000195,B-08,C-112830,2026-05-06T20:45:02Z,PICKUP,,147.41
ORD-000196,B-08,C-112713,2026-05-06T19:43:31Z,DELIVERY,9.35,51.14
ORD-000197,B-09,C-107888,2026-05-06T09:50:37Z,PICKUP,,34.26
ORD-000198,B-09,C-103193,2026-05-06T14:17:12Z,DELIVERY,4.31,104.84
ORD-000199,B-09,C-106502,2026-05-06T14:20:32Z,DELIVERY,7.60,139.48
ORD-000200,B-09,C-101021,2026-05-06T15:16:47Z,DELIVERY,3.60,116.48
ORD-000201,B-04,C-114098,2026-05-06T19:02:02Z,DELIVERY,2.10,84.30
ORD-000202,B-04,C-114528,2026-05-06T14:16:08Z,DELIVERY,8.44,149.12
ORD-000203,B-04,C-109412,2026-05-06T20:23:15Z,DELIVERY,13.18,173.53
ORD-000204,B-02,C-111607,2026-05-06T09:28:10Z,DELIVERY,6.77,106.28
ORD-000205,B-02,C-113028,2026-05-06T13:12:32Z,PICKUP,,170.17
ORD-000206,B-01,C-113925,2026-05-06T13:30:18Z,DELIVERY,4.05,45.02
ORD-000207,B-17,C-104957,2026-05-07T16:14:31Z,DELIVERY,4.10,54.58
ORD-000208,B-17,C-111935,2026-05-07T11:37:25Z,DELIVERY,9.20,109.78
ORD-000209,B-17,C-103623,2026-05-07T09:22:30Z,PICKUP,,65.51
ORD-000210,B-17,C-104443,2026-05-07T09:18:21Z,DELIVERY,4.50,123.23
ORD-000211,B-17,C-111389,2026-05-07T17:56:36Z,PICKUP,,131.62
ORD-000212,B-17,C-107123,2026-05-07T09:09:37Z,DELIVERY,5.36,60.87
ORD-000213,B-17,C-100802,2026-05-07T16:58:56Z,PICKUP,,116.72
ORD-000214,B-17,C-111004,2026-05-07T16:53:19Z,PICKUP,,48.60
ORD-000215,B-17,C-113838,2026-05-07T10:21:37Z,DELIVERY,5.19,128.07
ORD-000216,B-17,C-110841,2026-05-07T18:30:56Z,PICKUP,,91.37
ORD-000217,B-17,C-104044,2026-05-07T08:54:11Z,DELIVERY,13.82,125.06
ORD-000218,B-08,C-113258,2026-05-07T16:40:23Z,DELIVERY,1.20,117.22
ORD-000219,B-08,C-108145,2026-05-07T20:16:44Z,DELIVERY,0.96,178.39
ORD-000220,B-08,C-108717,2026-05-07T12:48:41Z,PICKUP,,70.80
ORD-000221,B-08,C-101101,2026-05-07T09:32:41Z,PICKUP,,178.38
ORD-000222,B-08,C-100646,2026-05-07T09:31:55Z,DELIVERY,8.25,82.38
ORD-000223,B-08,C-111716,2026-05-07T10:46:54Z,DELIVERY,9.27,103.59
ORD-000224,B-08,C-104733,2026-05-07T13:50:27Z,PICKUP,,86.98
ORD-000225,B-08,C-107267,2026-05-07T20:33:15Z,DELIVERY,1.63,154.59
ORD-000226,B-09,C-114355,2026-05-07T13:20:55Z,PICKUP,,40.55
ORD-000227,B-09,C-109593,2026-05-07T09:27:20Z,PICKUP,,138.24
ORD-000228,B-09,C-100332,2026-05-07T16:38:06Z,DELIVERY,8.75,45.74
ORD-000229,B-09,C-104965,2026-05-07T17:05:25Z,DELIVERY,8.43,104.47
ORD-000230,B-04,C-107966,2026-05-07T09:16:27Z,DELIVERY,1.88,16.35
ORD-000231,B-04,C-110535,2026-05-07T08:39:55Z,DELIVERY,3.50,45.98
ORD-000232,B-04,C-101651,2026-05-07T18:47:36Z,PICKUP,,40.43
ORD-000233,B-02,C-109861,2026-05-07T17:09:41Z,DELIVERY,8.94,60.26
ORD-000234,B-02,C-100726,2026-05-07T14:38:52Z,DELIVERY,13.39,132.66
ORD-000235,B-01,C-103356,2026-05-07T19:01:24Z,DELIVERY,13.20,135.12
