currency_code,rate_date,units_per_gbp
DKK,2026-03-20,8.4370
DKK,2026-03-23,8.4477
DKK,2026-03-24,8.4478
DKK,2026-03-25,8.4196
DKK,2026-03-26,8.3940
DKK,2026-03-27,8.4018
DKK,2026-03-30,8.4083
DKK,2026-03-31,8.3908
DKK,2026-04-01,8.3998
DKK,2026-04-02,8.3819
DKK,2026-04-03,8.4014
MAD,2026-02-16,12.9030
MAD,2026-02-17,12.9326
MAD,2026-02-18,12.9055
MAD,2026-02-19,12.8628
MAD,2026-02-20,12.8840
MAD,2026-02-23,12.7762
MAD,2026-02-24,12.7591
MAD,2026-02-25,12.7839
MAD,2026-02-26,12.7766
MAD,2026-02-27,12.7612
MAD,2026-03-02,12.7156
MAD,2026-03-03,12.6771
MAD,2026-03-04,12.7028
MAD,2026-03-05,12.7432
MAD,2026-03-06,12.7250
MAD,2026-03-09,12.6971
MAD,2026-03-10,12.7102
MAD,2026-03-11,12.7449
MAD,2026-03-12,12.7071
MAD,2026-03-13,12.6737
MAD,2026-03-16,12.7746
MAD,2026-03-17,12.7619
MAD,2026-03-18,12.7487
MAD,2026-03-19,12.7101
MAD,2026-03-20,12.7403
MAD,2026-03-23,12.6768
MAD,2026-03-24,12.6478
MAD,2026-03-25,12.6345
MAD,2026-03-26,12.6747
MAD,2026-03-27,12.6896
MAD,2026-03-30,12.6376
MAD,2026-03-31,12.6733
MAD,2026-04-01,12.6565
MAD,2026-04-02,12.6699
MAD,2026-04-03,12.6781
KES,2026-02-16,166.6593
KES,2026-02-17,167.0352
KES,2026-02-18,166.6055
KES,2026-02-19,166.4752
KES,2026-02-20,166.4317
KES,2026-02-23,165.8706
KES,2026-02-24,165.5666
KES,2026-02-25,165.0999
KES,2026-02-26,164.9486
KES,2026-02-27,165.1663
KES,2026-03-02,164.6542
KES,2026-03-03,164.9972
KES,2026-03-04,165.1618
KES,2026-03-05,165.2277
KES,2026-03-06,164.8604
KES,2026-03-09,165.1030
KES,2026-03-10,164.9204
KES,2026-03-11,164.3724
KES,2026-03-12,163.8075
KES,2026-03-13,163.4138
KES,2026-03-16,163.7603
KES,2026-03-17,163.9824
KES,2026-03-18,164.4644
KES,2026-03-19,164.0973
KES,2026-03-20,163.8279
KES,2026-03-23,164.5230
KES,2026-03-24,164.6819
KES,2026-03-25,164.3996
KES,2026-03-26,164.4598
KES,2026-03-27,163.9504
KES,2026-03-30,165.5127
KES,2026-03-31,165.3215
KES,2026-04-01,165.3557
KES,2026-04-02,165.3897
KES,2026-04-03,165.7754
VND,2026-02-16,30592.2359
VND,2026-02-17,30575.6593
VND,2026-02-18,30652.7304
VND,2026-02-19,30638.1181
VND,2026-02-20,30652.6054
VND,2026-02-23,30555.1507
VND,2026-02-24,30559.0888
VND,2026-02-25,30583.5990
VND,2026-02-26,30508.8106
VND,2026-02-27,30577.7611
VND,2026-03-02,30506.1702
VND,2026-03-03,30586.6342
VND,2026-03-04,30681.5868
VND,2026-03-05,30697.2726
VND,2026-03-06,30648.3869
VND,2026-03-09,30582.3468
VND,2026-03-10,30632.3504
VND,2026-03-11,30575.8157
VND,2026-03-12,30637.5253
VND,2026-03-13,30711.9332
VND,2026-03-16,30617.2101
VND,2026-03-17,30700.2723
VND,2026-03-18,30620.0323
VND,2026-03-19,30613.1254
VND,2026-03-20,30550.4197
VND,2026-03-23,30364.2762
VND,2026-03-24,30261.6847
VND,2026-03-25,30263.9242
VND,2026-03-26,30337.0786
VND,2026-03-27,30274.2098
VND,2026-03-30,30346.0074
VND,2026-03-31,30425.8163
VND,2026-04-01,30375.5472
VND,2026-04-02,30366.0699
VND,2026-04-03,30364.0654
BRL,2026-02-16,6.2290
BRL,2026-02-17,6.2214
BRL,2026-02-18,6.2057
BRL,2026-02-19,6.2027
BRL,2026-02-20,6.2154
BRL,2026-02-23,6.2072
BRL,2026-02-24,6.2085
BRL,2026-02-25,6.1946
BRL,2026-02-26,6.1999
BRL,2026-02-27,6.1915
BRL,2026-03-02,6.1929
BRL,2026-03-03,6.2145
BRL,2026-03-04,6.2172
BRL,2026-03-05,6.2283
BRL,2026-03-06,6.2122
BRL,2026-03-09,6.1948
BRL,2026-03-10,6.1987
BRL,2026-03-11,6.1864
BRL,2026-03-12,6.1658
BRL,2026-03-13,6.1457
BRL,2026-03-16,6.1362
BRL,2026-03-17,6.1325
BRL,2026-03-18,6.1388
BRL,2026-03-19,6.1589
BRL,2026-03-20,6.1379
BRL,2026-03-23,6.1202
BRL,2026-03-24,6.0998
BRL,2026-03-25,6.1012
BRL,2026-03-26,6.0935
BRL,2026-03-27,6.1094
BRL,2026-03-30,6.1269
BRL,2026-03-31,6.1219
BRL,2026-04-01,6.1340
BRL,2026-04-02,6.1367
BRL,2026-04-03,6.1336
GHS,2026-02-16,15.9479
GHS,2026-02-17,15.9221
GHS,2026-02-18,15.8839
GHS,2026-02-19,15.9156
GHS,2026-02-20,15.9382
GHS,2026-02-23,15.9380
GHS,2026-02-24,15.9454
GHS,2026-02-25,15.9087
GHS,2026-02-26,15.8836
GHS,2026-02-27,15.9087
GHS,2026-03-02,15.9996
GHS,2026-03-03,16.0104
GHS,2026-03-04,15.9602
GHS,2026-03-05,15.9113
GHS,2026-03-06,15.9458
GHS,2026-03-09,15.9448
GHS,2026-03-10,15.9122
GHS,2026-03-11,15.8911
GHS,2026-03-12,15.9152
GHS,2026-03-13,15.9295
GHS,2026-03-16,15.9002
GHS,2026-03-17,15.9340
GHS,2026-03-18,15.9160
GHS,2026-03-19,15.9333
GHS,2026-03-20,15.9664
GHS,2026-03-23,15.9394
GHS,2026-03-24,15.9608
GHS,2026-03-25,15.9470
GHS,2026-03-26,15.9624
GHS,2026-03-27,15.9106
GHS,2026-03-30,15.9302
GHS,2026-03-31,15.9355
GHS,2026-04-01,15.8866
GHS,2026-04-02,15.8601
GHS,2026-04-03,15.9132
TRY,2026-02-16,41.3888
TRY,2026-02-17,41.2719
TRY,2026-02-18,41.2807
TRY,2026-02-19,41.3740
TRY,2026-02-20,41.4116
TRY,2026-02-23,41.5228
TRY,2026-02-24,41.5203
TRY,2026-02-25,41.4765
TRY,2026-02-26,41.5325
TRY,2026-02-27,41.4536
TRY,2026-03-02,41.5692
TRY,2026-03-03,41.5253
TRY,2026-03-04,41.4166
TRY,2026-03-05,41.4594
TRY,2026-03-06,41.3647
TRY,2026-03-09,41.2504
TRY,2026-03-10,41.2646
TRY,2026-03-11,41.3440
TRY,2026-03-12,41.2126
TRY,2026-03-13,41.1815
TRY,2026-03-16,41.2949
TRY,2026-03-17,41.2236
TRY,2026-03-18,41.2305
TRY,2026-03-19,41.3711
TRY,2026-03-20,41.4244
TRY,2026-03-23,41.2956
TRY,2026-03-24,41.1657
TRY,2026-03-25,41.1300
TRY,2026-03-26,41.2475
TRY,2026-03-27,41.1939
TRY,2026-03-30,41.3566
TRY,2026-03-31,41.4971
TRY,2026-04-01,41.6125
TRY,2026-04-02,41.7238
TRY,2026-04-03,41.7494
