markdown_id,branch_id,business_date,sku,original_price,marked_price,units_marked,units_sold,units_wasted
MD-0000062,B-21,2026-05-04,QX-PRO-143,4.19,1.24,15,6,9
MD-0000063,B-21,2026-05-04,QX-PRO-594,4.06,2.24,18,16,2
MD-0000064,B-21,2026-05-04,QX-FRZ-415,8.72,5.15,14,13,1
MD-0000065,B-21,2026-05-04,QX-FRZ-421,6.82,2.25,17,13,4
MD-0000066,B-21,2026-05-04,QX-FRZ-628,4.06,1.96,2,2,0
MD-0000067,B-22,2026-05-04,QX-PRO-077,2.73,0.83,13,9,4
MD-0000068,B-22,2026-05-04,QX-PRO-068,1.80,1.19,2,1,1
MD-0000069,B-22,2026-05-04,QX-PRO-744,2.57,1.74,2,1,1
MD-0000070,B-22,2026-05-04,QX-FRZ-029,2.10,1.47,24,13,11
MD-0000071,B-22,2026-05-04,QX-CHL-526,2.56,0.69,24,13,11
MD-0000072,B-22,2026-05-04,QX-PRO-301,2.53,0.64,3,2,1
MD-0000073,B-22,2026-05-04,QX-CHL-458,8.63,5.52,20,18,2
MD-0000074,B-23,2026-05-04,QX-CHL-110,1.00,0.43,4,4,0
MD-0000075,B-23,2026-05-04,QX-PRO-427,3.07,1.78,24,15,9
MD-0000076,B-23,2026-05-04,QX-PRO-800,1.87,1.25,17,11,6
MD-0000077,B-23,2026-05-04,QX-PRO-907,4.17,1.27,20,18,2
MD-0000078,B-23,2026-05-04,QX-FRZ-795,5.41,1.43,4,2,2
MD-0000079,B-23,2026-05-04,QX-FRZ-411,6.52,2.05,14,9,5
MD-0000080,B-23,2026-05-04,QX-PRO-532,4.84,1.50,22,13,9
MD-0000081,B-23,2026-05-04,QX-CHL-615,2.71,0.98,16,16,0
MD-0000082,B-23,2026-05-04,QX-CHL-018,7.39,2.32,18,7,11
MD-0000083,B-23,2026-05-04,QX-FRZ-073,1.49,0.75,14,7,7
MD-0000084,B-24,2026-05-04,QX-CHL-407,6.25,2.42,16,12,4
MD-0000085,B-24,2026-05-04,QX-PRO-548,3.63,1.34,20,18,2
MD-0000086,B-24,2026-05-04,QX-PRO-782,3.59,2.03,13,9,4
MD-0000087,B-24,2026-05-04,QX-CHL-396,12.95,7.94,8,5,3
MD-0000088,B-24,2026-05-04,QX-FRZ-678,8.24,3.37,21,10,11
MD-0000089,B-24,2026-05-04,QX-FRZ-201,7.03,4.07,14,6,8
MD-0000090,B-24,2026-05-04,QX-CHL-351,2.81,1.75,5,2,3
MD-0000091,B-24,2026-05-04,QX-FRZ-982,7.03,2.24,15,8,7
MD-0000092,B-24,2026-05-04,QX-CHL-648,4.74,1.68,24,11,13
MD-0000093,B-24,2026-05-04,QX-CHL-976,9.28,5.81,9,5,4
MD-0000094,B-24,2026-05-04,QX-PRO-602,2.10,1.36,17,9,8
MD-0000095,B-24,2026-05-04,QX-PRO-404,5.22,2.60,17,11,6
MD-0000096,B-24,2026-05-04,QX-FRZ-415,8.38,3.24,18,18,0
MD-0000097,B-24,2026-05-04,QX-PRO-594,3.90,2.68,21,10,11
MD-0000098,B-24,2026-05-04,QX-CHL-352,6.61,4.12,5,2,3
MD-0000099,B-25,2026-05-04,QX-PRO-040,0.40,0.24,10,9,1
MD-0000100,B-25,2026-05-04,QX-CHL-989,6.68,2.52,4,3,1
MD-0000101,B-25,2026-05-04,QX-FRZ-626,1.42,0.56,1,1,0
MD-0000102,B-25,2026-05-04,QX-FRZ-249,6.51,3.53,25,23,2
MD-0000103,B-25,2026-05-04,QX-PRO-022,2.36,1.04,16,8,8
MD-0000104,B-25,2026-05-04,QX-CHL-739,3.20,1.37,2,1,1
MD-0000105,B-25,2026-05-04,QX-FRZ-242,2.96,1.58,20,17,3
MD-0000106,B-25,2026-05-04,QX-FRZ-332,7.79,4.94,14,10,4
MD-0000107,B-25,2026-05-04,QX-PRO-372,2.90,2.02,23,8,15
MD-0000108,B-25,2026-05-04,QX-FRZ-066,2.73,0.98,18,18,0
MD-0000109,B-26,2026-05-04,QX-FRZ-658,2.63,0.72,9,6,3
MD-0000110,B-26,2026-05-04,QX-FRZ-652,6.02,1.83,26,16,10
MD-0000111,B-26,2026-05-04,QX-CHL-030,9.38,4.90,16,15,1
MD-0000112,B-26,2026-05-04,QX-PRO-689,3.70,1.61,6,4,2
MD-0000113,B-26,2026-05-04,QX-CHL-327,3.49,1.87,20,9,11
MD-0000114,B-26,2026-05-04,QX-CHL-048,21.85,11.69,14,7,7
MD-0000115,B-26,2026-05-04,QX-CHL-136,14.16,5.59,24,13,11
MD-0000116,B-26,2026-05-04,QX-CHL-746,4.02,1.08,11,6,5
MD-0000117,B-27,2026-05-04,QX-FRZ-562,2.17,0.88,10,4,6
MD-0000118,B-27,2026-05-04,QX-PRO-423,2.33,1.62,5,4,1
MD-0000119,B-27,2026-05-04,QX-PRO-127,3.27,1.24,12,6,6
MD-0000120,B-27,2026-05-04,QX-CHL-921,3.92,2.51,25,13,12
MD-0000121,B-27,2026-05-04,QX-CHL-476,22.08,14.41,17,13,4
MD-0000122,B-27,2026-05-04,QX-FRZ-752,3.40,1.82,8,4,4
MD-0000123,B-27,2026-05-04,QX-CHL-579,23.46,13.01,3,1,2
MD-0000124,B-28,2026-05-04,QX-FRZ-430,1.75,0.98,12,11,1
MD-0000125,B-28,2026-05-04,QX-FRZ-435,8.21,3.67,3,2,1
MD-0000126,B-28,2026-05-04,QX-FRZ-631,6.50,4.31,25,13,12
MD-0000127,B-28,2026-05-04,QX-FRZ-735,7.80,3.42,21,9,12
MD-0000128,B-28,2026-05-04,QX-CHL-971,4.58,2.92,11,4,7
MD-0000129,B-28,2026-05-04,QX-FRZ-210,5.42,3.66,15,11,4
MD-0000130,B-28,2026-05-04,QX-CHL-752,6.75,1.83,21,7,14
MD-0000131,B-28,2026-05-04,QX-CHL-117,16.76,9.16,21,17,4
MD-0000132,B-29,2026-05-04,QX-CHL-943,9.31,4.53,25,25,0
MD-0000133,B-29,2026-05-04,QX-FRZ-930,5.94,2.50,5,4,1
MD-0000134,B-29,2026-05-04,QX-CHL-261,8.81,3.84,6,3,3
MD-0000135,B-29,2026-05-04,QX-PRO-541,4.34,1.66,6,2,4
MD-0000136,B-29,2026-05-04,QX-PRO-227,1.32,0.53,16,10,6
MD-0000137,B-29,2026-05-04,QX-PRO-541,4.34,2.22,23,11,12
MD-0000138,B-29,2026-05-04,QX-FRZ-961,8.33,5.38,20,19,1
MD-0000139,B-29,2026-05-04,QX-PRO-425,3.95,1.09,16,10,6
MD-0000140,B-29,2026-05-04,QX-FRZ-343,1.65,0.56,15,10,5
MD-0000141,B-29,2026-05-04,QX-FRZ-384,8.24,2.93,13,5,8
MD-0000142,B-30,2026-05-04,QX-CHL-475,8.64,4.01,24,14,10
MD-0000143,B-30,2026-05-04,QX-FRZ-995,5.72,3.77,9,6,3
MD-0000144,B-30,2026-05-04,QX-FRZ-080,2.48,0.63,26,25,1
MD-0000145,B-30,2026-05-04,QX-PRO-923,3.80,2.56,11,7,4
MD-0000146,B-17,2026-05-05,QX-PRO-206,1.33,0.62,20,14,6
MD-0000147,B-17,2026-05-05,QX-PRO-298,3.95,1.78,3,2,1
MD-0000148,B-17,2026-05-05,QX-CHL-133,4.67,3.04,14,13,1
MD-0000149,B-17,2026-05-05,QX-CHL-442,9.87,4.31,22,12,10
MD-0000150,B-17,2026-05-05,QX-PRO-366,4.17,1.82,13,4,9
MD-0000151,B-17,2026-05-05,QX-PRO-608,4.00,2.48,5,4,1
MD-0000152,B-17,2026-05-05,QX-PRO-155,1.52,0.67,19,17,2
MD-0000153,B-17,2026-05-05,QX-PRO-223,0.55,0.26,20,18,2
MD-0000154,B-17,2026-05-05,QX-FRZ-941,5.71,2.42,17,10,7
MD-0000155,B-17,2026-05-05,QX-CHL-018,7.39,3.43,26,22,4
MD-0000156,B-17,2026-05-05,QX-PRO-236,2.69,0.99,14,13,1
MD-0000157,B-17,2026-05-05,QX-PRO-645,1.81,0.76,20,19,1
MD-0000158,B-17,2026-05-05,QX-PRO-778,3.42,0.87,7,7,0
MD-0000159,B-17,2026-05-05,QX-CHL-219,11.76,6.78,1,1,0
MD-0000160,B-17,2026-05-05,QX-CHL-526,2.56,1.64,18,14,4
MD-0000161,B-17,2026-05-05,QX-CHL-680,15.14,5.93,2,2,0
MD-0000162,B-17,2026-05-05,QX-CHL-956,1.51,0.55,24,13,11
MD-0000163,B-17,2026-05-05,QX-FRZ-244,5.18,2.22,14,5,9
MD-0000164,B-17,2026-05-05,QX-CHL-881,6.16,3.39,21,10,11
MD-0000165,B-08,2026-05-05,QX-FRZ-028,2.40,1.40,26,18,8
MD-0000166,B-08,2026-05-05,QX-FRZ-712,1.46,0.96,8,6,2
MD-0000167,B-08,2026-05-05,QX-FRZ-244,5.18,2.57,5,3,2
MD-0000168,B-08,2026-05-05,QX-CHL-701,2.76,1.30,18,18,0
MD-0000169,B-08,2026-05-05,QX-FRZ-362,6.94,3.61,15,9,6
MD-0000170,B-08,2026-05-05,QX-CHL-856,4.79,1.85,1,0,1
MD-0000171,B-09,2026-05-05,QX-CHL-251,12.68,4.48,18,7,11
MD-0000172,B-09,2026-05-05,QX-FRZ-722,4.57,2.57,7,6,1
MD-0000173,B-09,2026-05-05,QX-PRO-158,4.64,2.43,9,6,3
MD-0000174,B-09,2026-05-05,QX-CHL-388,8.49,5.58,4,1,3
MD-0000175,B-04,2026-05-05,QX-PRO-217,1.42,0.37,17,13,4
MD-0000176,B-04,2026-05-05,QX-FRZ-273,5.11,1.90,21,14,7
MD-0000177,B-04,2026-05-05,QX-PRO-441,6.00,2.26,7,5,2
MD-0000178,B-04,2026-05-05,QX-CHL-041,23.64,16.06,20,15,5
MD-0000179,B-04,2026-05-05,QX-PRO-521,4.33,1.64,2,1,1
MD-0000180,B-04,2026-05-05,QX-PRO-423,2.33,1.09,17,15,2
MD-0000181,B-04,2026-05-05,QX-CHL-306,5.64,1.88,7,3,4
MD-0000182,B-02,2026-05-05,QX-FRZ-263,7.95,4.27,13,11,2
MD-0000183,B-02,2026-05-05,QX-PRO-846,2.88,1.08,8,7,1
MD-0000184,B-02,2026-05-05,QX-FRZ-722,5.00,1.73,9,3,6
MD-0000185,B-02,2026-05-05,QX-PRO-143,4.59,2.61,22,7,15
MD-0000186,B-02,2026-05-05,QX-PRO-425,4.33,1.10,12,8,4
MD-0000187,B-02,2026-05-05,QX-FRZ-629,6.74,2.31,10,6,4
MD-0000188,B-02,2026-05-05,QX-PRO-202,1.68,0.71,24,21,3
MD-0000189,B-02,2026-05-05,QX-CHL-458,9.84,6.35,12,7,5
MD-0000190,B-02,2026-05-05,QX-FRZ-071,3.97,2.13,16,15,1
MD-0000191,B-02,2026-05-05,QX-FRZ-631,7.12,3.93,24,9,15
MD-0000192,B-02,2026-05-05,QX-PRO-735,4.53,1.57,21,10,11
MD-0000193,B-01,2026-05-05,QX-PRO-083,0.85,0.46,10,9,1
MD-0000194,B-01,2026-05-05,QX-CHL-579,20.23,6.15,11,10,1
MD-0000195,B-01,2026-05-05,QX-FRZ-140,4.11,1.47,3,1,2
MD-0000196,B-01,2026-05-05,QX-CHL-238,5.34,2.60,7,3,4
MD-0000197,B-01,2026-05-05,QX-PRO-427,2.89,1.46,24,12,12
MD-0000198,B-01,2026-05-05,QX-CHL-269,1.52,0.80,11,4,7
MD-0000199,B-01,2026-05-05,QX-PRO-154,3.68,1.13,23,15,8
MD-0000200,B-20,2026-05-05,QX-CHL-476,20.26,5.98,14,11,3
MD-0000201,B-20,2026-05-05,QX-PRO-726,0.95,0.24,17,17,0
MD-0000202,B-20,2026-05-05,QX-CHL-354,1.59,0.52,18,18,0
MD-0000203,B-20,2026-05-05,QX-FRZ-362,6.94,2.79,23,10,13
MD-0000204,B-20,2026-05-05,QX-FRZ-345,3.39,2.22,13,13,0
MD-0000205,B-21,2026-05-05,QX-CHL-011,12.07,3.31,13,5,8
MD-0000206,B-21,2026-05-05,QX-CHL-890,4.80,2.92,17,5,12
MD-0000207,B-21,2026-05-05,QX-FRZ-977,6.30,3.63,18,10,8
MD-0000208,B-21,2026-05-05,QX-CHL-959,3.87,1.82,23,17,6
MD-0000209,B-21,2026-05-05,QX-PRO-427,3.19,1.23,11,4,7
MD-0000210,B-21,2026-05-05,QX-FRZ-626,1.57,0.79,25,18,7
MD-0000211,B-21,2026-05-05,QX-CHL-064,23.81,12.54,22,15,7
MD-0000212,B-21,2026-05-05,QX-PRO-881,2.25,0.93,7,6,1
MD-0000213,B-21,2026-05-05,QX-PRO-625,3.70,2.53,21,13,8
MD-0000214,B-21,2026-05-05,QX-PRO-778,3.56,1.03,16,6,10
MD-0000215,B-21,2026-05-05,QX-FRZ-080,2.58,1.02,24,8,16
MD-0000216,B-21,2026-05-05,QX-FRZ-909,2.65,1.85,12,9,3
MD-0000217,B-21,2026-05-05,QX-FRZ-666,6.68,3.99,22,14,8
MD-0000218,B-21,2026-05-05,QX-PRO-127,3.12,0.86,7,5,2
MD-0000219,B-22,2026-05-05,QX-PRO-423,2.14,0.78,19,7,12
MD-0000220,B-22,2026-05-05,QX-CHL-269,1.62,1.00,10,3,7
MD-0000221,B-22,2026-05-05,QX-FRZ-564,4.14,1.25,8,3,5
MD-0000222,B-22,2026-05-05,QX-PRO-142,2.30,1.17,11,8,3
MD-0000223,B-22,2026-05-05,QX-FRZ-231,3.21,1.33,11,11,0
MD-0000224,B-22,2026-05-05,QX-FRZ-421,6.56,4.50,9,3,6
MD-0000225,B-22,2026-05-05,QX-PRO-475,0.90,0.32,25,18,7
MD-0000226,B-22,2026-05-05,QX-CHL-442,9.87,4.95,15,9,6
MD-0000227,B-22,2026-05-05,QX-FRZ-897,5.42,2.39,4,3,1
MD-0000228,B-22,2026-05-05,QX-FRZ-930,5.71,2.19,7,6,1
MD-0000229,B-22,2026-05-05,QX-PRO-363,4.40,2.91,23,19,4
MD-0000230,B-22,2026-05-05,QX-FRZ-712,1.46,0.38,25,17,8
MD-0000231,B-22,2026-05-05,QX-FRZ-418,6.80,4.33,19,9,10
MD-0000232,B-22,2026-05-05,QX-PRO-960,4.20,2.70,15,8,7
MD-0000233,B-22,2026-05-05,QX-CHL-213,20.01,13.78,15,5,10
MD-0000234,B-22,2026-05-05,QX-FRZ-346,1.53,0.98,18,15,3
MD-0000235,B-23,2026-05-05,QX-CHL-105,1.93,0.72,23,11,12
MD-0000236,B-23,2026-05-05,QX-PRO-683,1.24,0.80,19,11,8
MD-0000237,B-23,2026-05-05,QX-PRO-267,1.46,0.96,21,11,10
MD-0000238,B-23,2026-05-05,QX-PRO-237,5.21,1.47,4,3,1
MD-0000239,B-23,2026-05-05,QX-CHL-739,3.40,1.85,12,9,3
MD-0000240,B-23,2026-05-05,QX-CHL-108,6.56,4.22,7,4,3
MD-0000241,B-23,2026-05-05,QX-FRZ-751,2.48,1.24,8,3,5
MD-0000242,B-23,2026-05-05,QX-FRZ-997,2.62,1.13,10,9,1
MD-0000243,B-23,2026-05-05,QX-PRO-778,3.42,1.43,6,5,1
MD-0000244,B-23,2026-05-05,QX-CHL-775,4.95,2.18,21,11,10
MD-0000245,B-23,2026-05-05,QX-PRO-026,1.16,0.70,8,3,5
MD-0000246,B-23,2026-05-05,QX-CHL-976,9.28,4.59,20,17,3
MD-0000247,B-24,2026-05-05,QX-FRZ-888,2.29,0.79,20,18,2
MD-0000248,B-24,2026-05-05,QX-CHL-246,14.75,5.58,13,5,8
MD-0000249,B-24,2026-05-05,QX-PRO-591,0.70,0.25,6,4,2
MD-0000250,B-24,2026-05-05,QX-FRZ-345,3.39,2.01,17,9,8
MD-0000251,B-24,2026-05-05,QX-CHL-278,1.39,0.91,17,9,8
MD-0000252,B-24,2026-05-05,QX-CHL-410,9.09,4.44,14,12,2
MD-0000253,B-24,2026-05-05,QX-FRZ-509,1.42,0.61,12,5,7
MD-0000254,B-25,2026-05-05,QX-CHL-012,18.42,4.70,26,15,11
MD-0000255,B-25,2026-05-05,QX-CHL-943,8.41,3.71,7,5,2
MD-0000256,B-25,2026-05-05,QX-FRZ-244,4.87,2.24,12,4,8
MD-0000257,B-25,2026-05-05,QX-PRO-591,0.65,0.45,17,15,2
MD-0000258,B-25,2026-05-05,QX-CHL-061,7.94,4.49,5,5,0
MD-0000259,B-25,2026-05-05,QX-FRZ-735,7.05,4.75,5,5,0
MD-0000260,B-25,2026-05-05,QX-FRZ-772,7.66,2.59,23,16,7
MD-0000261,B-25,2026-05-05,QX-CHL-428,4.56,1.25,18,15,3
MD-0000262,B-25,2026-05-05,QX-CHL-426,7.87,4.23,11,6,5
MD-0000263,B-25,2026-05-05,QX-CHL-592,6.79,4.19,9,4,5
MD-0000264,B-25,2026-05-05,QX-FRZ-504,1.49,0.60,22,17,5
MD-0000265,B-25,2026-05-05,QX-PRO-520,1.29,0.44,22,16,6
MD-0000266,B-25,2026-05-05,QX-PRO-943,1.63,0.71,18,15,3
MD-0000267,B-25,2026-05-05,QX-CHL-971,4.14,1.51,8,6,2
MD-0000268,B-25,2026-05-05,QX-FRZ-751,2.33,1.60,18,17,1
MD-0000269,B-25,2026-05-05,QX-FRZ-666,6.03,3.48,9,7,2
MD-0000270,B-25,2026-05-05,QX-PRO-187,1.39,0.96,10,4,6
MD-0000271,B-25,2026-05-05,QX-FRZ-362,6.52,1.66,24,16,8
MD-0000272,B-25,2026-05-05,QX-PRO-462,2.02,1.25,10,5,5
MD-0000273,B-25,2026-05-05,QX-CHL-692,17.74,9.47,5,4,1
MD-0000274,B-26,2026-05-05,QX-PRO-801,5.78,2.27,18,12,6
MD-0000275,B-26,2026-05-05,QX-FRZ-176,5.06,3.18,5,2,3
MD-0000276,B-26,2026-05-05,QX-CHL-145,4.35,2.21,7,3,4
MD-0000277,B-26,2026-05-05,QX-FRZ-839,9.21,4.37,13,7,6
MD-0000278,B-26,2026-05-05,QX-CHL-581,6.81,2.24,14,11,3
MD-0000279,B-26,2026-05-05,QX-FRZ-586,7.79,2.48,14,10,4
MD-0000280,B-26,2026-05-05,QX-CHL-279,5.33,2.14,21,8,13
MD-0000281,B-27,2026-05-05,QX-CHL-221,13.20,4.52,4,2,2
MD-0000282,B-27,2026-05-05,QX-PRO-402,1.02,0.57,25,9,16
MD-0000283,B-27,2026-05-05,QX-PRO-689,3.70,2.32,4,2,2
MD-0000284,B-27,2026-05-05,QX-PRO-866,4.65,1.48,23,14,9
MD-0000285,B-27,2026-05-05,QX-CHL-861,13.20,7.22,10,3,7
MD-0000286,B-27,2026-05-05,QX-PRO-949,4.29,1.70,23,17,6
MD-0000287,B-27,2026-05-05,QX-FRZ-238,5.01,2.85,13,9,4
MD-0000288,B-27,2026-05-05,QX-CHL-692,20.57,8.34,18,13,5
MD-0000289,B-27,2026-05-05,QX-CHL-426,9.12,4.92,2,1,1
MD-0000290,B-28,2026-05-05,QX-CHL-426,8.70,3.55,24,19,5
MD-0000291,B-28,2026-05-05,QX-PRO-401,4.65,1.91,7,6,1
MD-0000292,B-28,2026-05-05,QX-CHL-685,5.78,3.49,15,6,9
MD-0000293,B-28,2026-05-05,QX-FRZ-839,8.79,4.15,19,18,1
MD-0000294,B-28,2026-05-05,QX-PRO-234,2.30,1.11,26,26,0
MD-0000295,B-29,2026-05-05,QX-CHL-935,8.64,4.25,3,2,1
MD-0000296,B-29,2026-05-05,QX-CHL-251,12.68,6.26,15,8,7
MD-0000297,B-29,2026-05-05,QX-PRO-150,1.51,1.05,25,15,10
MD-0000298,B-29,2026-05-05,QX-CHL-116,8.92,2.91,18,7,11
MD-0000299,B-29,2026-05-05,QX-CHL-441,10.42,5.14,10,4,6
MD-0000300,B-29,2026-05-05,QX-PRO-098,4.44,2.90,25,13,12
MD-0000301,B-29,2026-05-05,QX-PRO-210,2.34,1.48,1,1,0
MD-0000302,B-29,2026-05-05,QX-PRO-040,0.45,0.22,8,4,4
MD-0000303,B-29,2026-05-05,QX-FRZ-711,4.83,1.72,4,1,3
MD-0000304,B-30,2026-05-05,QX-FRZ-029,2.10,0.64,12,8,4
MD-0000305,B-30,2026-05-05,QX-PRO-999,0.70,0.20,5,2,3
MD-0000306,B-17,2026-05-06,QX-FRZ-273,4.69,1.68,24,24,0
MD-0000307,B-17,2026-05-06,QX-CHL-476,20.26,12.40,12,10,2
MD-0000308,B-17,2026-05-06,QX-CHL-437,5.82,2.03,20,15,5
MD-0000309,B-17,2026-05-06,QX-CHL-976,9.28,4.64,13,5,8
MD-0000310,B-17,2026-05-06,QX-PRO-608,4.00,2.02,21,17,4
MD-0000311,B-17,2026-05-06,QX-CHL-861,12.11,5.46,9,6,3
MD-0000312,B-17,2026-05-06,QX-PRO-949,3.94,2.48,15,7,8
MD-0000313,B-17,2026-05-06,QX-FRZ-904,4.45,1.71,6,2,4
MD-0000314,B-17,2026-05-06,QX-FRZ-576,6.68,2.39,26,17,9
MD-0000315,B-17,2026-05-06,QX-CHL-921,3.60,1.03,15,13,2
MD-0000316,B-17,2026-05-06,QX-PRO-269,3.30,1.59,15,13,2
MD-0000317,B-17,2026-05-06,QX-FRZ-437,8.31,3.18,5,3,2
MD-0000318,B-17,2026-05-06,QX-CHL-133,4.67,1.96,7,3,4
MD-0000319,B-17,2026-05-06,QX-PRO-142,2.30,1.23,17,13,4
MD-0000320,B-17,2026-05-06,QX-PRO-892,2.91,1.54,19,10,9
MD-0000321,B-17,2026-05-06,QX-PRO-847,0.60,0.40,25,11,14
MD-0000322,B-08,2026-05-06,QX-CHL-087,6.16,2.69,13,9,4
MD-0000323,B-08,2026-05-06,QX-FRZ-437,8.31,2.18,8,3,5
MD-0000324,B-08,2026-05-06,QX-PRO-672,1.45,0.80,19,11,8
MD-0000325,B-08,2026-05-06,QX-CHL-966,22.77,15.32,25,11,14
MD-0000326,B-08,2026-05-06,QX-CHL-825,7.75,4.81,3,2,1
MD-0000327,B-08,2026-05-06,QX-CHL-438,5.48,1.49,6,4,2
MD-0000328,B-09,2026-05-06,QX-PRO-892,3.03,2.08,26,8,18
MD-0000329,B-09,2026-05-06,QX-PRO-913,2.44,1.14,1,1,0
MD-0000330,B-09,2026-05-06,QX-FRZ-902,6.30,3.10,15,5,10
MD-0000331,B-04,2026-05-06,QX-CHL-280,3.30,1.92,19,10,9
MD-0000332,B-04,2026-05-06,QX-CHL-136,14.16,3.61,2,1,1
MD-0000333,B-04,2026-05-06,QX-PRO-524,3.00,1.61,23,10,13
MD-0000334,B-04,2026-05-06,QX-CHL-777,18.74,5.50,21,21,0
MD-0000335,B-04,2026-05-06,QX-CHL-209,1.93,0.78,14,9,5
MD-0000336,B-04,2026-05-06,QX-CHL-049,11.03,6.05,25,20,5
