branch_id,sensor_id,reading_at,temperature_c
B-08,FZ-3,2026-05-04T08:00:00:00Z,-15.50
B-08,FZ-2,2026-05-04T09:00:00:00Z,-16.42
B-08,FZ-1,2026-05-04T10:00:00:00Z,-15.67
B-08,FZ-3,2026-05-04T11:00:00:00Z,-15.78
B-08,FZ-3,2026-05-04T12:00:00:00Z,-18.05
B-08,FZ-3,2026-05-04T13:00:00:00Z,-15.37
B-08,FZ-3,2026-05-04T14:00:00:00Z,-15.06
B-08,FZ-2,2026-05-04T15:00:00:00Z,-18.00
B-08,FZ-2,2026-05-04T16:00:00:00Z,-18.31
B-08,FZ-3,2026-05-04T17:00:00:00Z,-16.71
B-08,FZ-2,2026-05-04T18:00:00:00Z,-15.74
B-08,FZ-2,2026-05-04T19:00:00:00Z,-18.94
B-08,FZ-3,2026-05-04T20:00:00:00Z,-18.32
B-08,FZ-2,2026-05-04T21:00:00:00Z,-15.90
B-08,FZ-3,2026-05-04T22:00:00:00Z,-15.74
B-08,FZ-3,2026-05-04T23:00:00:00Z,-20.02
B-09,FZ-1,2026-05-04T00:00:00:00Z,-17.54
B-09,FZ-2,2026-05-04T01:00:00:00Z,-15.07
B-09,FZ-2,2026-05-04T02:00:00:00Z,-16.45
B-09,FZ-2,2026-05-04T03:00:00:00Z,-17.78
B-09,FZ-3,2026-05-04T04:00:00:00Z,-17.85
B-09,FZ-3,2026-05-04T05:00:00:00Z,-17.13
B-09,FZ-2,2026-05-04T06:00:00:00Z,-18.90
B-09,FZ-3,2026-05-04T07:00:00:00Z,-20.92
B-09,FZ-2,2026-05-04T08:00:00:00Z,-19.32
B-09,FZ-3,2026-05-04T09:00:00:00Z,-16.59
B-09,FZ-2,2026-05-04T10:00:00:00Z,-17.98
B-09,FZ-1,2026-05-04T11:00:00:00Z,-18.17
B-09,FZ-2,2026-05-04T12:00:00:00Z,-17.33
B-09,FZ-1,2026-05-04T13:00:00:00Z,-18.10
B-09,FZ-1,2026-05-04T14:00:00:00Z,-15.63
B-09,FZ-1,2026-05-04T15:00:00:00Z,-16.92
B-09,FZ-1,2026-05-04T16:00:00:00Z,-16.85
B-09,FZ-1,2026-05-04T17:00:00:00Z,-17.77
B-09,FZ-1,2026-05-04T18:00:00:00Z,-16.46
B-09,FZ-1,2026-05-04T19:00:00:00Z,-20.79
B-09,FZ-1,2026-05-04T20:00:00:00Z,-16.13
B-09,FZ-1,2026-05-04T21:00:00:00Z,-19.20
B-09,FZ-1,2026-05-04T22:00:00:00Z,-15.30
B-09,FZ-2,2026-05-04T23:00:00:00Z,-18.88
B-04,FZ-3,2026-05-04T00:00:00:00Z,-15.93
B-04,FZ-1,2026-05-04T01:00:00:00Z,-17.89
B-04,FZ-2,2026-05-04T02:00:00:00Z,-20.86
B-04,FZ-2,2026-05-04T03:00:00:00Z,-17.77
B-04,FZ-2,2026-05-04T04:00:00:00Z,-16.27
B-04,FZ-3,2026-05-04T05:00:00:00Z,-16.09
B-04,FZ-2,2026-05-04T06:00:00:00Z,-20.72
B-04,FZ-2,2026-05-04T07:00:00:00Z,-20.47
B-04,FZ-3,2026-05-04T08:00:00:00Z,-19.93
B-04,FZ-2,2026-05-04T09:00:00:00Z,-20.25
B-04,FZ-1,2026-05-04T10:00:00:00Z,-16.59
B-04,FZ-2,2026-05-04T11:00:00:00Z,-16.95
B-04,FZ-2,2026-05-04T12:00:00:00Z,-16.64
B-04,FZ-2,2026-05-04T13:00:00:00Z,-15.17
B-04,FZ-3,2026-05-04T14:00:00:00Z,-20.28
B-04,FZ-2,2026-05-04T15:00:00:00Z,-20.82
B-04,FZ-3,2026-05-04T16:00:00:00Z,-15.20
B-04,FZ-3,2026-05-04T17:00:00:00Z,-16.13
B-04,FZ-1,2026-05-04T18:00:00:00Z,-16.15
B-04,FZ-1,2026-05-04T19:00:00:00Z,-19.74
B-04,FZ-2,2026-05-04T20:00:00:00Z,-20.86
B-04,FZ-1,2026-05-04T21:00:00:00Z,-19.45
B-04,FZ-1,2026-05-04T22:00:00:00Z,-20.45
B-04,FZ-1,2026-05-04T23:00:00:00Z,-18.40
B-02,FZ-2,2026-05-04T00:00:00:00Z,-20.38
B-02,FZ-1,2026-05-04T01:00:00:00Z,-17.29
B-02,FZ-3,2026-05-04T02:00:00:00Z,-16.37
B-02,FZ-3,2026-05-04T03:00:00:00Z,-15.72
B-02,FZ-2,2026-05-04T04:00:00:00Z,-18.97
B-02,FZ-2,2026-05-04T05:00:00:00Z,-15.62
B-02,FZ-1,2026-05-04T06:00:00:00Z,-20.94
B-02,FZ-2,2026-05-04T07:00:00:00Z,-20.94
B-02,FZ-3,2026-05-04T08:00:00:00Z,-15.24
B-02,FZ-2,2026-05-04T09:00:00:00Z,-15.56
B-02,FZ-3,2026-05-04T10:00:00:00Z,-17.43
B-02,FZ-1,2026-05-04T11:00:00:00Z,-15.28
B-02,FZ-1,2026-05-04T12:00:00:00Z,-17.79
B-02,FZ-2,2026-05-04T13:00:00:00Z,-20.77
B-02,FZ-2,2026-05-04T14:00:00:00Z,-16.75
B-02,FZ-1,2026-05-04T15:00:00:00Z,-15.65
B-02,FZ-3,2026-05-04T16:00:00:00Z,-19.94
B-02,FZ-1,2026-05-04T17:00:00:00Z,-19.46
B-02,FZ-2,2026-05-04T18:00:00:00Z,-17.66
B-02,FZ-1,2026-05-04T19:00:00:00Z,-20.71
B-02,FZ-3,2026-05-04T20:00:00:00Z,-16.30
B-02,FZ-3,2026-05-04T21:00:00:00Z,-15.54
B-02,FZ-3,2026-05-04T22:00:00:00Z,-16.72
B-02,FZ-2,2026-05-04T23:00:00:00Z,-17.86
B-01,FZ-1,2026-05-04T00:00:00:00Z,-20.00
B-01,FZ-2,2026-05-04T01:00:00:00Z,-15.73
B-01,FZ-2,2026-05-04T02:00:00:00Z,-20.48
B-01,FZ-3,2026-05-04T03:00:00:00Z,-19.07
B-01,FZ-3,2026-05-04T04:00:00:00Z,-18.01
B-01,FZ-2,2026-05-04T05:00:00:00Z,-16.91
B-01,FZ-3,2026-05-04T06:00:00:00Z,-19.09
B-01,FZ-1,2026-05-04T07:00:00:00Z,-16.96
B-01,FZ-2,2026-05-04T08:00:00:00Z,-15.97
B-01,FZ-1,2026-05-04T10:00:00:00Z,-15.07
B-01,FZ-2,2026-05-04T11:00:00:00Z,-19.39
B-01,FZ-3,2026-05-04T12:00:00:00Z,-19.37
B-01,FZ-1,2026-05-04T13:00:00:00Z,-15.52
B-01,FZ-2,2026-05-04T14:00:00:00Z,-19.80
B-01,FZ-3,2026-05-04T15:00:00:00Z,-17.56
B-01,FZ-1,2026-05-04T16:00:00:00Z,-15.16
B-01,FZ-2,2026-05-04T17:00:00:00Z,-15.05
B-01,FZ-2,2026-05-04T18:00:00:00Z,-16.12
B-01,FZ-1,2026-05-04T19:00:00:00Z,-18.78
B-01,FZ-2,2026-05-04T20:00:00:00Z,-19.58
B-01,FZ-3,2026-05-04T21:00:00:00Z,-18.99
B-01,FZ-2,2026-05-04T22:00:00:00Z,-18.18
B-01,FZ-2,2026-05-04T23:00:00:00Z,-20.33
B-20,FZ-1,2026-05-04T00:00:00:00Z,-19.56
B-20,FZ-2,2026-05-04T01:00:00:00Z,-15.43
B-20,FZ-1,2026-05-04T02:00:00:00Z,-16.05
B-20,FZ-2,2026-05-04T03:00:00:00Z,-19.61
B-20,FZ-2,2026-05-04T04:00:00:00Z,-18.77
B-20,FZ-3,2026-05-04T05:00:00:00Z,-18.58
B-20,FZ-1,2026-05-04T06:00:00:00Z,-17.51
B-20,FZ-3,2026-05-04T07:00:00:00Z,-16.26
B-20,FZ-3,2026-05-04T08:00:00:00Z,-15.14
B-20,FZ-2,2026-05-04T09:00:00:00Z,-17.88
B-20,FZ-3,2026-05-04T10:00:00:00Z,-20.92
B-20,FZ-3,2026-05-04T11:00:00:00Z,-20.81
B-20,FZ-3,2026-05-04T12:00:00:00Z,-20.97
B-20,FZ-1,2026-05-04T13:00:00:00Z,-16.25
B-20,FZ-3,2026-05-04T14:00:00:00Z,-19.50
B-20,FZ-3,2026-05-04T15:00:00:00Z,-17.27
B-20,FZ-1,2026-05-04T16:00:00:00Z,-17.63
B-20,FZ-3,2026-05-04T17:00:00:00Z,-15.32
B-20,FZ-3,2026-05-04T18:00:00:00Z,-20.47
B-20,FZ-2,2026-05-04T19:00:00:00Z,-20.15
B-20,FZ-1,2026-05-04T20:00:00:00Z,-15.45
B-20,FZ-3,2026-05-04T21:00:00:00Z,-17.13
B-20,FZ-2,2026-05-04T22:00:00:00Z,-15.82
B-20,FZ-1,2026-05-04T23:00:00:00Z,-19.77
B-21,FZ-2,2026-05-04T00:00:00:00Z,-18.38
B-21,FZ-2,2026-05-04T01:00:00:00Z,-20.22
B-21,FZ-3,2026-05-04T02:00:00:00Z,-16.58
B-21,FZ-1,2026-05-04T03:00:00:00Z,-20.56
B-21,FZ-1,2026-05-04T04:00:00:00Z,-18.33
B-21,FZ-3,2026-05-04T05:00:00:00Z,-20.54
B-21,FZ-2,2026-05-04T06:00:00:00Z,-15.88
B-21,FZ-1,2026-05-04T07:00:00:00Z,-17.49
B-21,FZ-1,2026-05-04T08:00:00:00Z,-17.39
B-21,FZ-1,2026-05-04T09:00:00:00Z,-19.66
B-21,FZ-1,2026-05-04T10:00:00:00Z,-16.89
B-21,FZ-2,2026-05-04T11:00:00:00Z,-17.85
B-21,FZ-3,2026-05-04T12:00:00:00Z,-19.71
B-21,FZ-1,2026-05-04T13:00:00:00Z,-19.82
B-21,FZ-3,2026-05-04T14:00:00:00Z,-19.28
B-21,FZ-1,2026-05-04T15:00:00:00Z,-16.95
B-21,FZ-3,2026-05-04T16:00:00:00Z,-20.53
B-21,FZ-1,2026-05-04T17:00:00:00Z,-17.12
B-21,FZ-1,2026-05-04T18:00:00:00Z,-18.28
B-21,FZ-2,2026-05-04T19:00:00:00Z,-18.09
B-21,FZ-2,2026-05-04T20:00:00:00Z,-18.78
B-21,FZ-1,2026-05-04T21:00:00:00Z,-20.19
B-21,FZ-1,2026-05-04T22:00:00:00Z,-20.57
B-21,FZ-2,2026-05-04T23:00:00:00Z,-17.08
B-22,FZ-1,2026-05-04T00:00:00:00Z,-16.76
B-22,FZ-2,2026-05-04T01:00:00:00Z,-17.23
B-22,FZ-1,2026-05-04T02:00:00:00Z,-18.05
B-22,FZ-3,2026-05-04T03:00:00:00Z,-16.90
B-22,FZ-2,2026-05-04T04:00:00:00Z,-19.79
B-22,FZ-2,2026-05-04T05:00:00:00Z,-17.48
B-22,FZ-2,2026-05-04T06:00:00:00Z,-19.13
B-22,FZ-1,2026-05-04T07:00:00:00Z,-16.31
B-22,FZ-1,2026-05-04T08:00:00:00Z,-19.11
B-22,FZ-2,2026-05-04T09:00:00:00Z,-16.48
B-22,FZ-2,2026-05-04T10:00:00:00Z,-19.13
B-22,FZ-3,2026-05-04T11:00:00:00Z,-15.14
B-22,FZ-3,2026-05-04T12:00:00:00Z,-20.12
B-22,FZ-3,2026-05-04T13:00:00:00Z,-17.93
B-22,FZ-3,2026-05-04T14:00:00:00Z,-16.83
B-22,FZ-3,2026-05-04T15:00:00:00Z,-18.76
B-22,FZ-1,2026-05-04T16:00:00:00Z,-16.92
B-22,FZ-1,2026-05-04T17:00:00:00Z,-19.74
B-22,FZ-1,2026-05-04T18:00:00:00Z,-16.57
B-22,FZ-1,2026-05-04T19:00:00:00Z,-20.27
B-22,FZ-1,2026-05-04T20:00:00:00Z,-15.49
B-22,FZ-3,2026-05-04T21:00:00:00Z,-20.28
B-22,FZ-3,2026-05-04T23:00:00:00Z,-16.71
B-23,FZ-3,2026-05-04T00:00:00:00Z,-17.40
B-23,FZ-1,2026-05-04T01:00:00:00Z,-15.65
B-23,FZ-1,2026-05-04T02:00:00:00Z,-17.47
B-23,FZ-1,2026-05-04T03:00:00:00Z,-15.52
B-23,FZ-1,2026-05-04T04:00:00:00Z,-19.88
B-23,FZ-2,2026-05-04T05:00:00:00Z,-17.37
B-23,FZ-2,2026-05-04T06:00:00:00Z,-18.28
B-23,FZ-2,2026-05-04T07:00:00:00Z,-19.37
B-23,FZ-2,2026-05-04T08:00:00:00Z,-19.57
B-23,FZ-2,2026-05-04T09:00:00:00Z,-16.66
B-23,FZ-3,2026-05-04T10:00:00:00Z,-18.83
B-23,FZ-1,2026-05-04T11:00:00:00Z,-18.66
B-23,FZ-3,2026-05-04T12:00:00:00Z,-18.47
B-23,FZ-2,2026-05-04T13:00:00:00Z,-20.95
B-23,FZ-2,2026-05-04T14:00:00:00Z,-18.87
B-23,FZ-2,2026-05-04T15:00:00:00Z,-19.11
B-23,FZ-3,2026-05-04T16:00:00:00Z,-19.98
B-23,FZ-2,2026-05-04T17:00:00:00Z,-16.78
B-23,FZ-3,2026-05-04T18:00:00:00Z,-17.48
B-23,FZ-3,2026-05-04T19:00:00:00Z,-15.98
B-23,FZ-3,2026-05-04T20:00:00:00Z,-19.03
B-23,FZ-2,2026-05-04T21:00:00:00Z,-18.83
B-23,FZ-1,2026-05-04T22:00:00:00Z,-18.12
B-23,FZ-3,2026-05-04T23:00:00:00Z,-16.08
B-24,FZ-2,2026-05-04T00:00:00:00Z,-15.27
B-24,FZ-1,2026-05-04T01:00:00:00Z,-18.92
B-24,FZ-3,2026-05-04T02:00:00:00Z,-16.89
B-24,FZ-1,2026-05-04T03:00:00:00Z,-18.78
B-24,FZ-3,2026-05-04T04:00:00:00Z,-15.09
B-24,FZ-2,2026-05-04T05:00:00:00Z,-17.83
B-24,FZ-2,2026-05-04T06:00:00:00Z,-18.48
B-24,FZ-1,2026-05-04T07:00:00:00Z,-18.34
B-24,FZ-3,2026-05-04T08:00:00:00Z,-15.72
B-24,FZ-2,2026-05-04T09:00:00:00Z,-16.00
B-24,FZ-1,2026-05-04T10:00:00:00Z,-18.67
B-24,FZ-1,2026-05-04T11:00:00:00Z,-17.52
B-24,FZ-2,2026-05-04T12:00:00:00Z,-17.04
B-24,FZ-2,2026-05-04T13:00:00:00Z,-18.69
B-24,FZ-3,2026-05-04T14:00:00:00Z,-17.59
B-24,FZ-2,2026-05-04T15:00:00:00Z,-20.87
B-24,FZ-2,2026-05-04T16:00:00:00Z,-16.11
B-24,FZ-2,2026-05-04T17:00:00:00Z,-16.00
B-24,FZ-3,2026-05-04T18:00:00:00Z,-19.42
B-24,FZ-1,2026-05-04T19:00:00:00Z,-16.27
B-24,FZ-3,2026-05-04T20:00:00:00Z,-18.76
B-24,FZ-2,2026-05-04T21:00:00:00Z,-17.59
B-24,FZ-3,2026-05-04T22:00:00:00Z,-18.72
B-24,FZ-2,2026-05-04T23:00:00:00Z,-19.12
B-25,FZ-3,2026-05-04T00:00:00:00Z,-18.72
B-25,FZ-1,2026-05-04T01:00:00:00Z,-16.22
B-25,FZ-2,2026-05-04T02:00:00:00Z,-17.62
B-25,FZ-2,2026-05-04T03:00:00:00Z,-18.13
B-25,FZ-2,2026-05-04T04:00:00:00Z,-19.19
B-25,FZ-1,2026-05-04T05:00:00:00Z,-16.89
B-25,FZ-2,2026-05-04T06:00:00:00Z,-16.68
B-25,FZ-3,2026-05-04T07:00:00:00Z,-17.03
B-25,FZ-3,2026-05-04T08:00:00:00Z,-18.87
B-25,FZ-1,2026-05-04T09:00:00:00Z,-18.73
B-25,FZ-3,2026-05-04T10:00:00:00Z,-16.77
B-25,FZ-1,2026-05-04T11:00:00:00Z,-15.54
B-25,FZ-1,2026-05-04T12:00:00:00Z,-17.16
B-25,FZ-2,2026-05-04T13:00:00:00Z,-19.51
B-25,FZ-1,2026-05-04T14:00:00:00Z,-20.61
B-25,FZ-2,2026-05-04T15:00:00:00Z,-16.63
B-25,FZ-2,2026-05-04T16:00:00:00Z,-15.55
B-25,FZ-1,2026-05-04T17:00:00:00Z,-19.15
B-25,FZ-1,2026-05-04T18:00:00:00Z,-17.11
B-25,FZ-1,2026-05-04T19:00:00:00Z,-17.92
B-25,FZ-1,2026-05-04T20:00:00:00Z,-16.88
B-25,FZ-2,2026-05-04T21:00:00:00Z,-19.23
B-25,FZ-2,2026-05-04T22:00:00:00Z,-20.70
B-25,FZ-3,2026-05-04T23:00:00:00Z,-20.24
B-26,FZ-2,2026-05-04T00:00:00:00Z,-15.11
B-26,FZ-3,2026-05-04T01:00:00:00Z,-20.78
B-26,FZ-1,2026-05-04T02:00:00:00Z,-18.35
B-26,FZ-1,2026-05-04T03:00:00:00Z,-15.04
B-26,FZ-3,2026-05-04T04:00:00:00Z,-20.30
B-26,FZ-3,2026-05-04T05:00:00:00Z,-19.30
B-26,FZ-1,2026-05-04T06:00:00:00Z,-20.86
B-26,FZ-1,2026-05-04T07:00:00:00Z,-17.70
B-26,FZ-1,2026-05-04T08:00:00:00Z,-18.00
B-26,FZ-2,2026-05-04T09:00:00:00Z,-19.12
B-26,FZ-3,2026-05-04T10:00:00:00Z,-19.30
B-26,FZ-3,2026-05-04T11:00:00:00Z,-17.38
B-26,FZ-1,2026-05-04T12:00:00:00Z,-15.66
B-26,FZ-1,2026-05-04T13:00:00:00Z,-19.86
B-26,FZ-2,2026-05-04T14:00:00:00Z,-17.43
B-26,FZ-3,2026-05-04T15:00:00:00Z,-20.40
B-26,FZ-1,2026-05-04T16:00:00:00Z,-19.31
B-26,FZ-2,2026-05-04T17:00:00:00Z,-17.98
B-26,FZ-3,2026-05-04T18:00:00:00Z,-15.22
B-26,FZ-3,2026-05-04T19:00:00:00Z,-20.47
B-26,FZ-1,2026-05-04T20:00:00:00Z,-16.77
B-26,FZ-2,2026-05-04T21:00:00:00Z,-20.26
B-26,FZ-2,2026-05-04T22:00:00:00Z,-20.32
B-26,FZ-3,2026-05-04T23:00:00:00Z,-17.26
B-27,FZ-3,2026-05-04T00:00:00:00Z,-16.03
B-27,FZ-1,2026-05-04T01:00:00:00Z,-17.43
B-27,FZ-2,2026-05-04T02:00:00:00Z,-20.64
B-27,FZ-2,2026-05-04T03:00:00:00Z,-18.45
B-27,FZ-1,2026-05-04T04:00:00:00Z,-19.52
B-27,FZ-3,2026-05-04T05:00:00:00Z,-17.00
B-27,FZ-3,2026-05-04T06:00:00:00Z,-15.81
B-27,FZ-1,2026-05-04T07:00:00:00Z,-18.09
B-27,FZ-3,2026-05-04T08:00:00:00Z,-17.82
B-27,FZ-1,2026-05-04T09:00:00:00Z,-19.39
B-27,FZ-2,2026-05-04T10:00:00:00Z,-20.67
B-27,FZ-3,2026-05-04T11:00:00:00Z,-15.64
B-27,FZ-3,2026-05-04T12:00:00:00Z,-19.33
B-27,FZ-1,2026-05-04T13:00:00:00Z,-20.62
B-27,FZ-1,2026-05-04T14:00:00:00Z,-19.47
B-27,FZ-1,2026-05-04T15:00:00:00Z,-15.41
B-27,FZ-2,2026-05-04T16:00:00:00Z,-19.50
B-27,FZ-1,2026-05-04T17:00:00:00Z,-16.42
B-27,FZ-1,2026-05-04T18:00:00:00Z,-17.45
B-27,FZ-3,2026-05-04T19:00:00:00Z,-20.04
B-27,FZ-1,2026-05-04T20:00:00:00Z,-16.34
B-27,FZ-2,2026-05-04T21:00:00:00Z,-20.85
B-27,FZ-2,2026-05-04T22:00:00:00Z,-19.14
B-27,FZ-3,2026-05-04T23:00:00:00Z,-20.03
B-28,FZ-3,2026-05-04T00:00:00:00Z,-18.77
B-28,FZ-3,2026-05-04T01:00:00:00Z,-15.78
B-28,FZ-3,2026-05-04T02:00:00:00Z,-19.06
B-28,FZ-1,2026-05-04T03:00:00:00Z,-16.17
B-28,FZ-1,2026-05-04T04:00:00:00Z,-15.20
B-28,FZ-2,2026-05-04T05:00:00:00Z,-20.04
B-28,FZ-3,2026-05-04T06:00:00:00Z,-15.84
B-28,FZ-3,2026-05-04T07:00:00:00Z,-16.51
B-28,FZ-2,2026-05-04T08:00:00:00Z,-17.88
B-28,FZ-1,2026-05-04T09:00:00:00Z,-17.33
B-28,FZ-1,2026-05-04T10:00:00:00Z,-15.30
B-28,FZ-2,2026-05-04T11:00:00:00Z,-16.26
B-28,FZ-3,2026-05-04T12:00:00:00Z,-17.87
B-28,FZ-1,2026-05-04T13:00:00:00Z,-20.90
B-28,FZ-1,2026-05-04T14:00:00:00Z,-19.03
B-28,FZ-1,2026-05-04T15:00:00:00Z,-17.41
B-28,FZ-3,2026-05-04T16:00:00:00Z,-16.97
B-28,FZ-3,2026-05-04T17:00:00:00Z,-17.11
B-28,FZ-3,2026-05-04T18:00:00:00Z,-17.26
B-28,FZ-2,2026-05-04T19:00:00:00Z,-17.48
B-28,FZ-3,2026-05-04T20:00:00:00Z,-16.96
B-28,FZ-3,2026-05-04T21:00:00:00Z,-19.44
B-28,FZ-3,2026-05-04T22:00:00:00Z,-17.63
B-28,FZ-2,2026-05-04T23:00:00:00Z,-20.98
B-29,FZ-3,2026-05-04T00:00:00:00Z,-19.76
B-29,FZ-2,2026-05-04T01:00:00:00Z,-18.61
B-29,FZ-2,2026-05-04T02:00:00:00Z,-16.39
B-29,FZ-2,2026-05-04T03:00:00:00Z,-19.10
B-29,FZ-1,2026-05-04T04:00:00:00Z,-15.67
B-29,FZ-2,2026-05-04T05:00:00:00Z,-20.48
B-29,FZ-1,2026-05-04T07:00:00:00Z,-19.69
B-29,FZ-1,2026-05-04T08:00:00:00Z,-19.88
B-29,FZ-2,2026-05-04T09:00:00:00Z,-16.80
B-29,FZ-2,2026-05-04T10:00:00:00Z,-16.60
B-29,FZ-2,2026-05-04T11:00:00:00Z,-17.18
B-29,FZ-3,2026-05-04T12:00:00:00Z,-17.45
B-29,FZ-3,2026-05-04T13:00:00:00Z,-17.05
B-29,FZ-2,2026-05-04T14:00:00:00Z,-16.58
B-29,FZ-2,2026-05-04T15:00:00:00Z,-17.38
B-29,FZ-2,2026-05-04T16:00:00:00Z,-18.39
B-29,FZ-2,2026-05-04T17:00:00:00Z,-17.18
B-29,FZ-1,2026-05-04T18:00:00:00Z,-17.82
B-29,FZ-2,2026-05-04T19:00:00:00Z,-19.07
B-29,FZ-3,2026-05-04T20:00:00:00Z,-20.20
B-29,FZ-1,2026-05-04T21:00:00:00Z,-18.59
B-29,FZ-2,2026-05-04T22:00:00:00Z,-20.46
B-29,FZ-1,2026-05-04T23:00:00:00Z,-20.80
B-30,FZ-1,2026-05-04T00:00:00:00Z,-15.12
B-30,FZ-3,2026-05-04T01:00:00:00Z,-18.37
B-30,FZ-2,2026-05-04T02:00:00:00Z,-15.15
B-30,FZ-2,2026-05-04T03:00:00:00Z,-16.87
B-30,FZ-3,2026-05-04T04:00:00:00Z,-15.13
B-30,FZ-1,2026-05-04T05:00:00:00Z,-15.08
B-30,FZ-1,2026-05-04T06:00:00:00Z,-19.73
B-30,FZ-1,2026-05-04T07:00:00:00Z,-16.90
B-30,FZ-1,2026-05-04T08:00:00:00Z,-16.43
B-30,FZ-2,2026-05-04T09:00:00:00Z,-19.54
B-30,FZ-2,2026-05-04T10:00:00:00Z,-15.30
B-30,FZ-1,2026-05-04T11:00:00:00Z,-15.79
B-30,FZ-3,2026-05-04T12:00:00:00Z,-20.67
B-30,FZ-3,2026-05-04T13:00:00:00Z,-20.20
B-30,FZ-2,2026-05-04T14:00:00:00Z,-16.86
B-30,FZ-2,2026-05-04T15:00:00:00Z,-15.69
B-30,FZ-2,2026-05-04T16:00:00:00Z,-15.08
B-30,FZ-1,2026-05-04T17:00:00:00Z,-18.77
B-30,FZ-3,2026-05-04T18:00:00:00Z,-20.28
B-30,FZ-1,2026-05-04T19:00:00:00Z,-18.85
B-30,FZ-3,2026-05-04T20:00:00:00Z,-20.67
B-30,FZ-1,2026-05-04T21:00:00:00Z,-19.82
B-30,FZ-3,2026-05-04T22:00:00:00Z,-20.05
B-30,FZ-3,2026-05-04T23:00:00:00Z,-15.87
B-17,FZ-1,2026-05-05T00:00:00:00Z,-15.87
B-17,FZ-2,2026-05-05T01:00:00:00Z,-17.42
B-17,FZ-3,2026-05-05T02:00:00:00Z,-17.23
B-17,FZ-2,2026-05-05T03:00:00:00Z,-17.30
B-17,FZ-2,2026-05-05T04:00:00:00Z,-16.15
B-17,FZ-1,2026-05-05T05:00:00:00Z,-16.13
B-17,FZ-3,2026-05-05T06:00:00:00Z,-18.94
B-17,FZ-1,2026-05-05T07:00:00:00Z,-17.70
B-17,FZ-1,2026-05-05T08:00:00:00Z,-17.22
B-17,FZ-3,2026-05-05T09:00:00:00Z,-16.56
B-17,FZ-1,2026-05-05T10:00:00:00Z,-19.91
B-17,FZ-2,2026-05-05T11:00:00:00Z,-15.01
B-17,FZ-2,2026-05-05T12:00:00:00Z,-18.26
B-17,FZ-1,2026-05-05T13:00:00:00Z,-15.07
B-17,FZ-3,2026-05-05T14:00:00:00Z,-20.75
B-17,FZ-2,2026-05-05T15:00:00:00Z,-18.83
B-17,FZ-2,2026-05-05T16:00:00:00Z,-19.80
B-17,FZ-3,2026-05-05T17:00:00:00Z,-19.90
B-17,FZ-3,2026-05-05T18:00:00:00Z,-16.64
B-17,FZ-1,2026-05-05T19:00:00:00Z,-16.55
B-17,FZ-2,2026-05-05T20:00:00:00Z,-18.27
B-17,FZ-1,2026-05-05T21:00:00:00Z,-19.38
B-17,FZ-1,2026-05-05T22:00:00:00Z,-19.05
B-17,FZ-1,2026-05-05T23:00:00:00Z,-20.50
B-08,FZ-1,2026-05-05T00:00:00:00Z,-15.44
B-08,FZ-1,2026-05-05T01:00:00:00Z,-18.08
B-08,FZ-3,2026-05-05T02:00:00:00Z,-17.68
B-08,FZ-1,2026-05-05T03:00:00:00Z,-20.08
B-08,FZ-1,2026-05-05T04:00:00:00Z,-20.86
B-08,FZ-3,2026-05-05T05:00:00:00Z,-19.72
B-08,FZ-1,2026-05-05T06:00:00:00Z,-17.97
