sale_id,branch_id,till_id,business_date,employee_id,customer_id,scan_started_at,scan_ended_at,payment_completed_at,items,basket_total,payment_method
S-100019,B-17,B-17-T06,2026-05-04,E-801,,2026-05-04T11:52:47Z,2026-05-04T11:52:55Z,2026-05-04T11:53:08Z,1,3.97,card
S-100020,B-17,B-17-T03,2026-05-04,E-809,,2026-05-04T08:12:50Z,2026-05-04T08:12:58Z,2026-05-04T08:13:12Z,3,12.27,cash
S-100021,B-17,B-17-T03,2026-05-04,E-871,,2026-05-04T14:27:29Z,2026-05-04T14:28:03Z,2026-05-04T14:28:18Z,17,64.68,card
S-100022,B-17,B-17-T08,2026-05-04,E-804,,2026-05-04T19:48:36Z,2026-05-04T19:48:56Z,2026-05-04T19:49:09Z,15,91.82,card
S-100023,B-17,B-17-T08,2026-05-04,E-847,,2026-05-04T21:28:50Z,2026-05-04T21:28:58Z,2026-05-04T21:29:06Z,1,8.26,card
S-100024,B-17,B-17-T09,2026-05-04,E-847,C-127733,2026-05-04T14:13:16Z,2026-05-04T14:13:32Z,2026-05-04T14:14:09Z,9,53.52,cash
S-100025,B-17,B-17-T03,2026-05-04,E-827,,2026-05-04T10:03:31Z,2026-05-04T10:03:39Z,2026-05-04T10:03:46Z,5,14.57,card
S-100026,B-17,B-17-T05,2026-05-04,E-858,,2026-05-04T15:07:59Z,2026-05-04T15:08:25Z,2026-05-04T15:08:41Z,23,118.56,mobile
S-100027,B-17,B-17-T04,2026-05-04,E-821,,2026-05-04T21:03:40Z,2026-05-04T21:03:48Z,2026-05-04T21:04:20Z,2,17.94,cash
S-100028,B-17,B-17-T10,2026-05-04,E-839,,2026-05-04T17:51:36Z,2026-05-04T17:51:44Z,2026-05-04T17:51:58Z,3,7.53,card
S-100029,B-17,B-17-T07,2026-05-04,E-866,,2026-05-04T17:39:45Z,2026-05-04T17:40:06Z,2026-05-04T17:40:20Z,15,83.47,card
S-100030,B-17,B-17-T09,2026-05-04,E-311,C-135242,2026-05-04T14:38:37Z,2026-05-04T14:38:45Z,2026-05-04T14:39:00Z,4,21.61,cash
S-100031,B-17,B-17-T08,2026-05-04,E-455,,2026-05-04T11:00:08Z,2026-05-04T11:00:16Z,2026-05-04T11:00:31Z,3,20.20,card
S-100032,B-17,B-17-T06,2026-05-04,E-875,C-101287,2026-05-04T21:17:35Z,2026-05-04T21:17:51Z,2026-05-04T21:18:08Z,8,30.62,cash
S-100033,B-17,B-17-T09,2026-05-04,E-872,,2026-05-04T20:54:54Z,2026-05-04T20:55:08Z,2026-05-04T20:55:19Z,6,22.36,card
S-100034,B-17,B-17-T07,2026-05-04,E-455,C-106564,2026-05-04T13:20:56Z,2026-05-04T13:21:04Z,2026-05-04T13:21:19Z,1,4.87,card
S-100035,B-17,B-17-T03,2026-05-04,E-862,C-121136,2026-05-04T20:35:29Z,2026-05-04T20:35:41Z,2026-05-04T20:35:47Z,11,21.20,card
S-100036,B-17,B-17-T02,2026-05-04,E-824,,2026-05-04T18:18:31Z,2026-05-04T18:18:40Z,2026-05-04T18:18:47Z,8,17.53,card
S-100037,B-17,B-17-T06,2026-05-04,E-872,C-131616,2026-05-04T19:31:03Z,2026-05-04T19:31:11Z,2026-05-04T19:31:35Z,2,14.02,cash
S-100038,B-17,B-17-T11,2026-05-04,E-858,,2026-05-04T17:07:35Z,2026-05-04T17:07:43Z,2026-05-04T17:07:57Z,1,3.82,card
S-100039,B-17,B-17-T07,2026-05-04,E-455,C-130378,2026-05-04T18:35:08Z,2026-05-04T18:35:29Z,2026-05-04T18:35:40Z,9,42.70,card
S-100040,B-17,B-17-T08,2026-05-04,E-850,C-118539,2026-05-04T16:19:40Z,2026-05-04T16:19:48Z,2026-05-04T16:20:01Z,1,7.06,cash
S-100041,B-17,B-17-T09,2026-05-04,E-833,C-123719,2026-05-04T18:16:19Z,2026-05-04T18:16:48Z,2026-05-04T18:17:24Z,14,100.33,cash
S-100042,B-17,B-17-T05,2026-05-04,E-808,C-109834,2026-05-04T20:54:06Z,2026-05-04T20:54:24Z,2026-05-04T20:54:29Z,8,105.53,card
S-100043,B-17,B-17-T04,2026-05-04,E-118,,2026-05-04T13:55:02Z,2026-05-04T13:55:46Z,2026-05-04T13:55:51Z,31,204.06,mobile
S-100044,B-17,B-17-T12,2026-05-04,E-807,,2026-05-04T15:00:40Z,2026-05-04T15:03:02Z,2026-05-04T15:03:12Z,31,184.67,card
S-100045,B-17,B-17-T11,2026-05-04,E-813,,2026-05-04T13:55:00Z,2026-05-04T13:55:15Z,2026-05-04T13:55:20Z,3,22.00,card
S-100046,B-17,B-17-T05,2026-05-04,E-869,,2026-05-04T09:54:12Z,2026-05-04T09:54:56Z,2026-05-04T09:55:13Z,28,138.04,mobile
S-100047,B-17,B-17-T07,2026-05-04,E-866,,2026-05-04T20:44:01Z,2026-05-04T20:44:16Z,2026-05-04T20:44:55Z,8,34.30,cash
S-100048,B-17,B-17-T03,2026-05-04,E-118,,2026-05-04T09:00:08Z,2026-05-04T09:01:41Z,2026-05-04T09:01:49Z,36,139.77,card
S-100049,B-17,B-17-T05,2026-05-04,E-823,C-114538,2026-05-04T17:05:26Z,2026-05-04T17:05:56Z,2026-05-04T17:06:09Z,16,85.94,card
S-100050,B-17,B-17-T02,2026-05-04,E-863,C-137457,2026-05-04T21:05:48Z,2026-05-04T21:05:58Z,2026-05-04T21:06:22Z,9,63.48,cash
S-100051,B-17,B-17-T07,2026-05-04,E-801,,2026-05-04T07:00:32Z,2026-05-04T07:00:40Z,2026-05-04T07:00:44Z,3,64.02,card
S-100052,B-17,B-17-T11,2026-05-04,E-868,,2026-05-04T08:31:46Z,2026-05-04T08:32:00Z,2026-05-04T08:32:07Z,3,16.21,mobile
S-100053,B-17,B-17-T10,2026-05-04,E-831,,2026-05-04T11:37:45Z,2026-05-04T11:37:53Z,2026-05-04T11:37:59Z,3,7.95,card
S-100054,B-17,B-17-T08,2026-05-04,E-852,,2026-05-04T14:44:06Z,2026-05-04T14:44:14Z,2026-05-04T14:44:20Z,1,5.24,card
S-100055,B-17,B-17-T08,2026-05-04,E-838,C-104290,2026-05-04T18:08:44Z,2026-05-04T18:08:52Z,2026-05-04T18:09:07Z,3,11.91,mobile
S-100056,B-17,B-17-T03,2026-05-04,E-204,C-133375,2026-05-04T07:52:46Z,2026-05-04T07:52:54Z,2026-05-04T07:53:00Z,3,11.07,mobile
S-100057,B-17,B-17-T01,2026-05-04,E-801,,2026-05-04T14:19:10Z,2026-05-04T14:19:37Z,2026-05-04T14:19:48Z,12,37.27,card
S-100058,B-17,B-17-T12,2026-05-04,E-816,,2026-05-04T19:44:48Z,2026-05-04T19:45:15Z,2026-05-04T19:45:25Z,5,24.39,card
S-100059,B-17,B-17-T10,2026-05-04,E-801,C-123357,2026-05-04T07:33:01Z,2026-05-04T07:33:27Z,2026-05-04T07:33:36Z,11,78.08,card
S-100060,B-17,B-17-T05,2026-05-04,E-826,,2026-05-04T12:59:41Z,2026-05-04T13:00:33Z,2026-05-04T13:00:53Z,26,141.85,cash
S-100061,B-17,B-17-T03,2026-05-04,E-839,,2026-05-04T16:09:38Z,2026-05-04T16:09:46Z,2026-05-04T16:09:59Z,2,8.54,mobile
S-100062,B-17,B-17-T09,2026-05-04,E-858,C-110649,2026-05-04T11:37:59Z,2026-05-04T11:38:07Z,2026-05-04T11:38:18Z,2,4.82,mobile
S-100063,B-17,B-17-T05,2026-05-04,E-877,,2026-05-04T15:25:35Z,2026-05-04T15:25:43Z,2026-05-04T15:25:55Z,3,26.91,card
S-100064,B-17,B-17-T08,2026-05-04,E-800,,2026-05-04T18:29:39Z,2026-05-04T18:29:47Z,2026-05-04T18:29:54Z,3,11.07,mobile
S-100065,B-17,B-17-T02,2026-05-04,E-854,,2026-05-04T19:57:06Z,2026-05-04T19:57:21Z,2026-05-04T19:57:25Z,8,13.97,mobile
S-100066,B-17,B-17-T06,2026-05-04,E-854,,2026-05-04T12:32:28Z,2026-05-04T12:32:41Z,2026-05-04T12:32:47Z,9,53.76,card
S-100067,B-17,B-17-T05,2026-05-04,E-861,C-125384,2026-05-04T19:32:52Z,2026-05-04T19:33:00Z,2026-05-04T19:33:39Z,3,11.37,cash
S-100068,B-17,B-17-T10,2026-05-04,E-866,C-116918,2026-05-04T07:59:15Z,2026-05-04T08:00:31Z,2026-05-04T08:00:46Z,33,190.64,mobile
S-100069,B-17,B-17-T10,2026-05-04,E-853,,2026-05-04T11:04:14Z,2026-05-04T11:04:22Z,2026-05-04T11:04:34Z,2,42.44,mobile
S-100070,B-17,B-17-T07,2026-05-04,E-829,,2026-05-04T14:42:59Z,2026-05-04T14:43:50Z,2026-05-04T14:44:02Z,30,223.37,mobile
S-100071,B-17,B-17-T02,2026-05-04,E-800,C-123935,2026-05-04T08:36:56Z,2026-05-04T08:37:04Z,2026-05-04T08:37:18Z,3,10.80,mobile
S-100072,B-17,B-17-T11,2026-05-04,E-118,,2026-05-04T19:27:58Z,2026-05-04T19:28:23Z,2026-05-04T19:28:37Z,6,25.86,mobile
S-100073,B-17,B-17-T09,2026-05-04,E-872,,2026-05-04T12:39:08Z,2026-05-04T12:39:39Z,2026-05-04T12:39:50Z,19,139.15,mobile
S-100074,B-17,B-17-T08,2026-05-04,E-817,,2026-05-04T08:45:39Z,2026-05-04T08:45:47Z,2026-05-04T08:46:23Z,4,10.66,cash
S-100075,B-17,B-17-T12,2026-05-04,E-827,,2026-05-04T14:19:05Z,2026-05-04T14:20:53Z,2026-05-04T14:21:03Z,17,90.47,card
S-100076,B-17,B-17-T01,2026-05-04,E-813,C-122413,2026-05-04T09:16:00Z,2026-05-04T09:17:32Z,2026-05-04T09:17:37Z,36,144.17,card
S-100077,B-17,B-17-T07,2026-05-04,E-845,,2026-05-04T13:19:47Z,2026-05-04T13:20:08Z,2026-05-04T13:20:20Z,15,83.62,mobile
S-100078,B-17,B-17-T08,2026-05-04,E-862,,2026-05-04T07:04:39Z,2026-05-04T07:04:47Z,2026-05-04T07:05:07Z,7,28.23,cash
S-100079,B-17,B-17-T09,2026-05-04,E-868,C-117578,2026-05-04T14:27:28Z,2026-05-04T14:27:36Z,2026-05-04T14:27:41Z,2,72.02,mobile
S-100080,B-17,B-17-T07,2026-05-04,E-836,,2026-05-04T18:55:20Z,2026-05-04T18:55:28Z,2026-05-04T18:55:41Z,1,3.18,card
S-100081,B-17,B-17-T06,2026-05-04,E-311,,2026-05-04T11:00:16Z,2026-05-04T11:00:24Z,2026-05-04T11:01:01Z,2,9.28,cash
S-100082,B-17,B-17-T09,2026-05-04,E-825,,2026-05-04T19:12:19Z,2026-05-04T19:12:27Z,2026-05-04T19:12:36Z,3,100.92,card
S-100083,B-17,B-17-T08,2026-05-04,E-808,,2026-05-04T12:15:06Z,2026-05-04T12:15:49Z,2026-05-04T12:16:01Z,22,225.78,card
S-100084,B-17,B-17-T08,2026-05-04,E-247,,2026-05-04T08:14:18Z,2026-05-04T08:14:26Z,2026-05-04T08:14:58Z,2,12.82,cash
S-100085,B-17,B-17-T01,2026-05-04,E-857,,2026-05-04T13:52:48Z,2026-05-04T13:52:56Z,2026-05-04T13:53:05Z,3,87.90,card
S-100086,B-17,B-17-T11,2026-05-04,E-823,,2026-05-04T16:33:55Z,2026-05-04T16:34:10Z,2026-05-04T16:34:17Z,3,45.93,card
S-100087,B-17,B-17-T05,2026-05-04,E-808,C-123531,2026-05-04T07:25:11Z,2026-05-04T07:25:31Z,2026-05-04T07:25:36Z,13,174.64,card
S-100088,B-17,B-17-T05,2026-05-04,E-869,C-128067,2026-05-04T11:49:35Z,2026-05-04T11:49:43Z,2026-05-04T11:49:50Z,5,19.87,card
S-100089,B-17,B-17-T08,2026-05-04,E-800,,2026-05-04T11:54:30Z,2026-05-04T11:54:45Z,2026-05-04T11:55:18Z,9,60.04,cash
S-100090,B-17,B-17-T07,2026-05-04,E-800,C-116088,2026-05-04T11:28:30Z,2026-05-04T11:28:38Z,2026-05-04T11:28:48Z,2,8.46,card
S-100091,B-17,B-17-T04,2026-05-04,E-805,C-106273,2026-05-04T16:22:55Z,2026-05-04T16:23:03Z,2026-05-04T16:23:12Z,2,56.38,card
S-100092,B-17,B-17-T11,2026-05-04,E-866,,2026-05-04T16:18:16Z,2026-05-04T16:18:36Z,2026-05-04T16:18:50Z,3,9.77,card
S-100093,B-17,B-17-T04,2026-05-04,E-204,,2026-05-04T09:55:21Z,2026-05-04T09:55:29Z,2026-05-04T09:55:53Z,1,23.78,cash
S-100094,B-17,B-17-T02,2026-05-04,E-830,C-109323,2026-05-04T10:47:02Z,2026-05-04T10:47:20Z,2026-05-04T10:47:39Z,14,30.80,cash
S-100095,B-17,B-17-T10,2026-05-04,E-247,,2026-05-04T08:34:19Z,2026-05-04T08:34:27Z,2026-05-04T08:34:59Z,3,12.87,cash
S-100096,B-17,B-17-T04,2026-05-04,E-814,,2026-05-04T09:33:16Z,2026-05-04T09:33:24Z,2026-05-04T09:33:39Z,3,23.79,mobile
S-100097,B-17,B-17-T10,2026-05-04,E-876,C-126172,2026-05-04T20:00:31Z,2026-05-04T20:01:03Z,2026-05-04T20:01:14Z,22,107.59,card
S-100098,B-17,B-17-T11,2026-05-04,E-816,,2026-05-04T14:36:06Z,2026-05-04T14:36:30Z,2026-05-04T14:36:36Z,5,7.07,card
S-100099,B-17,B-17-T07,2026-05-04,E-808,C-134282,2026-05-04T16:11:41Z,2026-05-04T16:12:01Z,2026-05-04T16:12:11Z,9,76.04,card
S-100100,B-17,B-17-T10,2026-05-04,E-828,C-103653,2026-05-04T09:30:17Z,2026-05-04T09:30:25Z,2026-05-04T09:30:32Z,2,9.28,mobile
S-100101,B-17,B-17-T01,2026-05-04,E-817,,2026-05-04T15:00:15Z,2026-05-04T15:00:38Z,2026-05-04T15:00:50Z,10,23.77,card
S-100102,B-17,B-17-T08,2026-05-04,E-805,C-138853,2026-05-04T10:08:50Z,2026-05-04T10:09:25Z,2026-05-04T10:09:34Z,31,185.65,card
S-100103,B-17,B-17-T08,2026-05-04,E-204,C-125210,2026-05-04T20:01:14Z,2026-05-04T20:01:24Z,2026-05-04T20:01:31Z,4,9.70,card
S-100104,B-17,B-17-T12,2026-05-04,E-813,C-112805,2026-05-04T07:45:55Z,2026-05-04T07:46:06Z,2026-05-04T07:46:12Z,2,10.57,card
S-100105,B-17,B-17-T01,2026-05-04,E-859,,2026-05-04T19:59:35Z,2026-05-04T20:00:04Z,2026-05-04T20:00:28Z,15,99.07,cash
S-100106,B-17,B-17-T07,2026-05-04,E-827,C-138067,2026-05-04T07:24:24Z,2026-05-04T07:24:59Z,2026-05-04T07:25:14Z,27,143.45,card
S-100107,B-17,B-17-T10,2026-05-04,E-808,,2026-05-04T16:36:08Z,2026-05-04T16:37:39Z,2026-05-04T16:37:57Z,38,161.02,cash
S-100108,B-17,B-17-T02,2026-05-04,E-841,,2026-05-04T09:09:40Z,2026-05-04T09:10:07Z,2026-05-04T09:10:14Z,19,54.77,mobile
S-100109,B-17,B-17-T03,2026-05-04,E-837,,2026-05-04T12:00:15Z,2026-05-04T12:00:39Z,2026-05-04T12:01:08Z,11,67.14,cash
S-100110,B-17,B-17-T10,2026-05-04,E-866,,2026-05-04T07:08:29Z,2026-05-04T07:09:05Z,2026-05-04T07:09:12Z,14,195.09,card
S-100111,B-17,B-17-T02,2026-05-04,E-845,,2026-05-04T20:39:33Z,2026-05-04T20:40:48Z,2026-05-04T20:41:01Z,30,180.79,card
S-100112,B-17,B-17-T10,2026-05-04,E-848,,2026-05-04T08:51:49Z,2026-05-04T08:51:57Z,2026-05-04T08:52:10Z,2,9.50,mobile
S-100113,B-17,B-17-T11,2026-05-04,E-873,C-141176,2026-05-04T19:35:02Z,2026-05-04T19:35:53Z,2026-05-04T19:36:05Z,9,25.23,card
S-100114,B-17,B-17-T06,2026-05-04,E-841,,2026-05-04T16:42:14Z,2026-05-04T16:42:31Z,2026-05-04T16:42:45Z,15,91.59,card
S-100115,B-17,B-17-T02,2026-05-04,E-807,,2026-05-04T10:58:55Z,2026-05-04T10:59:03Z,2026-05-04T10:59:24Z,2,21.82,cash
S-100116,B-17,B-17-T05,2026-05-04,E-829,,2026-05-04T18:29:40Z,2026-05-04T18:29:48Z,2026-05-04T18:29:59Z,3,9.06,card
S-100117,B-17,B-17-T02,2026-05-04,E-825,,2026-05-04T20:57:34Z,2026-05-04T20:58:18Z,2026-05-04T20:58:22Z,18,94.27,card
S-100118,B-17,B-17-T10,2026-05-04,E-823,,2026-05-04T07:57:53Z,2026-05-04T07:58:11Z,2026-05-04T07:58:19Z,10,63.40,card
S-100119,B-17,B-17-T02,2026-05-04,E-831,,2026-05-04T12:23:55Z,2026-05-04T12:24:03Z,2026-05-04T12:24:16Z,5,34.62,mobile
S-100120,B-17,B-17-T12,2026-05-04,E-118,,2026-05-04T17:04:50Z,2026-05-04T17:05:01Z,2026-05-04T17:05:17Z,3,6.99,card
S-100121,B-17,B-17-T02,2026-05-04,E-874,,2026-05-04T19:36:15Z,2026-05-04T19:36:44Z,2026-05-04T19:36:50Z,24,138.53,card
S-100122,B-17,B-17-T06,2026-05-04,E-859,,2026-05-04T10:27:34Z,2026-05-04T10:27:42Z,2026-05-04T10:27:57Z,3,29.85,card
S-100123,B-17,B-17-T05,2026-05-04,E-864,,2026-05-04T13:57:05Z,2026-05-04T13:57:21Z,2026-05-04T13:57:31Z,8,37.04,mobile
S-100124,B-17,B-17-T07,2026-05-04,E-820,,2026-05-04T11:48:35Z,2026-05-04T11:49:23Z,2026-05-04T11:49:39Z,27,224.86,card
S-100125,B-17,B-17-T08,2026-05-04,E-840,C-102172,2026-05-04T09:26:12Z,2026-05-04T09:26:21Z,2026-05-04T09:26:30Z,5,6.24,mobile
S-100126,B-17,B-17-T05,2026-05-04,E-869,,2026-05-04T18:37:01Z,2026-05-04T18:37:16Z,2026-05-04T18:37:29Z,12,50.49,card
S-100127,B-17,B-17-T04,2026-05-04,E-874,,2026-05-04T20:38:03Z,2026-05-04T20:38:37Z,2026-05-04T20:38:59Z,15,76.85,cash
S-100128,B-17,B-17-T12,2026-05-04,E-807,,2026-05-04T14:10:40Z,2026-05-04T14:12:39Z,2026-05-04T14:12:49Z,23,123.14,mobile
S-100129,B-17,B-17-T08,2026-05-04,E-855,C-116903,2026-05-04T10:34:59Z,2026-05-04T10:35:12Z,2026-05-04T10:35:24Z,10,37.06,mobile
S-100130,B-17,B-17-T11,2026-05-04,E-827,,2026-05-04T17:29:24Z,2026-05-04T17:31:08Z,2026-05-04T17:31:16Z,28,151.94,card
S-100131,B-17,B-17-T08,2026-05-04,E-877,C-138004,2026-05-04T16:12:31Z,2026-05-04T16:12:39Z,2026-05-04T16:13:11Z,3,12.66,cash
S-100132,B-17,B-17-T05,2026-05-04,E-833,C-115914,2026-05-04T13:07:56Z,2026-05-04T13:08:22Z,2026-05-04T13:08:30Z,11,28.87,mobile
S-100133,B-17,B-17-T10,2026-05-04,E-832,,2026-05-04T19:20:27Z,2026-05-04T19:21:44Z,2026-05-04T19:22:10Z,34,184.21,cash
S-100134,B-17,B-17-T07,2026-05-04,E-854,C-133666,2026-05-04T17:54:24Z,2026-05-04T17:54:57Z,2026-05-04T17:55:07Z,14,84.04,card
S-100135,B-17,B-17-T03,2026-05-04,E-848,,2026-05-04T16:31:08Z,2026-05-04T16:31:16Z,2026-05-04T16:31:52Z,1,34.90,cash
S-100136,B-17,B-17-T06,2026-05-04,E-824,,2026-05-04T07:35:52Z,2026-05-04T07:36:00Z,2026-05-04T07:36:33Z,3,20.93,cash
S-100137,B-17,B-17-T01,2026-05-04,E-847,C-114973,2026-05-04T16:35:02Z,2026-05-04T16:35:12Z,2026-05-04T16:35:17Z,5,5.38,card
S-100138,B-17,B-17-T11,2026-05-04,E-870,C-126272,2026-05-04T07:21:11Z,2026-05-04T07:21:28Z,2026-05-04T07:21:37Z,5,181.74,card
S-100139,B-17,B-17-T06,2026-05-04,E-204,,2026-05-04T19:01:35Z,2026-05-04T19:01:43Z,2026-05-04T19:02:02Z,1,6.51,cash
S-100140,B-17,B-17-T08,2026-05-04,E-848,,2026-05-04T15:43:38Z,2026-05-04T15:44:23Z,2026-05-04T15:44:37Z,19,84.98,card
S-100141,B-17,B-17-T09,2026-05-04,E-247,,2026-05-04T09:44:47Z,2026-05-04T09:44:55Z,2026-05-04T09:45:05Z,3,4.56,card
S-100142,B-17,B-17-T02,2026-05-04,E-813,C-123630,2026-05-04T11:28:14Z,2026-05-04T11:29:35Z,2026-05-04T11:29:43Z,39,139.15,card
S-100143,B-17,B-17-T08,2026-05-04,E-832,,2026-05-04T18:35:50Z,2026-05-04T18:35:58Z,2026-05-04T18:36:10Z,3,7.87,card
S-100144,B-17,B-17-T09,2026-05-04,E-837,,2026-05-04T11:31:03Z,2026-05-04T11:31:58Z,2026-05-04T11:32:15Z,22,99.23,card
S-100145,B-17,B-17-T11,2026-05-04,E-849,,2026-05-04T12:23:38Z,2026-05-04T12:24:42Z,2026-05-04T12:24:56Z,10,39.94,card
S-100146,B-17,B-17-T04,2026-05-04,E-824,,2026-05-04T08:36:16Z,2026-05-04T08:36:24Z,2026-05-04T08:36:35Z,1,36.12,card
S-100147,B-17,B-17-T07,2026-05-04,E-873,C-134762,2026-05-04T16:53:13Z,2026-05-04T16:53:21Z,2026-05-04T16:53:26Z,6,16.42,card
S-100148,B-17,B-17-T11,2026-05-04,E-856,,2026-05-04T13:33:55Z,2026-05-04T13:34:30Z,2026-05-04T13:34:42Z,6,22.44,card
S-100149,B-17,B-17-T11,2026-05-04,E-455,,2026-05-04T19:22:48Z,2026-05-04T19:23:01Z,2026-05-04T19:23:09Z,3,6.60,card
S-100150,B-17,B-17-T01,2026-05-04,E-825,,2026-05-04T13:57:54Z,2026-05-04T13:58:02Z,2026-05-04T13:58:07Z,1,15.21,mobile
S-100151,B-17,B-17-T06,2026-05-04,E-837,,2026-05-04T15:45:12Z,2026-05-04T15:45:29Z,2026-05-04T15:45:37Z,7,29.60,mobile
S-100152,B-17,B-17-T10,2026-05-04,E-311,C-102424,2026-05-04T17:46:49Z,2026-05-04T17:47:36Z,2026-05-04T17:47:45Z,21,173.02,mobile
S-100153,B-17,B-17-T03,2026-05-04,E-872,,2026-05-04T10:44:44Z,2026-05-04T10:44:52Z,2026-05-04T10:44:57Z,5,9.05,mobile
S-100154,B-17,B-17-T05,2026-05-04,E-851,,2026-05-04T19:05:01Z,2026-05-04T19:05:47Z,2026-05-04T19:06:04Z,18,129.36,mobile
S-100155,B-17,B-17-T08,2026-05-04,E-831,,2026-05-04T09:20:58Z,2026-05-04T09:21:09Z,2026-05-04T09:21:17Z,10,95.72,mobile
S-100156,B-17,B-17-T09,2026-05-04,E-856,C-135698,2026-05-04T18:36:57Z,2026-05-04T18:38:12Z,2026-05-04T18:38:19Z,44,159.06,card
S-100157,B-17,B-17-T11,2026-05-04,E-402,,2026-05-04T16:07:11Z,2026-05-04T16:07:28Z,2026-05-04T16:07:32Z,3,17.68,mobile
S-100158,B-17,B-17-T01,2026-05-04,E-869,,2026-05-04T21:26:02Z,2026-05-04T21:26:10Z,2026-05-04T21:26:21Z,1,2.79,card
S-100159,B-17,B-17-T01,2026-05-04,E-859,,2026-05-04T21:14:53Z,2026-05-04T21:15:26Z,2026-05-04T21:15:39Z,21,84.22,cash
S-100160,B-17,B-17-T08,2026-05-04,E-855,,2026-05-04T10:58:14Z,2026-05-04T10:58:22Z,2026-05-04T10:58:36Z,5,4.73,card
S-100161,B-17,B-17-T05,2026-05-04,E-828,,2026-05-04T18:12:04Z,2026-05-04T18:12:12Z,2026-05-04T18:12:27Z,3,15.72,cash
S-100162,B-17,B-17-T08,2026-05-04,E-862,,2026-05-04T20:01:43Z,2026-05-04T20:02:09Z,2026-05-04T20:02:22Z,19,75.96,card
S-100163,B-17,B-17-T05,2026-05-04,E-832,,2026-05-04T12:21:51Z,2026-05-04T12:21:59Z,2026-05-04T12:22:12Z,2,9.76,card
